Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 15:49:05
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       234636909.99         41429454.02         32852605.65         20662015.78
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  234636909.99         41429454.02         32852605.65         20662015.78
MidReek    1                       184451733.85         35668531.23         28468811.31         17904912.48
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  184451733.85         35668531.23         28468811.31         17904912.48
LowerReek  1                       127836788.62         24499672.72         19450271.62         12232875.02
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127836788.62         24499672.72         19450271.62         12232875.02
Totals     1                       546925432.45        101597657.97         80771688.58         50799803.29
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  546925432.45        101597657.97         80771688.58         50799803.29
