DEPTH,DATE,CONKPOS,SWAT,CONIDX,PRESSURE,CONBPRES,CONJPOS,CONIPOS,DRAWDOWN,WELLMODEL,SGAS,WELL
1641.094970703125,2018-01-01,1,0.05682307109236717,1,300.6733093261719,300.6733093261719,30,22,0,STANDARD,0.0,R_A2
1642.8890380859375,2018-01-01,2,0.059868622571229935,2,300.7936096191406,300.7936096191406,30,22,0,STANDARD,0.0,R_A2
1644.68310546875,2018-01-01,3,0.0626271441578865,3,300.9139099121094,300.9139099121094,30,22,0,STANDARD,0.0,R_A2
1646.4771728515625,2018-01-01,4,0.06645650416612625,4,301.0342102050781,301.0342102050781,30,22,0,STANDARD,0.0,R_A2
1648.2713623046875,2018-01-01,5,0.07079914212226868,5,301.1545104980469,301.1545104980469,30,22,0,STANDARD,0.0,R_A2
1650.0654296875,2018-01-01,6,0.23910002410411835,6,301.27484130859375,301.27484130859375,30,22,0,STANDARD,0.0,R_A2
1651.859619140625,2018-01-01,7,0.8951376676559448,7,301.3951721191406,301.3951721191406,30,22,0,STANDARD,0.0,R_A2
1653.6536865234375,2018-01-01,8,0.8685147166252136,8,301.5154724121094,301.5154724121094,30,22,0,STANDARD,0.0,R_A2
1655.44775390625,2018-01-01,9,0.894565999507904,9,301.63580322265625,301.63580322265625,30,22,0,STANDARD,0.0,R_A2
1657.2418212890625,2018-01-01,10,0.9062598943710327,10,301.7561340332031,301.7561340332031,30,22,0,STANDARD,0.0,R_A2
1659.1368408203125,2018-01-01,11,0.07765933871269226,11,301.88323974609375,301.88323974609375,30,22,0,STANDARD,0.0,R_A2
1661.132568359375,2018-01-01,12,0.08095082640647888,12,302.01708984375,302.01708984375,30,22,0,STANDARD,0.0,R_A2
1663.12841796875,2018-01-01,13,0.4631236791610718,13,302.1509704589844,302.1509704589844,30,22,0,STANDARD,0.0,R_A2
1665.1241455078125,2018-01-01,14,0.5077258348464966,14,302.28485107421875,302.28485107421875,30,22,0,STANDARD,0.0,R_A2
1667.1199951171875,2018-01-01,15,0.6800851821899414,15,302.4187316894531,302.4187316894531,30,22,0,STANDARD,0.0,R_A2
1669.11572265625,2018-01-01,16,0.9764990210533142,16,302.5526123046875,302.5526123046875,30,22,0,STANDARD,0.0,R_A2
1671.111572265625,2018-01-01,17,0.9521156549453735,17,302.6864929199219,302.6864929199219,30,22,0,STANDARD,0.0,R_A2
1672.9881591796875,2018-01-01,18,0.9803889393806458,18,302.8123779296875,302.8123779296875,30,22,0,STANDARD,0.0,R_A2
1674.229736328125,2018-01-01,18,0.9921049475669861,19,302.89569091796875,302.89569091796875,29,22,0,STANDARD,0.0,R_A2
1676.1676025390625,2018-01-01,27,0.4429566264152527,20,303.02569580078125,303.02569580078125,29,22,0,STANDARD,0.0,R_A2
1677.9368896484375,2018-01-01,28,1.0,21,303.47802734375,303.47802734375,29,22,0,STANDARD,0.0,R_A2
1679.7061767578125,2018-01-01,29,1.0,22,303.64569091796875,303.64569091796875,29,22,0,STANDARD,0.0,R_A2
1681.4754638671875,2018-01-01,30,1.0,23,303.8133544921875,303.8133544921875,29,22,0,STANDARD,0.0,R_A2
1683.2447509765625,2018-01-01,31,1.0,24,303.98101806640625,303.98101806640625,29,22,0,STANDARD,0.0,R_A2
1609.243408203125,2018-01-01,1,0.6481541991233826,1,298.53814697265625,298.53814697265625,41,28,0,STANDARD,0.0,R_A3
1611.3077392578125,2018-01-01,2,0.1953458935022354,2,298.676513671875,298.676513671875,41,28,0,STANDARD,0.0,R_A3
1613.3720703125,2018-01-01,3,0.19456657767295837,3,298.8148498535156,298.8148498535156,41,28,0,STANDARD,0.0,R_A3
1615.4365234375,2018-01-01,4,0.3696915805339813,4,298.9532165527344,298.9532165527344,41,28,0,STANDARD,0.0,R_A3
1617.5008544921875,2018-01-01,5,0.834352970123291,5,299.0915832519531,299.0915832519531,41,28,0,STANDARD,0.0,R_A3
1619.565185546875,2018-01-01,6,0.6481541991233826,6,299.2299499511719,299.2299499511719,41,28,0,STANDARD,0.0,R_A3
1609.3663330078125,2018-01-01,6,0.6481541991233826,7,298.54638671875,298.54638671875,41,29,0,STANDARD,0.0,R_A3
1611.4163818359375,2018-01-01,7,0.1984773725271225,8,298.68377685546875,298.68377685546875,41,29,0,STANDARD,0.0,R_A3
1613.46630859375,2018-01-01,8,0.1977151483297348,9,298.8211669921875,298.8211669921875,41,29,0,STANDARD,0.0,R_A3
1615.516357421875,2018-01-01,9,0.800819993019104,10,298.95855712890625,298.95855712890625,41,29,0,STANDARD,0.0,R_A3
1617.5662841796875,2018-01-01,10,0.7992424964904785,11,299.095947265625,299.095947265625,41,29,0,STANDARD,0.0,R_A3
1619.750732421875,2018-01-01,11,0.05049673467874527,12,299.24237060546875,299.24237060546875,41,29,0,STANDARD,0.0,R_A3
1622.0697021484375,2018-01-01,12,0.05441533401608467,13,299.3978271484375,299.3978271484375,41,29,0,STANDARD,0.0,R_A3
1624.388671875,2018-01-01,13,0.3730502128601074,14,299.5532531738281,299.5532531738281,41,29,0,STANDARD,0.0,R_A3
1626.707763671875,2018-01-01,14,0.4005099833011627,15,299.7087097167969,299.7087097167969,41,29,0,STANDARD,0.0,R_A3
1629.026611328125,2018-01-01,15,0.4975426495075226,16,299.8641662597656,299.8641662597656,41,29,0,STANDARD,0.0,R_A3
1630.9468994140625,2018-01-01,16,0.8084018230438232,17,299.992919921875,299.992919921875,41,29,0,STANDARD,0.0,R_A3
1633.5262451171875,2018-01-01,27,1.0,18,300.16583251953125,300.16583251953125,41,29,0,STANDARD,0.0,R_A3
1637.1630859375,2018-01-01,28,0.04364456981420517,19,300.40966796875,300.40966796875,41,29,0,STANDARD,0.0,R_A3
1640.8001708984375,2018-01-01,29,0.05188838392496109,20,300.6535339355469,300.6535339355469,41,29,0,STANDARD,0.0,R_A3
1644.4371337890625,2018-01-01,30,1.0,21,300.89739990234375,300.89739990234375,41,29,0,STANDARD,0.0,R_A3
1648.0740966796875,2018-01-01,31,0.0641801506280899,22,301.14129638671875,301.14129638671875,41,29,0,STANDARD,0.0,R_A3
1631.1873779296875,2018-01-01,1,0.05036125332117081,1,300.009033203125,300.009033203125,52,30,0,STANDARD,0.0,R_A4
1627.4293212890625,2018-01-01,1,0.08347222208976746,2,299.7571105957031,299.7571105957031,52,31,0,STANDARD,0.0,R_A4
1629.4896240234375,2018-01-01,2,0.05255189538002014,3,299.89520263671875,299.89520263671875,52,31,0,STANDARD,0.0,R_A4
1631.5498046875,2018-01-01,3,0.05367308482527733,4,300.0333251953125,300.0333251953125,52,31,0,STANDARD,0.0,R_A4
1633.610107421875,2018-01-01,4,0.05652542784810066,5,300.17144775390625,300.17144775390625,52,31,0,STANDARD,0.0,R_A4
1632.3968505859375,2018-01-01,4,0.05670516937971115,6,300.0901184082031,300.0901184082031,52,32,0,STANDARD,0.0,R_A4
1635.880615234375,2018-01-01,4,0.06039223074913025,7,300.3236999511719,300.3236999511719,51,32,0,STANDARD,0.0,R_A4
1637.321044921875,2018-01-01,4,0.062218718230724335,8,300.4202575683594,300.4202575683594,51,33,0,STANDARD,0.0,R_A4
1635.474609375,2018-01-01,3,0.05870724841952324,9,300.29644775390625,300.29644775390625,51,33,0,STANDARD,0.0,R_A4
