order,utm_x,utm_y,measured_depth,true_vertical_depth,zone,pressure,swat,sgas,soil,valid_zone,is_active,i,j,k,well,time,report_step,observed,error
0,460994.9,5933813.29,1697.9,1648.9,Valysar,299.6033020019531,0.062252070754766464,0.0,0.9377479292452336,True,True,21,29,3,R_A2,2018-03-01,1,299.23,3.0
0,462753.44,5932869.64,1673.4,1624.4,Therys,285.5860595703125,0.05494396016001701,0.0,0.9450560398399829,True,True,28,40,11,R_A3,2018-07-03,1,298.52,3.0
1,462753.44,5932869.64,1690.7,1641.7,Volon,285.026123046875,0.05165291205048561,0.0,0.9483470879495144,True,True,28,40,28,R_A3,2018-07-03,1,280.43,3.0
0,464008.82200000004,5931878.919,2578.7,1634.5379999999998,Valysar,275.82608032226557,0.05687552317976952,0.0,0.9431244768202304,True,True,31,50,2,R_A4,2018-09-12,1,288.6,3.0
1,464291.761,5932429.155,3197.5,1643.655,Volon,277.3236083984375,0.2501808702945709,0.0,0.7498191297054291,True,True,35,48,29,R_A4,2018-09-12,1,282.13,3.0
0,461519.21,5935692.65,1737.8,1688.8,Valysar,287.7344970703125,1.0,-8.218008495930462e-10,8.218008495930462e-10,True,True,30,19,3,R_A5,2018-04-28,1,278.7,3.0
1,461519.21,5935692.65,1769.1,1720.1,Volon,281.0570068359375,1.0,-7.80903255470991e-14,7.80903255470991e-14,True,True,30,20,27,R_A5,2018-04-28,1,286.55,3.0
0,461292.74,5931883.26,1759.9,1710.9,Therys,276.27536010742193,1.0,6.0959017339452496e-18,-6.0959017339452496e-18,True,True,16,41,10,R_A6,2018-11-07,1,280.85,3.0
1,461292.74,5931883.26,1777.4,1728.4,Volon,279.218505859375,1.0,1.8589391868514364e-21,-1.8589391868514364e-21,True,True,16,41,27,R_A6,2018-11-07,1,286.41,3.0
