CONIPOS,CONIDX,CONBPRES,DRAWDOWN,DEPTH,CONJPOS,SWAT,PRESSURE,WELLMODEL,WELL,CONKPOS,SGAS,DATE
22,1,300.7585754394531,0,1640.853515625,30,0.05513335019350052,300.7585754394531,STANDARD,R_A2,1,0.0,2018-01-01
22,2,300.8825378417969,0,1642.7020263671875,30,0.0567333847284317,300.8825378417969,STANDARD,R_A2,2,0.0,2018-01-01
22,3,301.0065002441406,0,1644.550537109375,30,0.0763990581035614,301.0065002441406,STANDARD,R_A2,3,0.0,2018-01-01
22,4,301.1304626464844,0,1646.3990478515625,30,0.06236840784549713,301.1304626464844,STANDARD,R_A2,4,0.0,2018-01-01
22,5,301.2544250488281,0,1648.2476806640625,30,0.06525394320487976,301.2544250488281,STANDARD,R_A2,5,0.0,2018-01-01
22,6,301.3783874511719,0,1650.09619140625,30,0.30098333954811096,301.3783874511719,STANDARD,R_A2,6,0.0,2018-01-01
22,7,301.5023498535156,0,1651.9447021484375,30,0.8782568573951721,301.5023498535156,STANDARD,R_A2,7,0.0,2018-01-01
22,8,301.6263427734375,0,1653.7933349609375,30,0.8519916534423828,301.6263427734375,STANDARD,R_A2,8,0.0,2018-01-01
22,9,301.75030517578125,0,1655.641845703125,30,0.6481541991233826,301.75030517578125,STANDARD,R_A2,9,0.0,2018-01-01
22,10,301.8742980957031,0,1657.4903564453125,30,0.8948937654495239,301.8742980957031,STANDARD,R_A2,10,0.0,2018-01-01
22,11,302.00244140625,0,1659.40087890625,30,0.07014305889606476,302.00244140625,STANDARD,R_A2,11,0.0,2018-01-01
22,12,302.1347351074219,0,1661.373291015625,30,0.07587278634309769,302.1347351074219,STANDARD,R_A2,12,0.0,2018-01-01
22,13,302.2670593261719,0,1663.345703125,30,0.43260809779167175,302.2670593261719,STANDARD,R_A2,13,0.0,2018-01-01
22,14,302.39935302734375,0,1665.3179931640625,30,0.4726406931877136,302.39935302734375,STANDARD,R_A2,14,0.0,2018-01-01
22,15,302.53167724609375,0,1667.2904052734375,30,0.6416166424751282,302.53167724609375,STANDARD,R_A2,15,0.0,2018-01-01
