date,amount,phase,containment,zone,region
2020-01-01,1883742663.4364176,total,total,all,all
2040-01-01,2128717771.441608,total,total,all,all
2060-01-01,2391343980.7116084,total,total,all,all
2080-01-01,2668669491.6071377,total,total,all,all
2100-01-01,2957081455.1233997,total,total,all,all
2120-01-01,3253247375.0616937,total,total,all,all
2140-01-01,3554720118.1839113,total,total,all,all
2160-01-01,3860166743.4822435,total,total,all,all
2180-01-01,4169323360.6266336,total,total,all,all
2200-01-01,4482802529.14331,total,total,all,all
2020-01-01,154235184.0210237,aqueous,total,all,all
2040-01-01,170689780.1647112,aqueous,total,all,all
2060-01-01,186846959.7888303,aqueous,total,all,all
2080-01-01,202439028.02308854,aqueous,total,all,all
2100-01-01,217310535.44096434,aqueous,total,all,all
2120-01-01,231421396.32506263,aqueous,total,all,all
2140-01-01,244826968.3456098,aqueous,total,all,all
2160-01-01,257653227.20599282,aqueous,total,all,all
2180-01-01,270073564.36126244,aqueous,total,all,all
2200-01-01,282287842.43671584,aqueous,total,all,all
2020-01-01,1729507479.415394,gas,total,all,all
2040-01-01,1958027991.276897,gas,total,all,all
2060-01-01,2204497020.9227786,gas,total,all,all
2080-01-01,2466230463.5840487,gas,total,all,all
2100-01-01,2739770919.6824355,gas,total,all,all
2120-01-01,3021825978.736631,gas,total,all,all
2140-01-01,3309893149.8383007,gas,total,all,all
2160-01-01,3602513516.2762504,gas,total,all,all
2180-01-01,3899249796.2653713,gas,total,all,all
2200-01-01,4200514686.7065935,gas,total,all,all
2020-01-01,1815824246.7556562,total,contained,all,all
2040-01-01,2007508582.1761463,total,contained,all,all
2060-01-01,2194584868.4987636,total,contained,all,all
2080-01-01,2373712354.920296,total,contained,all,all
2100-01-01,2542850289.9974246,total,contained,all,all
2120-01-01,2701222532.4708104,total,contained,all,all
2140-01-01,2849021491.033891,total,contained,all,all
2160-01-01,2987086912.461141,total,contained,all,all
2180-01-01,3116646424.5315375,total,contained,all,all
2200-01-01,3239127375.4528174,total,contained,all,all
2020-01-01,153989721.66679037,aqueous,contained,all,all
2040-01-01,170245379.40019923,aqueous,contained,all,all
2060-01-01,186110254.71109328,aqueous,contained,all,all
2080-01-01,201301037.53393954,aqueous,contained,all,all
2100-01-01,215644663.3514482,aqueous,contained,all,all
2120-01-01,229075312.03994092,aqueous,contained,all,all
2140-01-01,241609300.68583265,aqueous,contained,all,all
2160-01-01,253317843.4346019,aqueous,contained,all,all
2180-01-01,264305048.41253507,aqueous,contained,all,all
2200-01-01,274691960.8989998,aqueous,contained,all,all
2020-01-01,1661834525.088866,gas,contained,all,all
2040-01-01,1837263202.775947,gas,contained,all,all
2060-01-01,2008474613.7876701,gas,contained,all,all
2080-01-01,2172411317.386357,gas,contained,all,all
2100-01-01,2327205626.6459765,gas,contained,all,all
2120-01-01,2472147220.4308696,gas,contained,all,all
2140-01-01,2607412190.3480587,gas,contained,all,all
2160-01-01,2733769069.0265393,gas,contained,all,all
2180-01-01,2852341376.119003,gas,contained,all,all
2200-01-01,2964435414.5538177,gas,contained,all,all
2020-01-01,91256.68139138893,total,hazardous,all,all
2040-01-01,257491.61237808364,total,hazardous,all,all
2060-01-01,646430.7217827666,total,hazardous,all,all
2080-01-01,1470641.2339284176,total,hazardous,all,all
2100-01-01,3075662.521286116,total,hazardous,all,all
2120-01-01,5979956.820753415,total,hazardous,all,all
2140-01-01,10904925.666236913,total,hazardous,all,all
2160-01-01,18782019.540529266,total,hazardous,all,all
2180-01-01,30723571.986659717,total,hazardous,all,all
2200-01-01,47948602.15892112,total,hazardous,all,all
2020-01-01,6436.868317231549,aqueous,hazardous,all,all
2040-01-01,18162.39179858836,aqueous,hazardous,all,all
2060-01-01,45596.545577661636,aqueous,hazardous,all,all
2080-01-01,103732.94119789668,aqueous,hazardous,all,all
2100-01-01,216944.49475818026,aqueous,hazardous,all,all
2120-01-01,421801.38496196194,aqueous,hazardous,all,all
2140-01-01,769188.2879425972,aqueous,hazardous,all,all
2160-01-01,1324805.8626583442,aqueous,hazardous,all,all
2180-01-01,2167113.509913082,aqueous,hazardous,all,all
2200-01-01,3382095.791633982,aqueous,hazardous,all,all
2020-01-01,84819.81307415738,gas,hazardous,all,all
