date,amount,phase,containment,zone,region,plume_group
2020-01-01,1138.2165996003012,aqueous,outside,all,all,all
2040-01-01,2029.7065367303526,aqueous,outside,all,all,all
2060-01-01,3290.99301028272,aqueous,outside,all,all,all
2080-01-01,4925.0359426242585,aqueous,outside,all,all,all
2100-01-01,6899.655213133036,aqueous,outside,all,all,all
2120-01-01,9163.251905522584,aqueous,outside,all,all,all
2140-01-01,11659.425580164694,aqueous,outside,all,all,all
2160-01-01,14336.085279678946,aqueous,outside,all,all,all
2180-01-01,17149.535422924935,aqueous,outside,all,all,all
2200-01-01,20065.646409914563,aqueous,outside,all,all,all
2020-01-01,321848.2595878758,gas,outside,all,all,all
2040-01-01,573930.7584779542,gas,outside,all,all,all
2060-01-01,930578.9188519205,gas,outside,all,all,all
2080-01-01,1392629.7043093408,gas,outside,all,all,all
2100-01-01,1950983.69052348,gas,outside,all,all,all
2120-01-01,2591050.4898570003,gas,outside,all,all,all
2140-01-01,3296882.0100568957,gas,outside,all,all,all
2160-01-01,4053748.731294477,gas,outside,all,all,all
2180-01-01,4849295.055569628,gas,outside,all,all,all
2200-01-01,5673870.313264232,gas,outside,all,all,all
2020-01-01,213574.8657829535,total,total,toptherys,all,all
2040-01-01,243204.0290767346,total,total,toptherys,all,all
2060-01-01,275384.24267436145,total,total,toptherys,all,all
2080-01-01,310294.4437194932,total,total,toptherys,all,all
2100-01-01,348093.67364295275,total,total,toptherys,all,all
2120-01-01,388919.81192425295,total,total,toptherys,all,all
2140-01-01,432888.9178688091,total,total,toptherys,all,all
2160-01-01,480099.7689498516,total,total,toptherys,all,all
2180-01-01,530644.2523085948,total,total,toptherys,all,all
2200-01-01,584618.5783229629,total,total,toptherys,all,all
2020-01-01,18112.06904836792,aqueous,total,toptherys,all,all
2040-01-01,20624.74978659533,aqueous,total,toptherys,all,all
2060-01-01,23353.7705846876,aqueous,total,toptherys,all,all
2080-01-01,26314.306083581025,aqueous,total,toptherys,all,all
2100-01-01,29519.84368202004,aqueous,total,toptherys,all,all
2120-01-01,32982.07615407745,aqueous,total,toptherys,all,all
2140-01-01,36710.84582902401,aqueous,total,toptherys,all,all
2160-01-01,40714.529462275204,aqueous,total,toptherys,all,all
2180-01-01,45000.9194793643,aqueous,total,toptherys,all,all
2200-01-01,49578.17493480917,aqueous,total,toptherys,all,all
2020-01-01,195462.7967345856,gas,total,toptherys,all,all
2040-01-01,222579.27929013927,gas,total,toptherys,all,all
2060-01-01,252030.47208967386,gas,total,toptherys,all,all
2080-01-01,283980.1376359122,gas,total,toptherys,all,all
2100-01-01,318573.8299609327,gas,total,toptherys,all,all
2120-01-01,355937.7357701755,gas,total,toptherys,all,all
2140-01-01,396178.0720397851,gas,total,toptherys,all,all
2160-01-01,439385.2394875764,gas,total,toptherys,all,all
2180-01-01,485643.3328292304,gas,total,toptherys,all,all
2200-01-01,535040.4033881536,gas,total,toptherys,all,all
2020-01-01,213574.8657829535,total,contained,toptherys,all,all
2040-01-01,243204.0290767346,total,contained,toptherys,all,all
2060-01-01,275384.24267436145,total,contained,toptherys,all,all
2080-01-01,310294.44371949317,total,contained,toptherys,all,all
2100-01-01,348093.6736429521,total,contained,toptherys,all,all
2120-01-01,388919.8119242476,total,contained,toptherys,all,all
2140-01-01,432888.9178687723,total,contained,toptherys,all,all
2160-01-01,480099.7689496405,total,contained,toptherys,all,all
2180-01-01,530644.2523075516,total,contained,toptherys,all,all
2200-01-01,584618.5783184388,total,contained,toptherys,all,all
2020-01-01,18112.06904836792,aqueous,contained,toptherys,all,all
