CONJPOS,PRESSURE,SGAS,WELL,SWAT,DRAWDOWN,WELLMODEL,CONIPOS,CONKPOS,CONIDX,CONBPRES,DATE,DEPTH
30,301.0521545410156,0.0,R_A2,0.057938169687986374,0,STANDARD,22,3,3,301.0521545410156,2018-01-01,1644.68310546875
30,301.1724548339844,0.0,R_A2,0.0631728321313858,0,STANDARD,22,4,4,301.1724548339844,2018-01-01,1646.4771728515625
30,301.29278564453125,0.0,R_A2,0.06597844511270523,0,STANDARD,22,5,5,301.29278564453125,2018-01-01,1648.2713623046875
30,301.4130859375,0.0,R_A2,0.3102608621120453,0,STANDARD,22,6,6,301.4130859375,2018-01-01,1650.0654296875
30,301.5334167480469,0.0,R_A2,0.8755180835723877,0,STANDARD,22,7,7,301.5334167480469,2018-01-01,1651.859619140625
30,301.65374755859375,0.0,R_A2,0.7017085552215576,0,STANDARD,22,8,8,301.65374755859375,2018-01-01,1653.6536865234375
30,301.7740783691406,0.0,R_A2,0.8740392923355103,0,STANDARD,22,9,9,301.7740783691406,2018-01-01,1655.44775390625
30,301.8944091796875,0.0,R_A2,0.8984856009483337,0,STANDARD,22,10,10,301.8944091796875,2018-01-01,1657.2418212890625
30,302.0215148925781,0.0,R_A2,0.06812851876020432,0,STANDARD,22,11,11,302.0215148925781,2018-01-01,1659.1368408203125
30,302.1553649902344,0.0,R_A2,0.07058937847614288,0,STANDARD,22,12,12,302.1553649902344,2018-01-01,1661.132568359375
30,302.28924560546875,0.0,R_A2,0.4123339354991913,0,STANDARD,22,13,13,302.28924560546875,2018-01-01,1663.12841796875
30,302.4231262207031,0.0,R_A2,0.4603919982910156,0,STANDARD,22,14,14,302.4231262207031,2018-01-01,1665.1241455078125
30,302.5570068359375,0.0,R_A2,0.6354262232780457,0,STANDARD,22,15,15,302.5570068359375,2018-01-01,1667.1199951171875
30,302.6908874511719,0.0,R_A2,0.9162731766700745,0,STANDARD,22,16,16,302.6908874511719,2018-01-01,1669.11572265625
30,302.8247985839844,0.0,R_A2,0.8938186764717102,0,STANDARD,22,17,17,302.8247985839844,2018-01-01,1671.111572265625
30,302.95068359375,0.0,R_A2,0.9369330406188965,0,STANDARD,22,18,18,302.95068359375,2018-01-01,1672.9881591796875
29,303.03399658203125,0.0,R_A2,0.9506880044937134,0,STANDARD,22,18,19,303.03399658203125,2018-01-01,1674.229736328125
