WELLMODEL,CONKPOS,CONBPRES,SWAT,WELL,DEPTH,SGAS,DATE,CONJPOS,CONIDX,PRESSURE,CONIPOS,DRAWDOWN
STANDARD,1,300.7562255859375,0.06123195216059685,R_A2,1643.9732666015625,0.0,2018-01-01,30,1,300.7562255859375,22,0
STANDARD,2,300.8824157714844,0.06527645885944366,R_A2,1645.85498046875,0.0,2018-01-01,30,2,300.8824157714844,22,0
STANDARD,3,301.00860595703125,0.06986715644598007,R_A2,1647.7366943359375,0.0,2018-01-01,30,3,301.00860595703125,22,0
STANDARD,4,301.1347961425781,0.0759238675236702,R_A2,1649.618408203125,0.0,2018-01-01,30,4,301.1347961425781,22,0
STANDARD,5,301.260986328125,0.08142666518688202,R_A2,1651.5001220703125,0.0,2018-01-01,30,5,301.260986328125,22,0
STANDARD,6,301.3871765136719,0.1339292824268341,R_A2,1653.3818359375,0.0,2018-01-01,30,6,301.3871765136719,22,0
STANDARD,7,301.51336669921875,0.6481541991233826,R_A2,1655.2635498046875,0.0,2018-01-01,30,7,301.51336669921875,22,0
STANDARD,8,301.6395568847656,0.17862580716609955,R_A2,1657.145263671875,0.0,2018-01-01,30,8,301.6395568847656,22,0
STANDARD,9,301.7657775878906,0.21397073566913605,R_A2,1659.0269775390625,0.0,2018-01-01,30,9,301.7657775878906,22,0
STANDARD,10,301.8919677734375,0.9701279401779175,R_A2,1660.90869140625,0.0,2018-01-01,30,10,301.8919677734375,22,0
STANDARD,11,302.0241394042969,0.09941486269235611,R_A2,1662.8792724609375,0.0,2018-01-01,30,11,302.0241394042969,22,0
STANDARD,12,302.16229248046875,0.10758712142705917,R_A2,1664.938720703125,0.0,2018-01-01,30,12,302.16229248046875,22,0
STANDARD,13,302.3004455566406,0.5706911087036133,R_A2,1666.998291015625,0.0,2018-01-01,30,13,302.3004455566406,22,0
STANDARD,14,302.4385986328125,0.6850926876068115,R_A2,1669.0577392578125,0.0,2018-01-01,30,14,302.4385986328125,22,0
STANDARD,15,302.5767517089844,0.8671844005584717,R_A2,1671.1171875,0.0,2018-01-01,30,15,302.5767517089844,22,0
