PRESSURE,SGAS,SWAT,WELL,CONBPRES,CONJPOS,DEPTH,DRAWDOWN,WELLMODEL,CONKPOS,DATE,CONIPOS,CONIDX
300.7673645019531,0.0,0.05355171486735344,R_A2,300.7673645019531,30,1640.79052734375,0,STANDARD,1,2018-01-01,22,1
300.8873291015625,0.0,0.05553264170885086,R_A2,300.8873291015625,30,1642.579833984375,0,STANDARD,2,2018-01-01,22,2
301.00732421875,0.0,0.05849892273545265,R_A2,301.00732421875,30,1644.369140625,0,STANDARD,3,2018-01-01,22,3
301.1272888183594,0.0,0.06369034200906754,R_A2,301.1272888183594,30,1646.158447265625,0,STANDARD,4,2018-01-01,22,4
301.2472839355469,0.0,0.06686090677976608,R_A2,301.2472839355469,30,1647.9476318359375,0,STANDARD,5,2018-01-01,22,5
301.3672790527344,0.0,0.306506484746933,R_A2,301.3672790527344,30,1649.7369384765625,0,STANDARD,6,2018-01-01,22,6
301.4872741699219,0.0,0.8749319314956665,R_A2,301.4872741699219,30,1651.5262451171875,0,STANDARD,7,2018-01-01,22,7
301.6072998046875,0.0,0.8580148816108704,R_A2,301.6072998046875,30,1653.3155517578125,0,STANDARD,8,2018-01-01,22,8
301.727294921875,0.0,0.17998149991035461,R_A2,301.727294921875,30,1655.104736328125,0,STANDARD,9,2018-01-01,22,9
301.8472900390625,0.0,0.6481541991233826,R_A2,301.8472900390625,30,1656.89404296875,0,STANDARD,10,2018-01-01,22,10
301.97467041015625,0.0,0.06834077835083008,R_A2,301.97467041015625,30,1658.7930908203125,0,STANDARD,11,2018-01-01,22,11
302.2441711425781,0.0,0.4355466663837433,R_A2,302.2441711425781,30,1662.8109130859375,0,STANDARD,13,2018-01-01,22,12
302.3789367675781,0.0,0.47460880875587463,R_A2,302.3789367675781,30,1664.81982421875,0,STANDARD,14,2018-01-01,22,13
302.5137023925781,0.0,0.9070073962211609,R_A2,302.5137023925781,30,1666.8287353515625,0,STANDARD,15,2018-01-01,22,14
