CONKPOS,CONJPOS,CONBPRES,SWAT,CONIPOS,DATE,WELLMODEL,WELL,PRESSURE,SGAS,CONIDX,DRAWDOWN,DEPTH
1,30,300.8189392089844,0.05430037900805473,22,2018-01-01,STANDARD,R_A2,300.8189392089844,0.0,1,0,1641.5723876953125
2,30,300.9374084472656,0.056338146328926086,22,2018-01-01,STANDARD,R_A2,300.9374084472656,0.0,2,0,1643.3392333984375
3,30,301.055908203125,0.05989442765712738,22,2018-01-01,STANDARD,R_A2,301.055908203125,0.0,3,0,1645.1060791015625
4,30,301.17437744140625,0.06626445055007935,22,2018-01-01,STANDARD,R_A2,301.17437744140625,0.0,4,0,1646.8729248046875
5,30,301.2928771972656,0.06903325021266937,22,2018-01-01,STANDARD,R_A2,301.2928771972656,0.0,5,0,1648.6397705078125
6,30,301.411376953125,0.6481541991233826,22,2018-01-01,STANDARD,R_A2,301.411376953125,0.0,6,0,1650.4066162109375
7,30,301.52984619140625,0.8776509165763855,22,2018-01-01,STANDARD,R_A2,301.52984619140625,0.0,7,0,1652.1734619140625
8,30,301.6483459472656,0.6481541991233826,22,2018-01-01,STANDARD,R_A2,301.6483459472656,0.0,8,0,1653.9403076171875
9,30,301.7668762207031,0.6481541991233826,22,2018-01-01,STANDARD,R_A2,301.7668762207031,0.0,9,0,1655.7071533203125
10,30,301.8853759765625,0.6481541991233826,22,2018-01-01,STANDARD,R_A2,301.8853759765625,0.0,10,0,1657.4739990234375
11,30,302.01300048828125,0.06939877569675446,22,2018-01-01,STANDARD,R_A2,302.01300048828125,0.0,11,0,1659.376708984375
12,30,302.14971923828125,0.07295070588588715,22,2018-01-01,STANDARD,R_A2,302.14971923828125,0.0,12,0,1661.4150390625
13,30,302.28643798828125,0.43173640966415405,22,2018-01-01,STANDARD,R_A2,302.28643798828125,0.0,13,0,1663.4534912109375
14,30,302.4231872558594,0.470718652009964,22,2018-01-01,STANDARD,R_A2,302.4231872558594,0.0,14,0,1665.491943359375
15,30,302.5599365234375,0.9170587062835693,22,2018-01-01,STANDARD,R_A2,302.5599365234375,0.0,15,0,1667.5302734375
16,30,302.6966857910156,0.9397011995315552,22,2018-01-01,STANDARD,R_A2,302.6966857910156,0.0,16,0,1669.5687255859375
17,30,302.83343505859375,0.8776058554649353,22,2018-01-01,STANDARD,R_A2,302.83343505859375,0.0,17,0,1671.607177734375
17,29,302.8851318359375,0.8944004774093628,22,2018-01-01,STANDARD,R_A2,302.8851318359375,0.0,18,0,1672.3779296875
18,29,303.0148620605469,0.9536222815513611,22,2018-01-01,STANDARD,R_A2,303.0148620605469,0.0,19,0,1674.311767578125
26,29,303.14984130859375,0.8072752952575684,22,2018-01-01,STANDARD,R_A2,303.14984130859375,0.0,20,0,1676.3233642578125
27,29,303.2711486816406,1.0,22,2018-01-01,STANDARD,R_A2,303.2711486816406,0.0,21,0,1678.1312255859375
28,29,303.3924560546875,0.7227212190628052,22,2018-01-01,STANDARD,R_A2,303.3924560546875,0.0,22,0,1679.939208984375
29,29,303.839111328125,1.0,22,2018-01-01,STANDARD,R_A2,303.839111328125,0.0,23,0,1681.7470703125
30,29,304.01043701171875,1.0,22,2018-01-01,STANDARD,R_A2,304.01043701171875,0.0,24,0,1683.554931640625
1,41,298.6155700683594,0.30990272760391235,28,2018-01-01,STANDARD,R_A3,298.6155700683594,0.0,1,0,1608.7041015625
2,41,298.7519836425781,0.19297681748867035,28,2018-01-01,STANDARD,R_A3,298.7519836425781,0.0,2,0,1610.7396240234375
3,41,298.888427734375,0.11823459714651108,28,2018-01-01,STANDARD,R_A3,298.888427734375,0.0,3,0,1612.775390625
4,41,299.0248718261719,0.10184412449598312,28,2018-01-01,STANDARD,R_A3,299.0248718261719,0.0,4,0,1614.81103515625
4,41,298.41632080078125,0.6481541991233826,29,2018-01-01,STANDARD,R_A3,298.41632080078125,0.0,5,0,1605.7310791015625
5,41,298.5589599609375,0.8065059185028076,29,2018-01-01,STANDARD,R_A3,298.5589599609375,0.0,6,0,1607.8594970703125
6,41,298.7016296386719,0.6481541991233826,29,2018-01-01,STANDARD,R_A3,298.7016296386719,0.0,7,0,1609.9879150390625
