PRESSURE,CONIDX,SWAT,DEPTH,CONIPOS,CONJPOS,DATE,SGAS,WELLMODEL,DRAWDOWN,CONBPRES,CONKPOS,WELL
300.6733093261719,1,0.05659883841872215,1641.094970703125,22,30,2018-01-01,0.0,STANDARD,0,300.6733093261719,1,R_A2
300.7936096191406,2,0.057897210121154785,1642.8890380859375,22,30,2018-01-01,0.0,STANDARD,0,300.7936096191406,2,R_A2
300.9139099121094,3,0.06060889735817909,1644.68310546875,22,30,2018-01-01,0.0,STANDARD,0,300.9139099121094,3,R_A2
301.0342102050781,4,0.06530755013227463,1646.4771728515625,22,30,2018-01-01,0.0,STANDARD,0,301.0342102050781,4,R_A2
301.1545104980469,5,0.06916967034339905,1648.2713623046875,22,30,2018-01-01,0.0,STANDARD,0,301.1545104980469,5,R_A2
301.27484130859375,6,0.3080350458621979,1650.0654296875,22,30,2018-01-01,0.0,STANDARD,0,301.27484130859375,6,R_A2
301.3951721191406,7,0.8966805338859558,1651.859619140625,22,30,2018-01-01,0.0,STANDARD,0,301.3951721191406,7,R_A2
301.5154724121094,8,0.8801488876342773,1653.6536865234375,22,30,2018-01-01,0.0,STANDARD,0,301.5154724121094,8,R_A2
301.63580322265625,9,0.9076734781265259,1655.44775390625,22,30,2018-01-01,0.0,STANDARD,0,301.63580322265625,9,R_A2
301.7561340332031,10,0.9077416062355042,1657.2418212890625,22,30,2018-01-01,0.0,STANDARD,0,301.7561340332031,10,R_A2
301.88323974609375,11,0.07622610777616501,1659.1368408203125,22,30,2018-01-01,0.0,STANDARD,0,301.88323974609375,11,R_A2
302.01708984375,12,0.08180969953536987,1661.132568359375,22,30,2018-01-01,0.0,STANDARD,0,302.01708984375,12,R_A2
302.1509704589844,13,0.4750072658061981,1663.12841796875,22,30,2018-01-01,0.0,STANDARD,0,302.1509704589844,13,R_A2
302.28485107421875,14,0.512985348701477,1665.1241455078125,22,30,2018-01-01,0.0,STANDARD,0,302.28485107421875,14,R_A2
302.4187316894531,15,0.679781973361969,1667.1199951171875,22,30,2018-01-01,0.0,STANDARD,0,302.4187316894531,15,R_A2
302.5526123046875,16,0.9705216884613037,1669.11572265625,22,30,2018-01-01,0.0,STANDARD,0,302.5526123046875,16,R_A2
302.6864929199219,17,0.9569120407104492,1671.111572265625,22,30,2018-01-01,0.0,STANDARD,0,302.6864929199219,17,R_A2
302.8123779296875,18,0.9819161295890808,1672.9881591796875,22,30,2018-01-01,0.0,STANDARD,0,302.8123779296875,18,R_A2
302.89569091796875,19,0.9946486949920654,1674.229736328125,22,29,2018-01-01,0.0,STANDARD,0,302.89569091796875,18,R_A2
303.02569580078125,20,1.0,1676.1676025390625,22,29,2018-01-01,0.0,STANDARD,0,303.02569580078125,27,R_A2
303.47802734375,21,1.0,1677.9368896484375,22,29,2018-01-01,0.0,STANDARD,0,303.47802734375,28,R_A2
303.64569091796875,22,1.0,1679.7061767578125,22,29,2018-01-01,0.0,STANDARD,0,303.64569091796875,29,R_A2
303.8133544921875,23,1.0,1681.4754638671875,22,29,2018-01-01,0.0,STANDARD,0,303.8133544921875,30,R_A2
303.98101806640625,24,1.0,1683.2447509765625,22,29,2018-01-01,0.0,STANDARD,0,303.98101806640625,31,R_A2
298.53814697265625,1,0.6481541991233826,1609.243408203125,28,41,2018-01-01,0.0,STANDARD,0,298.53814697265625,1,R_A3
298.676513671875,2,0.1989089697599411,1611.3077392578125,28,41,2018-01-01,0.0,STANDARD,0,298.676513671875,2,R_A3
298.8148498535156,3,0.19339895248413086,1613.3720703125,28,41,2018-01-01,0.0,STANDARD,0,298.8148498535156,3,R_A3
298.9532165527344,4,0.3768196403980255,1615.4365234375,28,41,2018-01-01,0.0,STANDARD,0,298.9532165527344,4,R_A3
299.0915832519531,5,0.6481541991233826,1617.5008544921875,28,41,2018-01-01,0.0,STANDARD,0,299.0915832519531,5,R_A3
299.2299499511719,6,0.11064504086971283,1619.565185546875,28,41,2018-01-01,0.0,STANDARD,0,299.2299499511719,6,R_A3
298.54638671875,7,0.2853010296821594,1609.3663330078125,29,41,2018-01-01,0.0,STANDARD,0,298.54638671875,6,R_A3
298.68377685546875,8,0.1971457451581955,1611.4163818359375,29,41,2018-01-01,0.0,STANDARD,0,298.68377685546875,7,R_A3
298.8211669921875,9,0.19843679666519165,1613.46630859375,29,41,2018-01-01,0.0,STANDARD,0,298.8211669921875,8,R_A3
298.95855712890625,10,0.6858067512512207,1615.516357421875,29,41,2018-01-01,0.0,STANDARD,0,298.95855712890625,9,R_A3
299.095947265625,11,0.6481541991233826,1617.5662841796875,29,41,2018-01-01,0.0,STANDARD,0,299.095947265625,10,R_A3
299.24237060546875,12,0.0510573647916317,1619.750732421875,29,41,2018-01-01,0.0,STANDARD,0,299.24237060546875,11,R_A3
299.3978271484375,13,0.054299186915159225,1622.0697021484375,29,41,2018-01-01,0.0,STANDARD,0,299.3978271484375,12,R_A3
299.5532531738281,14,0.37318161129951477,1624.388671875,29,41,2018-01-01,0.0,STANDARD,0,299.5532531738281,13,R_A3
299.7087097167969,15,0.35039278864860535,1626.707763671875,29,41,2018-01-01,0.0,STANDARD,0,299.7087097167969,14,R_A3
299.8641662597656,16,0.4955688714981079,1629.026611328125,29,41,2018-01-01,0.0,STANDARD,0,299.8641662597656,15,R_A3
299.992919921875,17,0.8111844658851624,1630.9468994140625,29,41,2018-01-01,0.0,STANDARD,0,299.992919921875,16,R_A3
300.16583251953125,18,0.7162989377975464,1633.5262451171875,29,41,2018-01-01,0.0,STANDARD,0,300.16583251953125,27,R_A3
300.40966796875,19,0.043079812079668045,1637.1630859375,29,41,2018-01-01,0.0,STANDARD,0,300.40966796875,28,R_A3
300.6535339355469,20,0.11963227391242981,1640.8001708984375,29,41,2018-01-01,0.0,STANDARD,0,300.6535339355469,29,R_A3
300.89739990234375,21,0.6481541991233826,1644.4371337890625,29,41,2018-01-01,0.0,STANDARD,0,300.89739990234375,30,R_A3
301.14129638671875,22,0.06493213027715683,1648.0740966796875,29,41,2018-01-01,0.0,STANDARD,0,301.14129638671875,31,R_A3
300.009033203125,1,0.05092088505625725,1631.1873779296875,30,52,2018-01-01,0.0,STANDARD,0,300.009033203125,1,R_A4
299.7571105957031,2,0.04962099716067314,1627.4293212890625,31,52,2018-01-01,0.0,STANDARD,0,299.7571105957031,1,R_A4
299.89520263671875,3,0.051607757806777954,1629.4896240234375,31,52,2018-01-01,0.0,STANDARD,0,299.89520263671875,2,R_A4
300.0333251953125,4,0.054534994065761566,1631.5498046875,31,52,2018-01-01,0.0,STANDARD,0,300.0333251953125,3,R_A4
300.17144775390625,5,0.056367576122283936,1633.610107421875,31,52,2018-01-01,0.0,STANDARD,0,300.17144775390625,4,R_A4
300.0901184082031,6,0.05706184357404709,1632.3968505859375,32,52,2018-01-01,0.0,STANDARD,0,300.0901184082031,4,R_A4
300.3236999511719,7,0.11242767423391342,1635.880615234375,32,51,2018-01-01,0.0,STANDARD,0,300.3236999511719,4,R_A4
300.4202575683594,8,0.1584090143442154,1637.321044921875,33,51,2018-01-01,0.0,STANDARD,0,300.4202575683594,4,R_A4
