WELL,SWAT,WELLMODEL,PRESSURE,CONIDX,DATE,CONKPOS,CONIPOS,SGAS,DRAWDOWN,DEPTH,CONJPOS,CONBPRES
R_A2,0.056692592799663544,STANDARD,300.6733093261719,1,2018-01-01,1,22,0.0,0,1641.094970703125,30,300.6733093261719
R_A2,0.05867929756641388,STANDARD,300.7936096191406,2,2018-01-01,2,22,0.0,0,1642.8890380859375,30,300.7936096191406
R_A2,0.061895012855529785,STANDARD,300.9139099121094,3,2018-01-01,3,22,0.0,0,1644.68310546875,30,300.9139099121094
R_A2,0.06773295253515244,STANDARD,301.0342102050781,4,2018-01-01,4,22,0.0,0,1646.4771728515625,30,301.0342102050781
R_A2,0.07102545350790024,STANDARD,301.1545104980469,5,2018-01-01,5,22,0.0,0,1648.2713623046875,30,301.1545104980469
R_A2,0.32000941038131714,STANDARD,301.27484130859375,6,2018-01-01,6,22,0.0,0,1650.0654296875,30,301.27484130859375
R_A2,0.8964528441429138,STANDARD,301.3951721191406,7,2018-01-01,7,22,0.0,0,1651.859619140625,30,301.3951721191406
R_A2,0.721605658531189,STANDARD,301.5154724121094,8,2018-01-01,8,22,0.0,0,1653.6536865234375,30,301.5154724121094
R_A2,0.8981422781944275,STANDARD,301.63580322265625,9,2018-01-01,9,22,0.0,0,1655.44775390625,30,301.63580322265625
R_A2,0.9288972020149231,STANDARD,301.7561340332031,10,2018-01-01,10,22,0.0,0,1657.2418212890625,30,301.7561340332031
R_A2,0.0764261856675148,STANDARD,301.88323974609375,11,2018-01-01,11,22,0.0,0,1659.1368408203125,30,301.88323974609375
R_A2,0.07991793006658554,STANDARD,302.01708984375,12,2018-01-01,12,22,0.0,0,1661.132568359375,30,302.01708984375
R_A2,0.44190388917922974,STANDARD,302.1509704589844,13,2018-01-01,13,22,0.0,0,1663.12841796875,30,302.1509704589844
R_A2,0.5030866861343384,STANDARD,302.28485107421875,14,2018-01-01,14,22,0.0,0,1665.1241455078125,30,302.28485107421875
R_A2,0.6875477433204651,STANDARD,302.4187316894531,15,2018-01-01,15,22,0.0,0,1667.1199951171875,30,302.4187316894531
R_A2,0.9696621894836426,STANDARD,302.5526123046875,16,2018-01-01,16,22,0.0,0,1669.11572265625,30,302.5526123046875
R_A2,0.9681722521781921,STANDARD,302.6864929199219,17,2018-01-01,17,22,0.0,0,1671.111572265625,30,302.6864929199219
R_A2,0.988319993019104,STANDARD,302.8123779296875,18,2018-01-01,18,22,0.0,0,1672.9881591796875,30,302.8123779296875
