CONIDX,WELLMODEL,DEPTH,CONBPRES,SGAS,PRESSURE,CONKPOS,DATE,DRAWDOWN,CONJPOS,CONIPOS,WELL,SWAT
1,STANDARD,1640.0118408203125,300.6811218261719,0.0,300.6811218261719,1,2018-01-01,0,30,22,R_A2,0.052915532141923904
2,STANDARD,1641.8089599609375,300.8016357421875,0.0,300.8016357421875,2,2018-01-01,0,30,22,R_A2,0.05565737187862396
3,STANDARD,1643.606201171875,300.9221496582031,0.0,300.9221496582031,3,2018-01-01,0,30,22,R_A2,0.05843431130051613
4,STANDARD,1645.4033203125,301.04266357421875,0.0,301.04266357421875,4,2018-01-01,0,30,22,R_A2,0.06435450166463852
5,STANDARD,1647.200439453125,301.1631774902344,0.0,301.1631774902344,5,2018-01-01,0,30,22,R_A2,0.0668865442276001
6,STANDARD,1648.99755859375,301.28369140625,0.0,301.28369140625,6,2018-01-01,0,30,22,R_A2,0.1638278067111969
7,STANDARD,1650.7947998046875,301.40423583984375,0.0,301.40423583984375,7,2018-01-01,0,30,22,R_A2,0.6481541991233826
8,STANDARD,1652.5919189453125,301.5247497558594,0.0,301.5247497558594,8,2018-01-01,0,30,22,R_A2,0.22332747280597687
9,STANDARD,1654.3890380859375,301.645263671875,0.0,301.645263671875,9,2018-01-01,0,30,22,R_A2,0.6481541991233826
10,STANDARD,1656.186279296875,301.76580810546875,0.0,301.76580810546875,10,2018-01-01,0,30,22,R_A2,0.9003781080245972
11,STANDARD,1658.064208984375,301.89178466796875,0.0,301.89178466796875,11,2018-01-01,0,30,22,R_A2,0.06991387903690338
12,STANDARD,1660.0230712890625,302.0231628417969,0.0,302.0231628417969,12,2018-01-01,0,30,22,R_A2,0.07171212136745453
13,STANDARD,1661.98193359375,302.154541015625,0.0,302.154541015625,13,2018-01-01,0,30,22,R_A2,0.41352593898773193
14,STANDARD,1663.940673828125,302.28594970703125,0.0,302.28594970703125,14,2018-01-01,0,30,22,R_A2,0.46983277797698975
15,STANDARD,1665.8995361328125,302.4173278808594,0.0,302.4173278808594,15,2018-01-01,0,30,22,R_A2,0.6470507383346558
16,STANDARD,1667.8583984375,302.5487365722656,0.0,302.5487365722656,16,2018-01-01,0,30,22,R_A2,0.9284520149230957
17,STANDARD,1669.817138671875,302.6801452636719,0.0,302.6801452636719,17,2018-01-01,0,30,22,R_A2,0.886045515537262
18,STANDARD,1669.3284912109375,302.6473693847656,0.0,302.6473693847656,17,2018-01-01,0,29,22,R_A2,0.8968222141265869
19,STANDARD,1671.349609375,302.782958984375,0.0,302.782958984375,18,2018-01-01,0,29,22,R_A2,0.9362856149673462
