PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,7.550279,,100.0,0.13242961,1.1174244,17.731514,9.832741,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.086333744,,0.24936491,0.0,0.025332619,0.14740525,0.045316316,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.99328053,,1.0,0.0,1.0,1.0,0.08113432,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,2997.1038,,10000.0,28.752455,442.5789,8329.241,2879.4395,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.24944723,,0.44356805,0.07396136,0.18671347,0.31324825,0.049454737,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.992676,,1.0,0.114002615,1.0,1.0,0.071038105,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,204.95628,,1000.0,2.7643585,27.91948,501.492,231.54422,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.20854959,,0.3723315,0.0434767,0.14335942,0.2724671,0.04974925,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.99903667,,1.0,0.56613046,1.0,1.0,0.017129665,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,10.526682,,100.0,0.10904862,1.2533923,25.837961,15.500655,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.10117259,,0.26743326,0.0,0.034732636,0.17016901,0.05133184,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.6982853,,1.0,0.0,0.29167157,1.0,0.31517804,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,3171.1028,,10000.0,19.720444,495.8028,8588.573,2929.3267,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.25138366,,0.42973268,0.06098488,0.19030832,0.3133381,0.047936138,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.4553688,,1.0,0.020399308,0.034050643,1.0,0.4581611,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,196.69673,,1000.0,0.8247856,26.944012,480.50644,217.78578,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.20810829,,0.37505156,0.008561224,0.14033528,0.2722218,0.051409196,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.5387455,,1.0,0.053701065,0.0952681,1.0,0.41686663,geogrid,geogrid
PERM,LowerReek,North,Background,12.962897,,100.0,0.09194772,1.7239815,30.511028,16.635784,geogrid,geogrid
PORO,LowerReek,North,Background,0.10570269,,0.2755325,0.0,0.04564114,0.1664582,0.046669606,geogrid,geogrid
SW,LowerReek,North,Background,0.9943727,,1.0,0.20066825,1.0,1.0,0.05670734,geogrid,geogrid
PERM,LowerReek,North,Channel,3037.634,,10000.0,25.313885,450.66812,8251.957,2887.1274,geogrid,geogrid
PORO,LowerReek,North,Channel,0.24880092,,0.43185717,0.053387344,0.18464087,0.31161183,0.04928264,geogrid,geogrid
SW,LowerReek,North,Channel,0.98910123,,1.0,0.025142059,1.0,1.0,0.10119336,geogrid,geogrid
PERM,LowerReek,North,Crevasse,198.01306,,1000.0,1.6851916,25.379889,503.80475,234.64357,geogrid,geogrid
PORO,LowerReek,North,Crevasse,0.2067219,,0.3823469,0.038497314,0.14374323,0.27148396,0.049970903,geogrid,geogrid
SW,LowerReek,North,Crevasse,0.9975876,,1.0,0.117461,1.0,1.0,0.044814903,geogrid,geogrid
PERM,LowerReek,Reach,Background,10.859852,,100.0,0.19462095,1.8099856,24.122879,12.09374,geogrid,geogrid
PORO,LowerReek,Reach,Background,0.10254915,,0.23950511,0.0,0.04426469,0.15973139,0.044192795,geogrid,geogrid
SW,LowerReek,Reach,Background,0.9173344,,1.0,0.0,0.5596197,1.0,0.18332818,geogrid,geogrid
PERM,LowerReek,Reach,Channel,3267.2246,,10000.0,19.001698,478.31726,9329.769,3027.7925,geogrid,geogrid
PORO,LowerReek,Reach,Channel,0.25055325,,0.47213888,0.030142948,0.18633965,0.31500247,0.050526537,geogrid,geogrid
SW,LowerReek,Reach,Channel,0.5719922,,1.0,0.023854973,0.058416776,1.0,0.44338447,geogrid,geogrid
PERM,LowerReek,Reach,Crevasse,172.3091,,1000.0,1.7313409,19.631384,426.83945,214.73938,geogrid,geogrid
PORO,LowerReek,Reach,Crevasse,0.19754367,,0.35476285,0.032218844,0.1305505,0.26555097,0.05152136,geogrid,geogrid
SW,LowerReek,Reach,Crevasse,0.63862765,,1.0,0.071800604,0.18261504,1.0,0.35634664,geogrid,geogrid
PERM,LowerReek,Stormlands,Background,6.0942855,,28.5007,1.0432866,1.6603298,12.447128,5.665525,geogrid,geogrid
PORO,LowerReek,Stormlands,Background,0.08819109,,0.1879175,0.021513954,0.04410066,0.13345751,0.035371438,geogrid,geogrid
SW,LowerReek,Stormlands,Background,0.33125523,,0.5874269,0.19324507,0.24746294,0.40553346,0.07129233,geogrid,geogrid
PERM,LowerReek,Stormlands,Channel,3404.316,,10000.0,83.443405,547.12354,8879.937,2980.3254,geogrid,geogrid
PORO,LowerReek,Stormlands,Channel,0.2530411,,0.39200193,0.10019639,0.18897896,0.3142347,0.048289906,geogrid,geogrid
SW,LowerReek,Stormlands,Channel,0.042231012,,0.1530355,0.020028317,0.025764272,0.062367916,0.015675977,geogrid,geogrid
PERM,LowerReek,Stormlands,Crevasse,189.62608,,1000.0,3.7454333,21.833818,427.1874,215.30911,geogrid,geogrid
PORO,LowerReek,Stormlands,Crevasse,0.20250155,,0.32361272,0.06749599,0.13602836,0.26149,0.04804659,geogrid,geogrid
SW,LowerReek,Stormlands,Crevasse,0.11971824,,0.4065885,0.047713585,0.068401344,0.194141,0.05371364,geogrid,geogrid
PERM,LowerReek,Vale,Background,18.133175,,100.0,0.18044825,2.3757992,45.499737,22.826126,geogrid,geogrid
PORO,LowerReek,Vale,Background,0.107823744,,0.3010579,0.0,0.04894487,0.16984648,0.048840765,geogrid,geogrid
SW,LowerReek,Vale,Background,0.41622922,,1.0,0.0,0.18611155,1.0,0.28128973,geogrid,geogrid
PERM,LowerReek,Vale,Channel,3518.2407,,10000.0,26.3483,530.6481,10000.0,3093.7039,geogrid,geogrid
PORO,LowerReek,Vale,Channel,0.25553405,,0.43500376,0.06389324,0.18992111,0.31827587,0.050138548,geogrid,geogrid
SW,LowerReek,Vale,Channel,0.86738676,,1.0,0.023159595,0.056665204,1.0,0.32648867,geogrid,geogrid
PERM,LowerReek,Vale,Crevasse,173.6114,,1000.0,1.4035813,21.83339,435.44064,224.49495,geogrid,geogrid
PORO,LowerReek,Vale,Crevasse,0.19593458,,0.38916406,0.040167123,0.1303348,0.26196513,0.05308565,geogrid,geogrid
SW,LowerReek,Vale,Crevasse,0.83835924,,1.0,0.07303002,0.20806149,1.0,0.31193024,geogrid,geogrid
PERM,LowerReek,Westerlands,Background,11.298119,,100.0,0.05670726,1.4865094,25.85099,14.588339,geogrid,geogrid
PORO,LowerReek,Westerlands,Background,0.10086206,,0.3175366,0.0,0.035379052,0.16589361,0.04998713,geogrid,geogrid
SW,LowerReek,Westerlands,Background,0.9990673,,1.0,0.0,1.0,1.0,0.01992045,geogrid,geogrid
PERM,LowerReek,Westerlands,Channel,2978.7527,,10000.0,23.196264,429.39612,8193.424,2871.2722,geogrid,geogrid
PORO,LowerReek,Westerlands,Channel,0.24769844,,0.45217335,0.052683026,0.18335655,0.31173447,0.05042842,geogrid,geogrid
SW,LowerReek,Westerlands,Channel,0.9568078,,1.0,0.0439486,1.0,1.0,0.18667342,geogrid,geogrid
PERM,LowerReek,Westerlands,Crevasse,180.72725,,1000.0,0.6647755,21.875347,452.17294,217.63559,geogrid,geogrid
PORO,LowerReek,Westerlands,Crevasse,0.20252655,,0.35818017,0.02039203,0.13515446,0.26855746,0.051409595,geogrid,geogrid
SW,LowerReek,Westerlands,Crevasse,0.99299526,,1.0,0.12479314,1.0,1.0,0.06708903,geogrid,geogrid
PERM,MidReek,Dorne,Background,12.146097,,100.0,0.086322986,1.6087186,28.222607,15.738867,geogrid,geogrid
PORO,MidReek,Dorne,Background,0.110099286,,0.25460574,0.0,0.048122585,0.17065364,0.0469018,geogrid,geogrid
SW,MidReek,Dorne,Background,0.9859092,,1.0,0.0,1.0,1.0,0.07448281,geogrid,geogrid
PERM,MidReek,Dorne,Channel,3151.306,,10000.0,16.936092,426.27847,9095.972,3004.7478,geogrid,geogrid
PORO,MidReek,Dorne,Channel,0.25212106,,0.44552135,0.066189826,0.1844165,0.3188975,0.05196535,geogrid,geogrid
SW,MidReek,Dorne,Channel,0.990183,,1.0,0.06142998,1.0,1.0,0.08728904,geogrid,geogrid
PERM,MidReek,Dorne,Crevasse,190.73206,,1000.0,0.96568424,22.761578,472.14612,227.20976,geogrid,geogrid
PORO,MidReek,Dorne,Crevasse,0.20359282,,0.35548782,0.018529117,0.13624868,0.27191788,0.05196599,geogrid,geogrid
SW,MidReek,Dorne,Crevasse,0.9962233,,1.0,0.13139817,1.0,1.0,0.051018056,geogrid,geogrid
PERM,MidReek,IronIslands,Background,12.456702,,100.0,0.14144628,1.7353429,27.594994,15.969912,geogrid,geogrid
PORO,MidReek,IronIslands,Background,0.11073486,,0.27306956,0.0,0.04713261,0.17492422,0.04886722,geogrid,geogrid
SW,MidReek,IronIslands,Background,0.6094385,,1.0,0.0,0.23792575,1.0,0.3130601,geogrid,geogrid
PERM,MidReek,IronIslands,Channel,3263.2764,,10000.0,4.312695,393.26886,9407.894,3049.156,geogrid,geogrid
PORO,MidReek,IronIslands,Channel,0.24869609,,0.41102028,0.06616789,0.18255468,0.31162596,0.05064489,geogrid,geogrid
SW,MidReek,IronIslands,Channel,0.39247885,,1.0,0.017870827,0.029458404,1.0,0.44576535,geogrid,geogrid
PERM,MidReek,IronIslands,Crevasse,188.73329,,1000.0,2.8353004,25.645107,451.84253,218.22382,geogrid,geogrid
PORO,MidReek,IronIslands,Crevasse,0.20549725,,0.38804948,0.053090245,0.13917941,0.26844624,0.049111493,geogrid,geogrid
SW,MidReek,IronIslands,Crevasse,0.5751074,,1.0,0.04382945,0.09093281,1.0,0.41949728,geogrid,geogrid
PERM,MidReek,North,Background,12.048034,,100.0,0.09755289,1.3563381,28.86688,16.710184,geogrid,geogrid
PORO,MidReek,North,Background,0.09749911,,0.28843832,0.0,0.03194493,0.16328189,0.0498788,geogrid,geogrid
