SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,22,0,0.056208256632089615,1,30,R_A2,300.7107849121094,STANDARD,300.7107849121094,1,2018-01-01,1641.3486328125
0.0,22,0,0.05779533088207245,2,30,R_A2,300.8279724121094,STANDARD,300.8279724121094,2,2018-01-01,1643.096435546875
0.0,22,0,0.06248123198747635,3,30,R_A2,300.9451599121094,STANDARD,300.9451599121094,3,2018-01-01,1644.8441162109375
0.0,22,0,0.0672856867313385,4,30,R_A2,301.0623779296875,STANDARD,301.0623779296875,4,2018-01-01,1646.5919189453125
0.0,22,0,0.06985457241535187,5,30,R_A2,301.1795654296875,STANDARD,301.1795654296875,5,2018-01-01,1648.339599609375
0.0,22,0,0.30507034063339233,6,30,R_A2,301.2967834472656,STANDARD,301.2967834472656,6,2018-01-01,1650.08740234375
0.0,22,0,0.8929369449615479,7,30,R_A2,301.4139709472656,STANDARD,301.4139709472656,7,2018-01-01,1651.8350830078125
0.0,22,0,0.8691825270652771,8,30,R_A2,301.53118896484375,STANDARD,301.53118896484375,8,2018-01-01,1653.582763671875
0.0,22,0,0.8798969388008118,9,30,R_A2,301.6484069824219,STANDARD,301.6484069824219,9,2018-01-01,1655.33056640625
0.0,22,0,0.9053074717521667,10,30,R_A2,301.765625,STANDARD,301.765625,10,2018-01-01,1657.078369140625
0.0,22,0,0.07396107912063599,11,30,R_A2,301.8923034667969,STANDARD,301.8923034667969,11,2018-01-01,1658.966796875
0.0,22,0,0.45556697249412537,13,30,R_A2,302.1645202636719,STANDARD,302.1645202636719,12,2018-01-01,1663.0252685546875
0.0,22,0,0.4925955533981323,14,30,R_A2,302.3006286621094,STANDARD,302.3006286621094,13,2018-01-01,1665.054443359375
0.0,22,0,0.9454492330551147,15,30,R_A2,302.4367370605469,STANDARD,302.4367370605469,14,2018-01-01,1667.0836181640625
0.0,22,0,0.9616677761077881,16,30,R_A2,302.5728759765625,STANDARD,302.5728759765625,15,2018-01-01,1669.11279296875
0.0,22,0,0.9370828866958618,17,30,R_A2,302.7090148925781,STANDARD,302.7090148925781,16,2018-01-01,1671.1419677734375
0.0,22,0,0.9773917198181152,18,30,R_A2,302.8058166503906,STANDARD,302.8058166503906,17,2018-01-01,1672.5849609375
