WELL,CONBPRES,DATE,SWAT,DEPTH,CONKPOS,WELLMODEL,CONJPOS,CONIPOS,SGAS,CONIDX,DRAWDOWN,PRESSURE
R_A2,300.7640686035156,2018-01-01,0.05432809516787529,1640.6181640625,1,STANDARD,30,22,0.0,1,0,300.7640686035156
R_A2,300.8811340332031,2018-01-01,0.05500759184360504,1642.3636474609375,2,STANDARD,30,22,0.0,2,0,300.8811340332031
R_A2,300.9981689453125,2018-01-01,0.057313401252031326,1644.109130859375,3,STANDARD,30,22,0.0,3,0,300.9981689453125
R_A2,301.115234375,2018-01-01,0.061861708760261536,1645.8546142578125,4,STANDARD,30,22,0.0,4,0,301.115234375
R_A2,301.2322692871094,2018-01-01,0.0637211948633194,1647.60009765625,5,STANDARD,30,22,0.0,5,0,301.2322692871094
R_A2,301.3493347167969,2018-01-01,0.3017593324184418,1649.3455810546875,6,STANDARD,30,22,0.0,6,0,301.3493347167969
R_A2,301.4664001464844,2018-01-01,0.8756089210510254,1651.091064453125,7,STANDARD,30,22,0.0,7,0,301.4664001464844
R_A2,301.5834655761719,2018-01-01,0.8394914269447327,1652.8365478515625,8,STANDARD,30,22,0.0,8,0,301.5834655761719
R_A2,301.7005310058594,2018-01-01,0.8842770457267761,1654.5821533203125,9,STANDARD,30,22,0.0,9,0,301.7005310058594
R_A2,301.8175964355469,2018-01-01,0.8810584545135498,1656.3275146484375,10,STANDARD,30,22,0.0,10,0,301.8175964355469
R_A2,301.94464111328125,2018-01-01,0.067095085978508,1658.2215576171875,11,STANDARD,30,22,0.0,11,0,301.94464111328125
R_A2,302.0816345214844,2018-01-01,0.06715523451566696,1660.26416015625,12,STANDARD,30,22,0.0,12,0,302.0816345214844
R_A2,302.2186584472656,2018-01-01,0.42794185876846313,1662.306884765625,13,STANDARD,30,22,0.0,13,0,302.2186584472656
R_A2,302.3556823730469,2018-01-01,0.4756249785423279,1664.3494873046875,14,STANDARD,30,22,0.0,14,0,302.3556823730469
R_A2,302.4927062988281,2018-01-01,0.9056012630462646,1666.3922119140625,15,STANDARD,30,22,0.0,15,0,302.4927062988281
R_A2,302.6297302246094,2018-01-01,0.9041668772697449,1668.434814453125,16,STANDARD,30,22,0.0,16,0,302.6297302246094
R_A2,302.7667541503906,2018-01-01,0.8796425461769104,1670.4774169921875,17,STANDARD,30,22,0.0,17,0,302.7667541503906
