CONIDX,WELL,DRAWDOWN,DATE,DEPTH,CONKPOS,CONBPRES,WELLMODEL,PRESSURE,SGAS,CONJPOS,SWAT,CONIPOS
1,R_A2,0,2018-01-01,1638.781005859375,1,300.5463562011719,STANDARD,300.5463562011719,0.0,30,0.05444576218724251,22
2,R_A2,0,2018-01-01,1640.5537109375,2,300.66522216796875,STANDARD,300.66522216796875,0.0,30,0.056398287415504456,22
3,R_A2,0,2018-01-01,1642.326416015625,3,300.7840881347656,STANDARD,300.7840881347656,0.0,30,0.058125391602516174,22
4,R_A2,0,2018-01-01,1644.09912109375,4,300.9029541015625,STANDARD,300.9029541015625,0.0,30,0.06407961994409561,22
5,R_A2,0,2018-01-01,1645.8717041015625,5,301.0218200683594,STANDARD,301.0218200683594,0.0,30,0.06663911044597626,22
6,R_A2,0,2018-01-01,1647.6444091796875,6,301.14068603515625,STANDARD,301.14068603515625,0.0,30,0.312353253364563,22
7,R_A2,0,2018-01-01,1649.4171142578125,7,301.2595520019531,STANDARD,301.2595520019531,0.0,30,0.8803576231002808,22
8,R_A2,0,2018-01-01,1651.189697265625,8,301.3784484863281,STANDARD,301.3784484863281,0.0,30,0.8731547594070435,22
9,R_A2,0,2018-01-01,1652.96240234375,9,301.4973449707031,STANDARD,301.4973449707031,0.0,30,0.8837311267852783,22
10,R_A2,0,2018-01-01,1654.735107421875,10,301.6162109375,STANDARD,301.6162109375,0.0,30,0.8917375206947327,22
11,R_A2,0,2018-01-01,1656.651123046875,11,301.7447204589844,STANDARD,301.7447204589844,0.0,30,0.07298160344362259,22
12,R_A2,0,2018-01-01,1660.7696533203125,13,302.0209655761719,STANDARD,302.0209655761719,0.0,30,0.4547758400440216,22
13,R_A2,0,2018-01-01,1662.828857421875,14,302.1590881347656,STANDARD,302.1590881347656,0.0,30,0.4751259684562683,22
14,R_A2,0,2018-01-01,1664.88818359375,15,302.2972106933594,STANDARD,302.2972106933594,0.0,30,0.918577253818512,22
15,R_A2,0,2018-01-01,1666.9473876953125,16,302.43536376953125,STANDARD,302.43536376953125,0.0,30,0.9385389685630798,22
16,R_A2,0,2018-01-01,1670.37158203125,16,302.6650695800781,STANDARD,302.6650695800781,0.0,29,0.9634111523628235,22
17,R_A2,0,2018-01-01,1672.36865234375,17,302.7990417480469,STANDARD,302.7990417480469,0.0,29,0.9509792327880859,22
18,R_A2,0,2018-01-01,1674.251220703125,18,302.92535400390625,STANDARD,302.92535400390625,0.0,29,0.976590096950531,22
19,R_A2,0,2018-01-01,1676.1280517578125,25,303.05126953125,STANDARD,303.05126953125,0.0,29,0.5686003565788269,22
20,R_A2,0,2018-01-01,1677.875244140625,26,303.1684875488281,STANDARD,303.1684875488281,0.0,29,1.0,22
21,R_A2,0,2018-01-01,1679.622314453125,27,303.63775634765625,STANDARD,303.63775634765625,0.0,29,1.0,22
22,R_A2,0,2018-01-01,1681.369384765625,28,303.8033142089844,STANDARD,303.8033142089844,0.0,29,1.0,22
23,R_A2,0,2018-01-01,1683.1165771484375,29,303.9688720703125,STANDARD,303.9688720703125,0.0,29,1.0,22
1,R_A3,0,2018-01-01,1608.36328125,1,298.5073547363281,STANDARD,298.5073547363281,0.0,41,0.6481541991233826,28
2,R_A3,0,2018-01-01,1610.362060546875,2,298.64129638671875,STANDARD,298.64129638671875,0.0,41,0.2364005297422409,28
3,R_A3,0,2018-01-01,1612.360595703125,3,298.7752380371094,STANDARD,298.7752380371094,0.0,41,0.2240828424692154,28
4,R_A3,0,2018-01-01,1606.1689453125,3,298.36029052734375,STANDARD,298.36029052734375,0.0,41,0.21603959798812866,29
5,R_A3,0,2018-01-01,1608.12744140625,4,298.4915466308594,STANDARD,298.4915466308594,0.0,41,0.22474759817123413,29
6,R_A3,0,2018-01-01,1610.0860595703125,5,298.622802734375,STANDARD,298.622802734375,0.0,41,0.6699191331863403,29
7,R_A3,0,2018-01-01,1612.044677734375,6,298.75408935546875,STANDARD,298.75408935546875,0.0,41,0.6481541991233826,29
8,R_A3,0,2018-01-01,1614.003173828125,7,298.8853454589844,STANDARD,298.8853454589844,0.0,41,0.19603025913238525,29
9,R_A3,0,2018-01-01,1615.9617919921875,8,299.0166015625,STANDARD,299.0166015625,0.0,41,0.29206645488739014,29
10,R_A3,0,2018-01-01,1617.9202880859375,9,299.14788818359375,STANDARD,299.14788818359375,0.0,41,0.8010883331298828,29
11,R_A3,0,2018-01-01,1619.87890625,10,299.2791748046875,STANDARD,299.2791748046875,0.0,41,0.8036157488822937,29
12,R_A3,0,2018-01-01,1621.9925537109375,11,299.42083740234375,STANDARD,299.42083740234375,0.0,41,0.04704827815294266,29
13,R_A3,0,2018-01-01,1624.2613525390625,12,299.57293701171875,STANDARD,299.57293701171875,0.0,41,0.05533788353204727,29
14,R_A3,0,2018-01-01,1626.5301513671875,13,299.7250061035156,STANDARD,299.7250061035156,0.0,41,0.3743647336959839,29
15,R_A3,0,2018-01-01,1628.7989501953125,14,299.8771057128906,STANDARD,299.8771057128906,0.0,41,0.24792645871639252,29
16,R_A3,0,2018-01-01,1631.067626953125,15,300.0292053222656,STANDARD,300.0292053222656,0.0,41,0.5033493638038635,29
17,R_A3,0,2018-01-01,1632.760498046875,16,300.1427001953125,STANDARD,300.1427001953125,0.0,41,0.8139818906784058,29
18,R_A3,0,2018-01-01,1635.0626220703125,25,300.2970275878906,STANDARD,300.2970275878906,0.0,41,0.6481541991233826,29
19,R_A3,0,2018-01-01,1638.5501708984375,26,300.5308837890625,STANDARD,300.5308837890625,0.0,41,0.04401319473981857,29
20,R_A3,0,2018-01-01,1642.0377197265625,27,300.76470947265625,STANDARD,300.76470947265625,0.0,41,0.05420625954866409,29
21,R_A3,0,2018-01-01,1645.525146484375,28,300.9985656738281,STANDARD,300.9985656738281,0.0,41,0.7773978114128113,29
22,R_A3,0,2018-01-01,1649.0126953125,29,301.2324523925781,STANDARD,301.2324523925781,0.0,41,0.14654888212680817,29
1,R_A4,0,2018-01-01,1630.864501953125,1,300.0155944824219,STANDARD,300.0155944824219,0.0,52,0.049777522683143616,30
2,R_A4,0,2018-01-01,1626.1513671875,1,299.6996154785156,STANDARD,299.6996154785156,0.0,52,0.04777660220861435,31
3,R_A4,0,2018-01-01,1628.1927490234375,2,299.8364562988281,STANDARD,299.8364562988281,0.0,52,0.06450338661670685,31
4,R_A4,0,2018-01-01,1630.234130859375,3,299.97332763671875,STANDARD,299.97332763671875,0.0,52,0.20546194911003113,31
5,R_A4,0,2018-01-01,1632.275390625,4,300.11016845703125,STANDARD,300.11016845703125,0.0,52,0.054288703948259354,31
6,R_A4,0,2018-01-01,1634.3167724609375,5,300.2470397949219,STANDARD,300.2470397949219,0.0,52,0.05615628510713577,31
7,R_A4,0,2018-01-01,1632.082275390625,5,300.09722900390625,STANDARD,300.09722900390625,0.0,52,0.05404794588685036,32
8,R_A4,0,2018-01-01,1634.0074462890625,6,300.2262878417969,STANDARD,300.2262878417969,0.0,52,0.0561530776321888,32
9,R_A4,0,2018-01-01,1634.6260986328125,6,300.2677917480469,STANDARD,300.2677917480469,0.0,51,0.0572311207652092,32
10,R_A4,0,2018-01-01,1635.947998046875,6,300.3564147949219,STANDARD,300.3564147949219,0.0,51,0.05848295986652374,33
11,R_A4,0,2018-01-01,1639.406982421875,6,300.58831787109375,STANDARD,300.58831787109375,0.0,50,0.06155836954712868,33
12,R_A4,0,2018-01-01,1640.347412109375,6,300.6513671875,STANDARD,300.6513671875,0.0,50,0.06221568211913109,34
13,R_A4,0,2018-01-01,1638.503173828125,5,300.5277099609375,STANDARD,300.5277099609375,0.0,50,0.06273364275693893,34
14,R_A4,0,2018-01-01,1641.3919677734375,5,300.7214050292969,STANDARD,300.7214050292969,0.0,50,0.06280506402254105,35
15,R_A4,0,2018-01-01,1639.614013671875,4,300.6022033691406,STANDARD,300.6022033691406,0.0,50,0.2347400039434433,35
16,R_A4,0,2018-01-01,1643.427490234375,4,300.85791015625,STANDARD,300.85791015625,0.0,49,0.1449538916349411,35
17,R_A4,0,2018-01-01,1641.6611328125,3,300.7394714355469,STANDARD,300.7394714355469,0.0,49,0.23242314159870148,35
18,R_A4,0,2018-01-01,1639.8948974609375,2,300.62103271484375,STANDARD,300.62103271484375,0.0,49,0.2298639714717865,35
19,R_A4,0,2018-01-01,1642.109619140625,28,300.76953125,STANDARD,300.76953125,0.0,49,0.09289109706878662,36
20,R_A4,0,2018-01-01,1641.7867431640625,28,300.7478942871094,STANDARD,300.7478942871094,0.0,48,0.13580931723117828,36
21,R_A4,0,2018-01-01,1651.27392578125,28,301.38409423828125,STANDARD,301.38409423828125,0.0,48,0.2562352418899536,37
22,R_A4,0,2018-01-01,1645.7347412109375,27,301.01263427734375,STANDARD,301.01263427734375,0.0,48,1.0,37
23,R_A4,0,2018-01-01,1652.2708740234375,27,301.4509582519531,STANDARD,301.4509582519531,0.0,48,1.0,38
24,R_A4,0,2018-01-01,1646.637939453125,26,301.07318115234375,STANDARD,301.07318115234375,0.0,48,0.6481541991233826,38
25,R_A4,0,2018-01-01,1656.1353759765625,26,301.71014404296875,STANDARD,301.71014404296875,0.0,47,0.1485184133052826,38
1,R_A5,0,2018-01-01,1685.06640625,1,303.8478698730469,STANDARD,303.8478698730469,0.0,20,1.0,31
2,R_A5,0,2018-01-01,1687.2628173828125,2,304.0559997558594,STANDARD,304.0559997558594,0.0,20,1.0,31
3,R_A5,0,2018-01-01,1689.459228515625,3,304.2641296386719,STANDARD,304.2641296386719,0.0,20,1.0,31
4,R_A5,0,2018-01-01,1691.6556396484375,4,304.4722900390625,STANDARD,304.4722900390625,0.0,20,1.0,31
5,R_A5,0,2018-01-01,1693.85205078125,5,304.680419921875,STANDARD,304.680419921875,0.0,20,1.0,31
6,R_A5,0,2018-01-01,1696.0484619140625,6,304.8885803222656,STANDARD,304.8885803222656,0.0,20,1.0,31
7,R_A5,0,2018-01-01,1698.244873046875,7,305.4024963378906,STANDARD,305.4024963378906,0.0,20,1.0,31
8,R_A5,0,2018-01-01,1701.6319580078125,11,305.4178466796875,STANDARD,305.4178466796875,0.0,21,1.0,31
9,R_A5,0,2018-01-01,1703.59033203125,12,305.6034240722656,STANDARD,305.6034240722656,0.0,21,1.0,31
10,R_A5,0,2018-01-01,1705.5487060546875,13,305.8009948730469,STANDARD,305.8009948730469,0.0,21,1.0,31
11,R_A5,0,2018-01-01,1707.507080078125,14,305.986572265625,STANDARD,305.986572265625,0.0,21,1.0,31
12,R_A5,0,2018-01-01,1709.4654541015625,15,306.17218017578125,STANDARD,306.17218017578125,0.0,21,1.0,31
13,R_A5,0,2018-01-01,1711.4237060546875,16,306.5027770996094,STANDARD,306.5027770996094,0.0,21,1.0,31
14,R_A5,0,2018-01-01,1713.3734130859375,17,306.68756103515625,STANDARD,306.68756103515625,0.0,21,1.0,31
15,R_A5,0,2018-01-01,1714.821533203125,18,306.8247985839844,STANDARD,306.8247985839844,0.0,21,1.0,31
16,R_A5,0,2018-01-01,1715.4576416015625,19,306.8851013183594,STANDARD,306.8851013183594,0.0,21,1.0,31
17,R_A5,0,2018-01-01,1716.73095703125,25,306.8486633300781,STANDARD,306.8486633300781,0.0,21,1.0,31
18,R_A5,0,2018-01-01,1718.960693359375,26,307.05999755859375,STANDARD,307.05999755859375,0.0,21,1.0,31
19,R_A5,0,2018-01-01,1721.1903076171875,27,307.57708740234375,STANDARD,307.57708740234375,0.0,21,1.0,31
20,R_A5,0,2018-01-01,1723.4200439453125,28,307.7884216308594,STANDARD,307.7884216308594,0.0,21,1.0,31
21,R_A5,0,2018-01-01,1725.6497802734375,29,307.999755859375,STANDARD,307.999755859375,0.0,21,1.0,31
1,R_A6,0,2018-01-01,1693.9501953125,1,304.9955139160156,STANDARD,304.9955139160156,0.0,42,1.0,17
2,R_A6,0,2018-01-01,1695.47802734375,2,305.1402893066406,STANDARD,305.1402893066406,0.0,42,1.0,17
3,R_A6,0,2018-01-01,1697.005859375,3,305.28509521484375,STANDARD,305.28509521484375,0.0,42,1.0,17
