PRESSURE,WELL,SWAT,CONIPOS,CONJPOS,CONIDX,WELLMODEL,DEPTH,SGAS,DRAWDOWN,CONBPRES,DATE,CONKPOS
300.8115234375,R_A2,0.10329339653253555,22,30,1,STANDARD,1641.094970703125,0.0,0,300.8115234375,2018-01-01,1
300.93182373046875,R_A2,0.1052771657705307,22,30,2,STANDARD,1642.8890380859375,0.0,0,300.93182373046875,2018-01-01,2
301.0521545410156,R_A2,0.07329036295413971,22,30,3,STANDARD,1644.68310546875,0.0,0,301.0521545410156,2018-01-01,3
301.1724548339844,R_A2,0.0622921846807003,22,30,4,STANDARD,1646.4771728515625,0.0,0,301.1724548339844,2018-01-01,4
301.29278564453125,R_A2,0.06730576604604721,22,30,5,STANDARD,1648.2713623046875,0.0,0,301.29278564453125,2018-01-01,5
301.4130859375,R_A2,0.11225160956382751,22,30,6,STANDARD,1650.0654296875,0.0,0,301.4130859375,2018-01-01,6
301.5334167480469,R_A2,0.6481541991233826,22,30,7,STANDARD,1651.859619140625,0.0,0,301.5334167480469,2018-01-01,7
301.65374755859375,R_A2,0.6481541991233826,22,30,8,STANDARD,1653.6536865234375,0.0,0,301.65374755859375,2018-01-01,8
301.7740783691406,R_A2,0.16482007503509521,22,30,9,STANDARD,1655.44775390625,0.0,0,301.7740783691406,2018-01-01,9
301.8944091796875,R_A2,0.31341132521629333,22,30,10,STANDARD,1657.2418212890625,0.0,0,301.8944091796875,2018-01-01,10
302.0215148925781,R_A2,0.06927288323640823,22,30,11,STANDARD,1659.1368408203125,0.0,0,302.0215148925781,2018-01-01,11
302.1553649902344,R_A2,0.06736739724874496,22,30,12,STANDARD,1661.132568359375,0.0,0,302.1553649902344,2018-01-01,12
302.28924560546875,R_A2,0.4240531027317047,22,30,13,STANDARD,1663.12841796875,0.0,0,302.28924560546875,2018-01-01,13
302.4231262207031,R_A2,0.4549008905887604,22,30,14,STANDARD,1665.1241455078125,0.0,0,302.4231262207031,2018-01-01,14
