ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4998747,879611,562462,392233,55226423
Valysar,CentralSouth,64455792,12233558,9376199,6538493,920619857
Valysar,CentralNorth,38200748,6645137,4731382,3299430,464559727
Valysar,NorthHorst,5013222,759121,386535,237430,46512455
Valysar,CentralRamp,13607326,2463213,1929017,1345200,189404151
Valysar,CentralHorst,85665574,12946623,9541675,6653888,936867435
Valysar,EastLowland,1843994,276507,175277,122229,17209892
Therys,WestLowland,2182678,407753,218312,152240,21435389
Therys,CentralSouth,12986296,3279794,2204371,1537218,216440320
Therys,CentralNorth,22682065,4451490,2720835,1897375,267150338
Therys,NorthHorst,7575689,1077760,418948,257339,50412720
Therys,CentralRamp,6699175,1563854,1265792,882700,124284197
Therys,CentralHorst,31095867,8096876,6483484,4521258,636593171
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,215403,40712,28454,19842,2793785
Volon,CentralSouth,30966340,5603690,4211874,2937151,413550820
Volon,CentralNorth,6713174,870449,453285,316098,44506629
Volon,NorthHorst,5672486,1007786,723791,444589,87095023
Volon,CentralRamp,12730273,2279884,1761217,1228185,172928425
Volon,CentralHorst,80612380,13704989,10789509,7524065,1059388339
Volon,EastLowland,0,0,0,0,0
