DATE,CONIPOS,SWAT,DRAWDOWN,PRESSURE,CONIDX,CONBPRES,CONJPOS,CONKPOS,WELL,SGAS,DEPTH,WELLMODEL
2018-01-01,22,0.055748213082551956,0,300.6733093261719,1,300.6733093261719,30,1,R_A2,0.0,1641.094970703125,STANDARD
2018-01-01,22,0.05881066620349884,0,300.7936096191406,2,300.7936096191406,30,2,R_A2,0.0,1642.8890380859375,STANDARD
2018-01-01,22,0.06129923462867737,0,300.9139099121094,3,300.9139099121094,30,3,R_A2,0.0,1644.68310546875,STANDARD
2018-01-01,22,0.06717785447835922,0,301.0342102050781,4,301.0342102050781,30,4,R_A2,0.0,1646.4771728515625,STANDARD
2018-01-01,22,0.13372820615768433,0,301.1545104980469,5,301.1545104980469,30,5,R_A2,0.0,1648.2713623046875,STANDARD
2018-01-01,22,0.30576056241989136,0,301.27484130859375,6,301.27484130859375,30,6,R_A2,0.0,1650.0654296875,STANDARD
2018-01-01,22,0.893852174282074,0,301.3951721191406,7,301.3951721191406,30,7,R_A2,0.0,1651.859619140625,STANDARD
2018-01-01,22,0.6481541991233826,0,301.5154724121094,8,301.5154724121094,30,8,R_A2,0.0,1653.6536865234375,STANDARD
2018-01-01,22,0.18723928928375244,0,301.63580322265625,9,301.63580322265625,30,9,R_A2,0.0,1655.44775390625,STANDARD
2018-01-01,22,0.9045571684837341,0,301.7561340332031,10,301.7561340332031,30,10,R_A2,0.0,1657.2418212890625,STANDARD
2018-01-01,22,0.07894028723239899,0,301.88323974609375,11,301.88323974609375,30,11,R_A2,0.0,1659.1368408203125,STANDARD
2018-01-01,22,0.079011470079422,0,302.01708984375,12,302.01708984375,30,12,R_A2,0.0,1661.132568359375,STANDARD
2018-01-01,22,0.45304223895072937,0,302.1509704589844,13,302.1509704589844,30,13,R_A2,0.0,1663.12841796875,STANDARD
2018-01-01,22,0.5042955279350281,0,302.28485107421875,14,302.28485107421875,30,14,R_A2,0.0,1665.1241455078125,STANDARD
2018-01-01,22,0.6907110214233398,0,302.4187316894531,15,302.4187316894531,30,15,R_A2,0.0,1667.1199951171875,STANDARD
2018-01-01,22,0.964935839176178,0,302.5526123046875,16,302.5526123046875,30,16,R_A2,0.0,1669.11572265625,STANDARD
2018-01-01,22,0.9508187174797058,0,302.6864929199219,17,302.6864929199219,30,17,R_A2,0.0,1671.111572265625,STANDARD
2018-01-01,22,0.983161985874176,0,302.8123779296875,18,302.8123779296875,30,18,R_A2,0.0,1672.9881591796875,STANDARD
2018-01-01,22,0.9968782663345337,0,302.89569091796875,19,302.89569091796875,29,18,R_A2,0.0,1674.229736328125,STANDARD
2018-01-01,22,0.9948241114616394,0,302.963134765625,20,302.963134765625,29,19,R_A2,0.0,1675.235107421875,STANDARD
2018-01-01,22,1.0,0,303.02569580078125,21,303.02569580078125,29,27,R_A2,0.0,1676.1676025390625,STANDARD
2018-01-01,22,1.0,0,303.47802734375,22,303.47802734375,29,28,R_A2,0.0,1677.9368896484375,STANDARD
2018-01-01,22,1.0,0,303.64569091796875,23,303.64569091796875,29,29,R_A2,0.0,1679.7061767578125,STANDARD
2018-01-01,22,1.0,0,303.8133544921875,24,303.8133544921875,29,30,R_A2,0.0,1681.4754638671875,STANDARD
2018-01-01,22,1.0,0,303.98101806640625,25,303.98101806640625,29,31,R_A2,0.0,1683.2447509765625,STANDARD
2018-01-01,28,0.6481541991233826,0,298.53814697265625,1,298.53814697265625,41,1,R_A3,0.0,1609.243408203125,STANDARD
2018-01-01,28,0.19721345603466034,0,298.676513671875,2,298.676513671875,41,2,R_A3,0.0,1611.3077392578125,STANDARD
2018-01-01,28,0.15777362883090973,0,298.8148498535156,3,298.8148498535156,41,3,R_A3,0.0,1613.3720703125,STANDARD
2018-01-01,28,0.1718059778213501,0,298.9532165527344,4,298.9532165527344,41,4,R_A3,0.0,1615.4365234375,STANDARD
2018-01-01,28,0.6481541991233826,0,299.0915832519531,5,299.0915832519531,41,5,R_A3,0.0,1617.5008544921875,STANDARD
2018-01-01,28,0.3384052515029907,0,299.2299499511719,6,299.2299499511719,41,6,R_A3,0.0,1619.565185546875,STANDARD
2018-01-01,29,0.6481541991233826,0,298.54638671875,7,298.54638671875,41,6,R_A3,0.0,1609.3663330078125,STANDARD
2018-01-01,29,0.19685770571231842,0,298.68377685546875,8,298.68377685546875,41,7,R_A3,0.0,1611.4163818359375,STANDARD
2018-01-01,29,0.3490063548088074,0,298.8211669921875,9,298.8211669921875,41,8,R_A3,0.0,1613.46630859375,STANDARD
2018-01-01,29,0.8026683926582336,0,298.95855712890625,10,298.95855712890625,41,9,R_A3,0.0,1615.516357421875,STANDARD
2018-01-01,29,0.7972224354743958,0,299.095947265625,11,299.095947265625,41,10,R_A3,0.0,1617.5662841796875,STANDARD
2018-01-01,29,0.04908576235175133,0,299.24237060546875,12,299.24237060546875,41,11,R_A3,0.0,1619.750732421875,STANDARD
2018-01-01,29,0.054848283529281616,0,299.3978271484375,13,299.3978271484375,41,12,R_A3,0.0,1622.0697021484375,STANDARD
2018-01-01,29,0.37202560901641846,0,299.5532531738281,14,299.5532531738281,41,13,R_A3,0.0,1624.388671875,STANDARD
2018-01-01,29,0.4873570203781128,0,299.8641662597656,15,299.8641662597656,41,15,R_A3,0.0,1629.026611328125,STANDARD
2018-01-01,29,0.8076774477958679,0,299.992919921875,16,299.992919921875,41,16,R_A3,0.0,1630.9468994140625,STANDARD
