DATE,WELLMODEL,CONJPOS,DRAWDOWN,PRESSURE,CONIPOS,SWAT,WELL,CONIDX,CONKPOS,SGAS,CONBPRES,DEPTH
2018-11-07,STANDARD,42,0,277.0821838378906,17,1.0,R_A6,10,10,-7.735862731644838e-13,277.0821838378906,1708.62353515625
2018-11-07,STANDARD,42,0,282.0997009277344,17,1.0,R_A6,11,11,3.827521979915538e-11,282.0997009277344,1710.512451171875
2018-11-07,STANDARD,42,0,282.290283203125,17,1.0,R_A6,12,12,2.3967850273920455e-11,282.290283203125,1712.74853515625
2018-11-07,STANDARD,42,0,282.5145568847656,17,1.0,R_A6,13,13,1.4471118530909322e-12,282.5145568847656,1714.984619140625
2018-11-07,STANDARD,42,0,282.72625732421875,17,1.0,R_A6,14,14,1.7769121677529975e-12,282.72625732421875,1717.220703125
2018-11-07,STANDARD,42,0,282.9382019042969,17,1.0,R_A6,15,15,1.3322673042895361e-12,282.9382019042969,1719.456787109375
2018-11-07,STANDARD,42,0,283.29498291015625,17,1.0,R_A6,16,16,3.464366380573347e-13,283.29498291015625,1721.69287109375
2018-11-07,STANDARD,42,0,283.506591796875,17,1.0,R_A6,17,17,7.106835736223061e-13,283.506591796875,1723.928955078125
2018-11-07,STANDARD,42,0,283.6707458496094,17,1.0,R_A6,18,18,6.913534415092792e-13,283.6707458496094,1725.664306640625
2018-11-07,STANDARD,42,0,281.72509765625,17,1.0,R_A6,19,25,-8.633972985346017e-13,281.72509765625,1727.140625
2018-11-07,STANDARD,42,0,282.21551513671875,17,1.0,R_A6,20,26,-3.040753684003389e-13,282.21551513671875,1728.8583984375
2018-11-07,STANDARD,42,0,282.9328918457031,17,1.0,R_A6,21,27,1.1615582422150853e-18,282.9328918457031,1730.5762939453125
2018-11-07,STANDARD,42,0,283.2078857421875,17,1.0,R_A6,22,28,1.3435336342785355e-18,283.2078857421875,1732.294189453125
2018-11-07,STANDARD,42,0,282.37542724609375,17,1.0,R_A6,23,29,3.086726024521119e-13,282.37542724609375,1734.011962890625
