pvtnum,oildensity,waterdensity,gasdensity,keyword,GOR,pressure,volumefactor,viscosity,Rv,compressibility,viscosibility,filename
1.0,,,,PVTO,278.63,375.0,1.86518,0.19045,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,400.0,1.85196,0.19862,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,420.0,1.84201,0.20519,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,500.0,1.795741,0.23343,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,600.0,1.74933,0.26415,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,700.0,1.715597,0.30559,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,278.63,700.1,1.715566,0.30563,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,350.0,1.97828,0.16565,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,375.0,1.96227,0.17313,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,400.0,1.94738,0.18066,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,420.0,1.93619,0.18673,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,500.0,1.884007,0.21302,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,600.0,1.83187,0.24113,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,700.0,1.794581,0.27985,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,308.62,700.1,1.794547,0.27988,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,375.0,2.07046,0.15825,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,400.0,2.05363,0.16524,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,420.0,2.04101,0.17088,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,500.0,1.981975,0.19553,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,600.0,1.92321,0.2214,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,700.0,1.881922,0.2578,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,341.42,700.1,1.881885,0.25784,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,400.0,2.17884,0.15149,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,420.0,2.16445,0.15676,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,500.0,2.099153,0.18014,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,600.0,2.03494,0.20419,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,700.0,1.96295,0.23054,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,379.35,700.1,1.962909,0.23214,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,390.79,420.0,2.205267,0.14907,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,390.79,500.0,2.142139,0.17391,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,390.79,600.0,2.081383,0.20611,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,390.79,700.0,2.03388,0.23941,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,390.79,700.1,2.033837,0.23944,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,442.21,500.0,2.332602,0.13219,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,442.21,600.0,2.262791,0.15327,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,442.21,700.0,2.208592,0.17469,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,442.21,700.1,2.208544,0.17471,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,522.84,600.0,2.548755,0.11156,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,522.84,700.0,2.483664,0.12434,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,522.84,700.1,2.483607,0.12435,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,630.0,700.0,2.851,0.09118,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTO,630.0,700.1,2.85,0.09119,,,,eclipse/include/props/reek.pvt
1.0,,,,PVTW,,327.3,1.03,0.25,,4.51e-05,0.0,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,1.0,1.0,0.01,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,125.0,0.009516,0.017523,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,200.0,0.005894,0.022924,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,225.0,0.005337,0.024823,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,250.0,0.004914,0.026682,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,275.0,0.004584,0.028475,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,300.0,0.00432,0.030194,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,325.0,0.004104,0.031837,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,350.0,0.003925,0.033408,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,375.0,0.003773,0.034915,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,400.0,0.003643,0.036365,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,420.0,0.003551,0.03749,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,500.0,0.00333,0.04208,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,600.0,0.003232,0.0466,,,,eclipse/include/props/reek.pvt
1.0,,,,PVDG,,700.0,0.0032059,0.050177,,,,eclipse/include/props/reek.pvt
1.0,,,,ROCK,,327.3,,,,4.5e-05,,eclipse/include/props/reek.pvt
