CONKPOS,DATE,DRAWDOWN,CONBPRES,SGAS,CONIDX,DEPTH,WELLMODEL,CONJPOS,CONIPOS,SWAT,PRESSURE,WELL
1,2018-01-01,0,300.78936767578125,0.0,1,1640.859130859375,STANDARD,30,22,0.05194564163684845,300.78936767578125,R_A2
2,2018-01-01,0,300.907958984375,0.0,2,1642.6275634765625,STANDARD,30,22,0.05445900931954384,300.907958984375,R_A2
3,2018-01-01,0,301.0265197753906,0.0,3,1644.39599609375,STANDARD,30,22,0.05825669318437576,301.0265197753906,R_A2
4,2018-01-01,0,301.1451110839844,0.0,4,1646.1644287109375,STANDARD,30,22,0.06446980684995651,301.1451110839844,R_A2
5,2018-01-01,0,301.2637023925781,0.0,5,1647.932861328125,STANDARD,30,22,0.06585822999477386,301.2637023925781,R_A2
6,2018-01-01,0,301.38232421875,0.0,6,1649.701416015625,STANDARD,30,22,0.6589251756668091,301.38232421875,R_A2
7,2018-01-01,0,301.50091552734375,0.0,7,1651.4698486328125,STANDARD,30,22,0.8732643127441406,301.50091552734375,R_A2
8,2018-01-01,0,301.6195373535156,0.0,8,1653.23828125,STANDARD,30,22,0.8617125749588013,301.6195373535156,R_A2
9,2018-01-01,0,301.7381286621094,0.0,9,1655.0067138671875,STANDARD,30,22,0.878104567527771,301.7381286621094,R_A2
10,2018-01-01,0,301.85675048828125,0.0,10,1656.775146484375,STANDARD,30,22,0.883598804473877,301.85675048828125,R_A2
11,2018-01-01,0,301.9846496582031,0.0,11,1658.68212890625,STANDARD,30,22,0.06737256795167923,301.9846496582031,R_A2
12,2018-01-01,0,302.1218566894531,0.0,12,1660.727783203125,STANDARD,30,22,0.06858190894126892,302.1218566894531,R_A2
13,2018-01-01,0,302.2590637207031,0.0,13,1662.7733154296875,STANDARD,30,22,0.4266468584537506,302.2590637207031,R_A2
14,2018-01-01,0,302.39630126953125,0.0,14,1664.81884765625,STANDARD,30,22,0.46636733412742615,302.39630126953125,R_A2
15,2018-01-01,0,302.53350830078125,0.0,15,1666.864501953125,STANDARD,30,22,0.904146671295166,302.53350830078125,R_A2
16,2018-01-01,0,302.6707458496094,0.0,16,1668.9100341796875,STANDARD,30,22,0.9136077761650085,302.6707458496094,R_A2
17,2018-01-01,0,302.8079528808594,0.0,17,1670.95556640625,STANDARD,30,22,0.8728122711181641,302.8079528808594,R_A2
18,2018-01-01,0,302.93133544921875,0.0,18,1672.7945556640625,STANDARD,30,22,0.9313002228736877,302.93133544921875,R_A2
18,2018-01-01,0,303.220703125,0.0,19,1677.1075439453125,STANDARD,29,22,0.9697405695915222,303.220703125,R_A2
25,2018-01-01,0,303.3278503417969,0.0,20,1678.7044677734375,STANDARD,29,22,0.6531721353530884,303.3278503417969,R_A2
26,2018-01-01,0,303.4408874511719,0.0,21,1680.388916015625,STANDARD,29,22,1.0,303.4408874511719,R_A2
27,2018-01-01,0,303.8699951171875,0.0,22,1682.0732421875,STANDARD,29,22,1.0,303.8699951171875,R_A2
28,2018-01-01,0,304.0296325683594,0.0,23,1683.757568359375,STANDARD,29,22,1.0,304.0296325683594,R_A2
29,2018-01-01,0,303.8834533691406,0.0,24,1685.4420166015625,STANDARD,29,22,1.0,303.8834533691406,R_A2
1,2018-01-01,0,298.7718200683594,0.0,1,1610.763427734375,STANDARD,41,28,0.262026846408844,298.7718200683594,R_A3
2,2018-01-01,0,298.9129943847656,0.0,2,1612.86962890625,STANDARD,41,28,0.11823459714651108,298.9129943847656,R_A3
3,2018-01-01,0,299.0541687011719,0.0,3,1614.9759521484375,STANDARD,41,28,0.0732288509607315,299.0541687011719,R_A3
