CONIPOS,WELLMODEL,SWAT,DRAWDOWN,DEPTH,CONJPOS,SGAS,CONIDX,PRESSURE,CONKPOS,DATE,WELL,CONBPRES
22,STANDARD,0.10821601003408432,0,1641.094970703125,30,0.0,1,300.6733093261719,1,2018-01-01,R_A2,300.6733093261719
22,STANDARD,0.11058630049228668,0,1642.8890380859375,30,0.0,2,300.7936096191406,2,2018-01-01,R_A2,300.7936096191406
22,STANDARD,0.07774579524993896,0,1644.68310546875,30,0.0,3,300.9139099121094,3,2018-01-01,R_A2,300.9139099121094
22,STANDARD,0.06678543984889984,0,1646.4771728515625,30,0.0,4,301.0342102050781,4,2018-01-01,R_A2,301.0342102050781
22,STANDARD,0.07244458049535751,0,1648.2713623046875,30,0.0,5,301.1545104980469,5,2018-01-01,R_A2,301.1545104980469
22,STANDARD,0.1185254231095314,0,1650.0654296875,30,0.0,6,301.27484130859375,6,2018-01-01,R_A2,301.27484130859375
22,STANDARD,0.6481541991233826,0,1651.859619140625,30,0.0,7,301.3951721191406,7,2018-01-01,R_A2,301.3951721191406
22,STANDARD,0.6481541991233826,0,1653.6536865234375,30,0.0,8,301.5154724121094,8,2018-01-01,R_A2,301.5154724121094
22,STANDARD,0.1735297441482544,0,1655.44775390625,30,0.0,9,301.63580322265625,9,2018-01-01,R_A2,301.63580322265625
22,STANDARD,0.32667964696884155,0,1657.2418212890625,30,0.0,10,301.7561340332031,10,2018-01-01,R_A2,301.7561340332031
22,STANDARD,0.07769951224327087,0,1659.1368408203125,30,0.0,11,301.88323974609375,11,2018-01-01,R_A2,301.88323974609375
22,STANDARD,0.07633190602064133,0,1661.132568359375,30,0.0,12,302.01708984375,12,2018-01-01,R_A2,302.01708984375
22,STANDARD,0.4555773138999939,0,1663.12841796875,30,0.0,13,302.1509704589844,13,2018-01-01,R_A2,302.1509704589844
22,STANDARD,0.49689048528671265,0,1665.1241455078125,30,0.0,14,302.28485107421875,14,2018-01-01,R_A2,302.28485107421875
22,STANDARD,0.697963297367096,0,1667.1199951171875,30,0.0,15,302.4187316894531,15,2018-01-01,R_A2,302.4187316894531
22,STANDARD,0.9702016711235046,0,1669.11572265625,30,0.0,16,302.5526123046875,16,2018-01-01,R_A2,302.5526123046875
22,STANDARD,0.9523286819458008,0,1671.111572265625,30,0.0,17,302.6864929199219,17,2018-01-01,R_A2,302.6864929199219
22,STANDARD,0.9832528829574585,0,1672.9881591796875,30,0.0,18,302.8123779296875,18,2018-01-01,R_A2,302.8123779296875
22,STANDARD,0.9928692579269409,0,1674.229736328125,29,0.0,19,302.89569091796875,18,2018-01-01,R_A2,302.89569091796875
22,STANDARD,0.6481541991233826,0,1676.1676025390625,29,0.0,20,303.02569580078125,27,2018-01-01,R_A2,303.02569580078125
22,STANDARD,1.0,0,1677.9368896484375,29,0.0,21,303.47802734375,28,2018-01-01,R_A2,303.47802734375
22,STANDARD,1.0,0,1679.7061767578125,29,0.0,22,303.64569091796875,29,2018-01-01,R_A2,303.64569091796875
22,STANDARD,1.0,0,1681.4754638671875,29,0.0,23,303.8133544921875,30,2018-01-01,R_A2,303.8133544921875
22,STANDARD,1.0,0,1683.2447509765625,29,0.0,24,303.98101806640625,31,2018-01-01,R_A2,303.98101806640625
28,STANDARD,0.1351146101951599,0,1609.243408203125,41,0.0,1,298.53814697265625,1,2018-01-01,R_A3,298.53814697265625
28,STANDARD,0.11823459714651108,0,1611.3077392578125,41,0.0,2,298.676513671875,2,2018-01-01,R_A3,298.676513671875
28,STANDARD,0.12243370711803436,0,1613.3720703125,41,0.0,3,298.8148498535156,3,2018-01-01,R_A3,298.8148498535156
28,STANDARD,0.24829745292663574,0,1615.4365234375,41,0.0,4,298.9532165527344,4,2018-01-01,R_A3,298.9532165527344
28,STANDARD,0.6481541991233826,0,1617.5008544921875,41,0.0,5,299.0915832519531,5,2018-01-01,R_A3,299.0915832519531
28,STANDARD,0.3404858112335205,0,1619.565185546875,41,0.0,6,299.2299499511719,6,2018-01-01,R_A3,299.2299499511719
29,STANDARD,0.6481541991233826,0,1609.3663330078125,41,0.0,7,298.54638671875,6,2018-01-01,R_A3,298.54638671875
29,STANDARD,0.1983322650194168,0,1611.4163818359375,41,0.0,8,298.68377685546875,7,2018-01-01,R_A3,298.68377685546875
29,STANDARD,0.20094092190265656,0,1613.46630859375,41,0.0,9,298.8211669921875,8,2018-01-01,R_A3,298.8211669921875
29,STANDARD,0.6481541991233826,0,1615.516357421875,41,0.0,10,298.95855712890625,9,2018-01-01,R_A3,298.95855712890625
