SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
0.053369928151369095,0,2018-01-01,30,1,1,300.80999755859375,R_A2,0.0,1641.3812255859375,300.80999755859375,STANDARD,22
0.05627327412366867,0,2018-01-01,30,2,2,300.9291076660156,R_A2,0.0,1643.157470703125,300.9291076660156,STANDARD,22
0.05861956998705864,0,2018-01-01,30,3,3,301.0482177734375,R_A2,0.0,1644.9337158203125,301.0482177734375,STANDARD,22
0.0638224333524704,0,2018-01-01,30,4,4,301.1673278808594,R_A2,0.0,1646.7099609375,301.1673278808594,STANDARD,22
0.06577882170677185,0,2018-01-01,30,5,5,301.28643798828125,R_A2,0.0,1648.486083984375,301.28643798828125,STANDARD,22
0.3065522611141205,0,2018-01-01,30,6,6,301.40557861328125,R_A2,0.0,1650.262451171875,301.40557861328125,STANDARD,22
0.880344033241272,0,2018-01-01,30,7,7,301.5246887207031,R_A2,0.0,1652.0386962890625,301.5246887207031,STANDARD,22
0.6481541991233826,0,2018-01-01,30,8,8,301.6438293457031,R_A2,0.0,1653.81494140625,301.6438293457031,STANDARD,22
0.12413095682859421,0,2018-01-01,30,9,9,301.762939453125,R_A2,0.0,1655.591064453125,301.762939453125,STANDARD,22
0.6481541991233826,0,2018-01-01,30,10,10,301.882080078125,R_A2,0.0,1657.367431640625,301.882080078125,STANDARD,22
0.06887669116258621,0,2018-01-01,30,11,11,302.0108642578125,R_A2,0.0,1659.287353515625,302.0108642578125,STANDARD,22
0.1284303069114685,0,2018-01-01,30,12,12,302.1492919921875,R_A2,0.0,1661.3509521484375,302.1492919921875,STANDARD,22
0.43591704964637756,0,2018-01-01,30,13,13,302.2877197265625,R_A2,0.0,1663.41455078125,302.2877197265625,STANDARD,22
0.48236268758773804,0,2018-01-01,30,14,14,302.4261474609375,R_A2,0.0,1665.4781494140625,302.4261474609375,STANDARD,22
0.9123970866203308,0,2018-01-01,30,15,15,302.5645751953125,R_A2,0.0,1667.541748046875,302.5645751953125,STANDARD,22
0.922265350818634,0,2018-01-01,30,16,16,302.7030029296875,R_A2,0.0,1669.60546875,302.7030029296875,STANDARD,22
