CONBPRES,DRAWDOWN,DEPTH,CONIDX,PRESSURE,SWAT,WELLMODEL,SGAS,CONKPOS,DATE,CONJPOS,WELL,CONIPOS
300.6733093261719,0,1641.094970703125,1,300.6733093261719,0.05682307109236717,STANDARD,0.0,1,2018-01-01,30,R_A2,22
300.7936096191406,0,1642.8890380859375,2,300.7936096191406,0.059868622571229935,STANDARD,0.0,2,2018-01-01,30,R_A2,22
300.9139099121094,0,1644.68310546875,3,300.9139099121094,0.0626271441578865,STANDARD,0.0,3,2018-01-01,30,R_A2,22
301.0342102050781,0,1646.4771728515625,4,301.0342102050781,0.06645650416612625,STANDARD,0.0,4,2018-01-01,30,R_A2,22
301.1545104980469,0,1648.2713623046875,5,301.1545104980469,0.07079914212226868,STANDARD,0.0,5,2018-01-01,30,R_A2,22
301.27484130859375,0,1650.0654296875,6,301.27484130859375,0.23910002410411835,STANDARD,0.0,6,2018-01-01,30,R_A2,22
301.3951721191406,0,1651.859619140625,7,301.3951721191406,0.8951376676559448,STANDARD,0.0,7,2018-01-01,30,R_A2,22
301.5154724121094,0,1653.6536865234375,8,301.5154724121094,0.8685147166252136,STANDARD,0.0,8,2018-01-01,30,R_A2,22
301.63580322265625,0,1655.44775390625,9,301.63580322265625,0.894565999507904,STANDARD,0.0,9,2018-01-01,30,R_A2,22
301.7561340332031,0,1657.2418212890625,10,301.7561340332031,0.9062598943710327,STANDARD,0.0,10,2018-01-01,30,R_A2,22
301.88323974609375,0,1659.1368408203125,11,301.88323974609375,0.07765933871269226,STANDARD,0.0,11,2018-01-01,30,R_A2,22
302.01708984375,0,1661.132568359375,12,302.01708984375,0.08095082640647888,STANDARD,0.0,12,2018-01-01,30,R_A2,22
302.1509704589844,0,1663.12841796875,13,302.1509704589844,0.4631236791610718,STANDARD,0.0,13,2018-01-01,30,R_A2,22
302.28485107421875,0,1665.1241455078125,14,302.28485107421875,0.5077258348464966,STANDARD,0.0,14,2018-01-01,30,R_A2,22
302.4187316894531,0,1667.1199951171875,15,302.4187316894531,0.6800851821899414,STANDARD,0.0,15,2018-01-01,30,R_A2,22
302.5526123046875,0,1669.11572265625,16,302.5526123046875,0.9764990210533142,STANDARD,0.0,16,2018-01-01,30,R_A2,22
302.6864929199219,0,1671.111572265625,17,302.6864929199219,0.9521156549453735,STANDARD,0.0,17,2018-01-01,30,R_A2,22
302.8123779296875,0,1672.9881591796875,18,302.8123779296875,0.9803889393806458,STANDARD,0.0,18,2018-01-01,30,R_A2,22
302.89569091796875,0,1674.229736328125,19,302.89569091796875,0.9921049475669861,STANDARD,0.0,18,2018-01-01,29,R_A2,22
303.02569580078125,0,1676.1676025390625,20,303.02569580078125,0.4429566264152527,STANDARD,0.0,27,2018-01-01,29,R_A2,22
303.47802734375,0,1677.9368896484375,21,303.47802734375,1.0,STANDARD,0.0,28,2018-01-01,29,R_A2,22
303.64569091796875,0,1679.7061767578125,22,303.64569091796875,1.0,STANDARD,0.0,29,2018-01-01,29,R_A2,22
303.8133544921875,0,1681.4754638671875,23,303.8133544921875,1.0,STANDARD,0.0,30,2018-01-01,29,R_A2,22
303.98101806640625,0,1683.2447509765625,24,303.98101806640625,1.0,STANDARD,0.0,31,2018-01-01,29,R_A2,22
298.53814697265625,0,1609.243408203125,1,298.53814697265625,0.6481541991233826,STANDARD,0.0,1,2018-01-01,41,R_A3,28
298.676513671875,0,1611.3077392578125,2,298.676513671875,0.1953458935022354,STANDARD,0.0,2,2018-01-01,41,R_A3,28
298.8148498535156,0,1613.3720703125,3,298.8148498535156,0.19456657767295837,STANDARD,0.0,3,2018-01-01,41,R_A3,28
298.9532165527344,0,1615.4365234375,4,298.9532165527344,0.3696915805339813,STANDARD,0.0,4,2018-01-01,41,R_A3,28
299.0915832519531,0,1617.5008544921875,5,299.0915832519531,0.834352970123291,STANDARD,0.0,5,2018-01-01,41,R_A3,28
299.2299499511719,0,1619.565185546875,6,299.2299499511719,0.6481541991233826,STANDARD,0.0,6,2018-01-01,41,R_A3,28
298.54638671875,0,1609.3663330078125,7,298.54638671875,0.6481541991233826,STANDARD,0.0,6,2018-01-01,41,R_A3,29
298.68377685546875,0,1611.4163818359375,8,298.68377685546875,0.1984773725271225,STANDARD,0.0,7,2018-01-01,41,R_A3,29
298.8211669921875,0,1613.46630859375,9,298.8211669921875,0.1977151483297348,STANDARD,0.0,8,2018-01-01,41,R_A3,29
298.95855712890625,0,1615.516357421875,10,298.95855712890625,0.800819993019104,STANDARD,0.0,9,2018-01-01,41,R_A3,29
299.095947265625,0,1617.5662841796875,11,299.095947265625,0.7992424964904785,STANDARD,0.0,10,2018-01-01,41,R_A3,29
299.24237060546875,0,1619.750732421875,12,299.24237060546875,0.05049673467874527,STANDARD,0.0,11,2018-01-01,41,R_A3,29
299.3978271484375,0,1622.0697021484375,13,299.3978271484375,0.05441533401608467,STANDARD,0.0,12,2018-01-01,41,R_A3,29
299.5532531738281,0,1624.388671875,14,299.5532531738281,0.3730502128601074,STANDARD,0.0,13,2018-01-01,41,R_A3,29
299.7087097167969,0,1626.707763671875,15,299.7087097167969,0.4005099833011627,STANDARD,0.0,14,2018-01-01,41,R_A3,29
299.8641662597656,0,1629.026611328125,16,299.8641662597656,0.4975426495075226,STANDARD,0.0,15,2018-01-01,41,R_A3,29
