PRESSURE,SGAS,WELL,CONJPOS,CONIPOS,SWAT,DRAWDOWN,DATE,CONIDX,CONBPRES,CONKPOS,DEPTH,WELLMODEL
300.63800048828125,0.0,R_A2,30,22,0.05557292327284813,0,2018-01-01,1,300.63800048828125,1,1639.9913330078125,STANDARD
300.76153564453125,0.0,R_A2,30,22,0.05652032047510147,0,2018-01-01,2,300.76153564453125,2,1641.8336181640625,STANDARD
300.88507080078125,0.0,R_A2,30,22,0.060155369341373444,0,2018-01-01,3,300.88507080078125,3,1643.6759033203125,STANDARD
301.00860595703125,0.0,R_A2,30,22,0.06507093459367752,0,2018-01-01,4,301.00860595703125,4,1645.5181884765625,STANDARD
301.13214111328125,0.0,R_A2,30,22,0.06713781505823135,0,2018-01-01,5,301.13214111328125,5,1647.3604736328125,STANDARD
301.2557067871094,0.0,R_A2,30,22,0.31677165627479553,0,2018-01-01,6,301.2557067871094,6,1649.20263671875,STANDARD
301.3792419433594,0.0,R_A2,30,22,0.8818376064300537,0,2018-01-01,7,301.3792419433594,7,1651.044921875,STANDARD
301.5028076171875,0.0,R_A2,30,22,0.874196469783783,0,2018-01-01,8,301.5028076171875,8,1652.88720703125,STANDARD
301.6263427734375,0.0,R_A2,30,22,0.9080313444137573,0,2018-01-01,9,301.6263427734375,9,1654.7294921875,STANDARD
301.7499084472656,0.0,R_A2,30,22,0.9007159471511841,0,2018-01-01,10,301.7499084472656,10,1656.57177734375,STANDARD
301.8805847167969,0.0,R_A2,30,22,0.07319462299346924,0,2018-01-01,11,301.8805847167969,11,1658.5198974609375,STANDARD
302.1560974121094,0.0,R_A2,30,22,0.440058171749115,0,2018-01-01,12,302.1560974121094,13,1662.6278076171875,STANDARD
302.29388427734375,0.0,R_A2,30,22,0.48136505484580994,0,2018-01-01,13,302.29388427734375,14,1664.6817626953125,STANDARD
302.4316711425781,0.0,R_A2,30,22,0.6538445353507996,0,2018-01-01,14,302.4316711425781,15,1666.7357177734375,STANDARD
302.5694580078125,0.0,R_A2,30,22,0.959761381149292,0,2018-01-01,15,302.5694580078125,16,1668.78955078125,STANDARD
302.7072448730469,0.0,R_A2,30,22,0.9232421517372131,0,2018-01-01,16,302.7072448730469,17,1670.8436279296875,STANDARD
302.837646484375,0.0,R_A2,30,22,0.9580686092376709,0,2018-01-01,17,302.837646484375,18,1672.7872314453125,STANDARD
302.92376708984375,0.0,R_A2,30,22,0.9934674501419067,0,2018-01-01,18,302.92376708984375,19,1674.0709228515625,STANDARD
303.0113830566406,0.0,R_A2,30,22,0.8309633135795593,0,2018-01-01,19,303.0113830566406,28,1675.3768310546875,STANDARD
303.1373596191406,0.0,R_A2,30,22,1.0,0,2018-01-01,20,303.1373596191406,29,1677.254638671875,STANDARD
303.59130859375,0.0,R_A2,30,22,1.0,0,2018-01-01,21,303.59130859375,30,1679.13232421875,STANDARD
303.4681701660156,0.0,R_A2,29,22,1.0,0,2018-01-01,22,303.4681701660156,30,1681.0595703125,STANDARD
303.94091796875,0.0,R_A2,29,22,1.0,0,2018-01-01,23,303.94091796875,31,1682.821533203125,STANDARD
304.1078796386719,0.0,R_A2,29,22,1.0,0,2018-01-01,24,304.1078796386719,32,1684.5833740234375,STANDARD
298.2691955566406,0.0,R_A3,41,28,0.13688288629055023,0,2018-01-01,1,298.2691955566406,1,1604.6529541015625,STANDARD
298.4080505371094,0.0,R_A3,41,28,0.1934257596731186,0,2018-01-01,2,298.4080505371094,2,1606.724853515625,STANDARD
298.5469055175781,0.0,R_A3,41,28,0.19108480215072632,0,2018-01-01,3,298.5469055175781,3,1608.7967529296875,STANDARD
298.6857604980469,0.0,R_A3,41,28,0.6481541991233826,0,2018-01-01,4,298.6857604980469,4,1610.86865234375,STANDARD
298.8246154785156,0.0,R_A3,41,28,0.822650671005249,0,2018-01-01,5,298.8246154785156,5,1612.940673828125,STANDARD
298.9635009765625,0.0,R_A3,41,28,0.6481541991233826,0,2018-01-01,6,298.9635009765625,6,1615.012451171875,STANDARD
298.6701965332031,0.0,R_A3,41,29,0.6481541991233826,0,2018-01-01,7,298.6701965332031,6,1610.6365966796875,STANDARD
298.7967834472656,0.0,R_A3,41,29,0.196873739361763,0,2018-01-01,8,298.7967834472656,7,1612.525146484375,STANDARD
298.92333984375,0.0,R_A3,41,29,0.1977343112230301,0,2018-01-01,9,298.92333984375,8,1614.41357421875,STANDARD
299.0499267578125,0.0,R_A3,41,29,0.7979750037193298,0,2018-01-01,10,299.0499267578125,9,1616.302001953125,STANDARD
299.1764831542969,0.0,R_A3,41,29,0.8015991449356079,0,2018-01-01,11,299.1764831542969,10,1618.1904296875,STANDARD
299.3180236816406,0.0,R_A3,41,29,0.04912029579281807,0,2018-01-01,12,299.3180236816406,11,1620.3021240234375,STANDARD
299.47454833984375,0.0,R_A3,41,29,0.05323063209652901,0,2018-01-01,13,299.47454833984375,12,1622.636962890625,STANDARD
299.63104248046875,0.0,R_A3,41,29,0.3748389482498169,0,2018-01-01,14,299.63104248046875,13,1624.971923828125,STANDARD
299.7875671386719,0.0,R_A3,41,29,0.35568055510520935,0,2018-01-01,15,299.7875671386719,14,1627.3067626953125,STANDARD
299.9441223144531,0.0,R_A3,41,29,0.601466715335846,0,2018-01-01,16,299.9441223144531,15,1629.6417236328125,STANDARD
300.0826110839844,0.0,R_A3,41,29,0.8141502737998962,0,2018-01-01,17,300.0826110839844,16,1631.7073974609375,STANDARD
300.2807922363281,0.0,R_A3,41,29,0.6481541991233826,0,2018-01-01,18,300.2807922363281,28,1634.6634521484375,STANDARD
300.5328674316406,0.0,R_A3,41,29,0.047946054488420486,0,2018-01-01,19,300.5328674316406,29,1638.42333984375,STANDARD
300.7850036621094,0.0,R_A3,41,29,0.05082354322075844,0,2018-01-01,20,300.7850036621094,30,1642.1834716796875,STANDARD
301.0371398925781,0.0,R_A3,41,29,0.7739093899726868,0,2018-01-01,21,301.0371398925781,31,1645.9434814453125,STANDARD
301.2892761230469,0.0,R_A3,41,29,0.06481859087944031,0,2018-01-01,22,301.2892761230469,32,1649.7034912109375,STANDARD
