CONIDX,DATE,PRESSURE,CONIPOS,DRAWDOWN,WELLMODEL,DEPTH,SGAS,CONJPOS,WELL,CONBPRES,CONKPOS,SWAT
1,2018-01-01,300.73431396484375,22,0,STANDARD,1642.35107421875,0.0,30,R_A2,300.73431396484375,1,0.057738278061151505
2,2018-01-01,300.8590087890625,22,0,STANDARD,1644.210693359375,0.0,30,R_A2,300.8590087890625,2,0.0597408227622509
3,2018-01-01,300.98370361328125,22,0,STANDARD,1646.0704345703125,0.0,30,R_A2,300.98370361328125,3,0.06373941898345947
4,2018-01-01,301.1084289550781,22,0,STANDARD,1647.93017578125,0.0,30,R_A2,301.1084289550781,4,0.07041724771261215
5,2018-01-01,301.2331237792969,22,0,STANDARD,1649.789794921875,0.0,30,R_A2,301.2331237792969,5,0.07577142864465714
6,2018-01-01,301.35784912109375,22,0,STANDARD,1651.6494140625,0.0,30,R_A2,301.35784912109375,6,0.3024999797344208
7,2018-01-01,301.4825439453125,22,0,STANDARD,1653.509033203125,0.0,30,R_A2,301.4825439453125,7,0.8999342322349548
8,2018-01-01,301.6072692871094,22,0,STANDARD,1655.3687744140625,0.0,30,R_A2,301.6072692871094,8,0.8832513093948364
9,2018-01-01,301.73199462890625,22,0,STANDARD,1657.2283935546875,0.0,30,R_A2,301.73199462890625,9,0.6560969948768616
10,2018-01-01,301.8567199707031,22,0,STANDARD,1659.088134765625,0.0,30,R_A2,301.8567199707031,10,0.2567698061466217
11,2018-01-01,301.98431396484375,22,0,STANDARD,1660.990478515625,0.0,30,R_A2,301.98431396484375,11,0.08364669233560562
12,2018-01-01,302.1147766113281,22,0,STANDARD,1662.9354248046875,0.0,30,R_A2,302.1147766113281,12,0.08634807169437408
13,2018-01-01,302.2452697753906,22,0,STANDARD,1664.8804931640625,0.0,30,R_A2,302.2452697753906,13,0.48205482959747314
14,2018-01-01,302.375732421875,22,0,STANDARD,1666.825439453125,0.0,30,R_A2,302.375732421875,14,0.525908887386322
15,2018-01-01,302.5061950683594,22,0,STANDARD,1668.7705078125,0.0,30,R_A2,302.5061950683594,15,0.8233349323272705
16,2018-01-01,302.6366882324219,22,0,STANDARD,1670.715576171875,0.0,30,R_A2,302.6366882324219,16,0.9861783385276794
17,2018-01-01,302.7671813964844,22,0,STANDARD,1672.66064453125,0.0,30,R_A2,302.7671813964844,17,0.993839681148529
18,2018-01-01,302.406982421875,22,0,STANDARD,1667.29150390625,0.0,29,R_A2,302.406982421875,17,0.948249340057373
19,2018-01-01,302.545166015625,22,0,STANDARD,1669.3515625,0.0,29,R_A2,302.545166015625,18,0.9306018352508545
20,2018-01-01,302.65179443359375,22,0,STANDARD,1670.940673828125,0.0,29,R_A2,302.65179443359375,19,0.9728270769119263
21,2018-01-01,302.752197265625,22,0,STANDARD,1672.437255859375,0.0,29,R_A2,302.752197265625,28,0.3657991588115692
22,2018-01-01,302.8779602050781,22,0,STANDARD,1674.3121337890625,0.0,29,R_A2,302.8779602050781,29,0.6481541991233826
23,2018-01-01,303.3122253417969,22,0,STANDARD,1676.18701171875,0.0,29,R_A2,303.3122253417969,30,1.0
24,2018-01-01,303.4898986816406,22,0,STANDARD,1678.06201171875,0.0,29,R_A2,303.4898986816406,31,1.0
25,2018-01-01,303.6675720214844,22,0,STANDARD,1679.9368896484375,0.0,29,R_A2,303.6675720214844,32,1.0
1,2018-01-01,298.6655578613281,28,0,STANDARD,1611.4910888671875,0.0,41,R_A3,298.6655578613281,1,0.6481541991233826
2,2018-01-01,298.80523681640625,28,0,STANDARD,1613.5750732421875,0.0,41,R_A3,298.80523681640625,2,0.2019641399383545
3,2018-01-01,298.9449157714844,28,0,STANDARD,1615.6590576171875,0.0,41,R_A3,298.9449157714844,3,0.20100674033164978
4,2018-01-01,299.0845947265625,28,0,STANDARD,1617.7430419921875,0.0,41,R_A3,299.0845947265625,4,0.38460513949394226
5,2018-01-01,299.2242736816406,28,0,STANDARD,1619.8270263671875,0.0,41,R_A3,299.2242736816406,5,0.8342869281768799
