PRESSURE,DRAWDOWN,CONJPOS,SWAT,WELL,SGAS,CONKPOS,DEPTH,CONIDX,CONBPRES,WELLMODEL,CONIPOS,DATE
300.4715270996094,0,30,0.05554485321044922,R_A2,0.0,1,1638.2421875,1,300.4715270996094,STANDARD,22,2018-01-01
300.5850524902344,0,30,0.0570983849465847,R_A2,0.0,2,1639.935546875,2,300.5850524902344,STANDARD,22,2018-01-01
300.6986083984375,0,30,0.05956596881151199,R_A2,0.0,3,1641.62890625,3,300.6986083984375,STANDARD,22,2018-01-01
300.8121337890625,0,30,0.064992256462574,R_A2,0.0,4,1643.322265625,4,300.8121337890625,STANDARD,22,2018-01-01
300.9256896972656,0,30,0.06844066828489304,R_A2,0.0,5,1645.015625,5,300.9256896972656,STANDARD,22,2018-01-01
301.03924560546875,0,30,0.6481541991233826,R_A2,0.0,6,1646.708984375,6,301.03924560546875,STANDARD,22,2018-01-01
301.1528015136719,0,30,0.8848420977592468,R_A2,0.0,7,1648.40234375,7,301.1528015136719,STANDARD,22,2018-01-01
301.266357421875,0,30,0.6481541991233826,R_A2,0.0,8,1650.095703125,8,301.266357421875,STANDARD,22,2018-01-01
301.3799133300781,0,30,0.12204577773809433,R_A2,0.0,9,1651.7890625,9,301.3799133300781,STANDARD,22,2018-01-01
301.49346923828125,0,30,0.18848715722560883,R_A2,0.0,10,1653.482421875,10,301.49346923828125,STANDARD,22,2018-01-01
301.6162109375,0,30,0.07408993691205978,R_A2,0.0,11,1655.3123779296875,11,301.6162109375,STANDARD,22,2018-01-01
301.8800354003906,0,30,0.4353998303413391,R_A2,0.0,13,1659.245849609375,12,301.8800354003906,STANDARD,22,2018-01-01
302.011962890625,0,30,0.4854793846607208,R_A2,0.0,14,1661.212646484375,13,302.011962890625,STANDARD,22,2018-01-01
302.1438903808594,0,30,0.9258698225021362,R_A2,0.0,15,1663.179443359375,14,302.1438903808594,STANDARD,22,2018-01-01
302.55780029296875,0,29,0.9806835651397705,R_A2,0.0,15,1669.3497314453125,15,302.55780029296875,STANDARD,22,2018-01-01
302.6978759765625,0,29,0.9849728345870972,R_A2,0.0,16,1671.43798828125,16,302.6978759765625,STANDARD,22,2018-01-01
302.8379821777344,0,29,0.9741775989532471,R_A2,0.0,17,1673.5262451171875,17,302.8379821777344,STANDARD,22,2018-01-01
302.96270751953125,0,29,1.0,R_A2,0.0,18,1675.38525390625,18,302.96270751953125,STANDARD,22,2018-01-01
303.39605712890625,0,29,1.0,R_A2,0.0,28,1677.0716552734375,19,303.39605712890625,STANDARD,22,2018-01-01
303.5611877441406,0,29,1.0,R_A2,0.0,29,1678.814453125,20,303.5611877441406,STANDARD,22,2018-01-01
303.7263488769531,0,29,1.0,R_A2,0.0,30,1680.55712890625,21,303.7263488769531,STANDARD,22,2018-01-01
303.8914794921875,0,29,1.0,R_A2,0.0,31,1682.2998046875,22,303.8914794921875,STANDARD,22,2018-01-01
304.0566101074219,0,29,1.0,R_A2,0.0,32,1684.04248046875,23,304.0566101074219,STANDARD,22,2018-01-01
298.56439208984375,0,41,0.36451441049575806,R_A3,0.0,1,1609.7918701171875,1,298.56439208984375,STANDARD,28,2018-01-01
298.69378662109375,0,41,0.1763269603252411,R_A3,0.0,2,1611.72265625,2,298.69378662109375,STANDARD,28,2018-01-01
298.2242126464844,0,41,0.18665894865989685,R_A3,0.0,2,1604.715576171875,3,298.2242126464844,STANDARD,29,2018-01-01
298.3507995605469,0,41,0.19326409697532654,R_A3,0.0,3,1606.6044921875,4,298.3507995605469,STANDARD,29,2018-01-01
298.4773864746094,0,41,0.14503654837608337,R_A3,0.0,4,1608.493408203125,5,298.4773864746094,STANDARD,29,2018-01-01
298.6039733886719,0,41,0.14594803750514984,R_A3,0.0,5,1610.38232421875,6,298.6039733886719,STANDARD,29,2018-01-01
298.7305603027344,0,41,0.21431824564933777,R_A3,0.0,6,1612.271240234375,7,298.7305603027344,STANDARD,29,2018-01-01
298.857177734375,0,41,0.20073744654655457,R_A3,0.0,7,1614.16015625,8,298.857177734375,STANDARD,29,2018-01-01
298.9837646484375,0,41,0.2014184445142746,R_A3,0.0,8,1616.049072265625,9,298.9837646484375,STANDARD,29,2018-01-01
299.1103820800781,0,41,0.8046584129333496,R_A3,0.0,9,1617.9381103515625,10,299.1103820800781,STANDARD,29,2018-01-01
299.23699951171875,0,41,0.8022160530090332,R_A3,0.0,10,1619.8270263671875,11,299.23699951171875,STANDARD,29,2018-01-01
299.3739013671875,0,41,0.04677201434969902,R_A3,0.0,11,1621.869384765625,12,299.3739013671875,STANDARD,29,2018-01-01
299.5210876464844,0,41,0.05648382380604744,R_A3,0.0,12,1624.0653076171875,13,299.5210876464844,STANDARD,29,2018-01-01
299.66827392578125,0,41,0.3742019534111023,R_A3,0.0,13,1626.26123046875,14,299.66827392578125,STANDARD,29,2018-01-01
299.81549072265625,0,41,0.1943923681974411,R_A3,0.0,14,1628.45703125,15,299.81549072265625,STANDARD,29,2018-01-01
