WELL,CONIPOS,DRAWDOWN,SGAS,CONKPOS,PRESSURE,WELLMODEL,CONJPOS,SWAT,DATE,CONIDX,DEPTH,CONBPRES
R_A2,22,0,0.0,1,300.7711486816406,STANDARD,30,0.0536545030772686,2018-01-01,1,1640.768798828125,300.7711486816406
R_A2,22,0,0.0,2,300.8876647949219,STANDARD,30,0.05541286990046501,2018-01-01,2,1642.5064697265625,300.8876647949219
R_A2,22,0,0.0,3,301.0041809082031,STANDARD,30,0.0578019954264164,2018-01-01,3,1644.2442626953125,301.0041809082031
R_A2,22,0,0.0,4,301.1207275390625,STANDARD,30,0.06111910566687584,2018-01-01,4,1645.9820556640625,301.1207275390625
R_A2,22,0,0.0,5,301.2372741699219,STANDARD,30,0.1666802316904068,2018-01-01,5,1647.7197265625,301.2372741699219
R_A2,22,0,0.0,6,301.3537902832031,STANDARD,30,0.6481541991233826,2018-01-01,6,1649.4573974609375,301.3537902832031
R_A2,22,0,0.0,7,301.4703369140625,STANDARD,30,0.8731403350830078,2018-01-01,7,1651.1951904296875,301.4703369140625
R_A2,22,0,0.0,8,301.5868835449219,STANDARD,30,0.8639495968818665,2018-01-01,8,1652.9329833984375,301.5868835449219
R_A2,22,0,0.0,9,301.70343017578125,STANDARD,30,0.8720826506614685,2018-01-01,9,1654.6707763671875,301.70343017578125
R_A2,22,0,0.0,10,301.8199768066406,STANDARD,30,0.8846247792243958,2018-01-01,10,1656.408447265625,301.8199768066406
R_A2,22,0,0.0,11,301.94683837890625,STANDARD,30,0.06854095309972763,2018-01-01,11,1658.2999267578125,301.94683837890625
R_A2,22,0,0.0,12,302.08404541015625,STANDARD,30,0.12903176248073578,2018-01-01,12,1660.34521484375,302.08404541015625
R_A2,22,0,0.0,13,302.2212219238281,STANDARD,30,0.4313044846057892,2018-01-01,13,1662.390380859375,302.2212219238281
R_A2,22,0,0.0,14,302.3584289550781,STANDARD,30,0.4744194746017456,2018-01-01,14,1664.4356689453125,302.3584289550781
R_A2,22,0,0.0,15,302.49560546875,STANDARD,30,0.8974047899246216,2018-01-01,15,1666.48095703125,302.49560546875
R_A2,22,0,0.0,16,302.6328125,STANDARD,30,0.9326995015144348,2018-01-01,16,1668.526123046875,302.6328125
R_A2,22,0,0.0,16,302.84649658203125,STANDARD,29,0.9197523593902588,2018-01-01,17,1671.7115478515625,302.84649658203125
R_A2,22,0,0.0,17,302.98785400390625,STANDARD,29,0.9262149930000305,2018-01-01,18,1673.8184814453125,302.98785400390625
R_A2,22,0,0.0,18,303.1088562011719,STANDARD,29,0.9712324142456055,2018-01-01,19,1675.6219482421875,303.1088562011719
R_A2,22,0,0.0,25,303.2185974121094,STANDARD,29,1.0,2018-01-01,20,1677.25732421875,303.2185974121094
R_A2,22,0,0.0,26,303.33740234375,STANDARD,29,1.0,2018-01-01,21,1679.0279541015625,303.33740234375
R_A2,22,0,0.0,27,303.4562072753906,STANDARD,29,1.0,2018-01-01,22,1680.798583984375,303.4562072753906
R_A2,22,0,0.0,28,303.9169921875,STANDARD,29,1.0,2018-01-01,23,1682.569091796875,303.9169921875
