DEPTH,SWAT,PRESSURE,WELLMODEL,CONIPOS,CONIDX,CONBPRES,DRAWDOWN,DATE,CONJPOS,CONKPOS,SGAS,WELL
1641.094970703125,0.055748213082551956,300.6733093261719,STANDARD,22,1,300.6733093261719,0,2018-01-01,30,1,0.0,R_A2
1642.8890380859375,0.05881066620349884,300.7936096191406,STANDARD,22,2,300.7936096191406,0,2018-01-01,30,2,0.0,R_A2
1644.68310546875,0.06129923462867737,300.9139099121094,STANDARD,22,3,300.9139099121094,0,2018-01-01,30,3,0.0,R_A2
1646.4771728515625,0.06717785447835922,301.0342102050781,STANDARD,22,4,301.0342102050781,0,2018-01-01,30,4,0.0,R_A2
1648.2713623046875,0.13372820615768433,301.1545104980469,STANDARD,22,5,301.1545104980469,0,2018-01-01,30,5,0.0,R_A2
1650.0654296875,0.30576056241989136,301.27484130859375,STANDARD,22,6,301.27484130859375,0,2018-01-01,30,6,0.0,R_A2
1651.859619140625,0.893852174282074,301.3951721191406,STANDARD,22,7,301.3951721191406,0,2018-01-01,30,7,0.0,R_A2
1653.6536865234375,0.6481541991233826,301.5154724121094,STANDARD,22,8,301.5154724121094,0,2018-01-01,30,8,0.0,R_A2
1655.44775390625,0.18723928928375244,301.63580322265625,STANDARD,22,9,301.63580322265625,0,2018-01-01,30,9,0.0,R_A2
1657.2418212890625,0.9045571684837341,301.7561340332031,STANDARD,22,10,301.7561340332031,0,2018-01-01,30,10,0.0,R_A2
1659.1368408203125,0.07894028723239899,301.88323974609375,STANDARD,22,11,301.88323974609375,0,2018-01-01,30,11,0.0,R_A2
1661.132568359375,0.079011470079422,302.01708984375,STANDARD,22,12,302.01708984375,0,2018-01-01,30,12,0.0,R_A2
1663.12841796875,0.45304223895072937,302.1509704589844,STANDARD,22,13,302.1509704589844,0,2018-01-01,30,13,0.0,R_A2
1665.1241455078125,0.5042955279350281,302.28485107421875,STANDARD,22,14,302.28485107421875,0,2018-01-01,30,14,0.0,R_A2
1667.1199951171875,0.6907110214233398,302.4187316894531,STANDARD,22,15,302.4187316894531,0,2018-01-01,30,15,0.0,R_A2
1669.11572265625,0.964935839176178,302.5526123046875,STANDARD,22,16,302.5526123046875,0,2018-01-01,30,16,0.0,R_A2
1671.111572265625,0.9508187174797058,302.6864929199219,STANDARD,22,17,302.6864929199219,0,2018-01-01,30,17,0.0,R_A2
1672.9881591796875,0.983161985874176,302.8123779296875,STANDARD,22,18,302.8123779296875,0,2018-01-01,30,18,0.0,R_A2
1674.229736328125,0.9968782663345337,302.89569091796875,STANDARD,22,19,302.89569091796875,0,2018-01-01,29,18,0.0,R_A2
1676.1676025390625,1.0,303.02569580078125,STANDARD,22,20,303.02569580078125,0,2018-01-01,29,27,0.0,R_A2
1677.9368896484375,1.0,303.47802734375,STANDARD,22,21,303.47802734375,0,2018-01-01,29,28,0.0,R_A2
1679.7061767578125,1.0,303.64569091796875,STANDARD,22,22,303.64569091796875,0,2018-01-01,29,29,0.0,R_A2
1681.4754638671875,1.0,303.8133544921875,STANDARD,22,23,303.8133544921875,0,2018-01-01,29,30,0.0,R_A2
1683.2447509765625,1.0,303.98101806640625,STANDARD,22,24,303.98101806640625,0,2018-01-01,29,31,0.0,R_A2
1609.243408203125,0.6481541991233826,298.53814697265625,STANDARD,28,1,298.53814697265625,0,2018-01-01,41,1,0.0,R_A3
1611.3077392578125,0.19721345603466034,298.676513671875,STANDARD,28,2,298.676513671875,0,2018-01-01,41,2,0.0,R_A3
1613.3720703125,0.15777362883090973,298.8148498535156,STANDARD,28,3,298.8148498535156,0,2018-01-01,41,3,0.0,R_A3
1615.4365234375,0.1718059778213501,298.9532165527344,STANDARD,28,4,298.9532165527344,0,2018-01-01,41,4,0.0,R_A3
1617.5008544921875,0.6481541991233826,299.0915832519531,STANDARD,28,5,299.0915832519531,0,2018-01-01,41,5,0.0,R_A3
1619.565185546875,0.3384052515029907,299.2299499511719,STANDARD,28,6,299.2299499511719,0,2018-01-01,41,6,0.0,R_A3
1609.3663330078125,0.6481541991233826,298.54638671875,STANDARD,29,7,298.54638671875,0,2018-01-01,41,6,0.0,R_A3
1611.4163818359375,0.19685770571231842,298.68377685546875,STANDARD,29,8,298.68377685546875,0,2018-01-01,41,7,0.0,R_A3
1613.46630859375,0.3490063548088074,298.8211669921875,STANDARD,29,9,298.8211669921875,0,2018-01-01,41,8,0.0,R_A3
1615.516357421875,0.8026683926582336,298.95855712890625,STANDARD,29,10,298.95855712890625,0,2018-01-01,41,9,0.0,R_A3
1617.5662841796875,0.7972224354743958,299.095947265625,STANDARD,29,11,299.095947265625,0,2018-01-01,41,10,0.0,R_A3
1619.750732421875,0.04908576235175133,299.24237060546875,STANDARD,29,12,299.24237060546875,0,2018-01-01,41,11,0.0,R_A3
1622.0697021484375,0.054848283529281616,299.3978271484375,STANDARD,29,13,299.3978271484375,0,2018-01-01,41,12,0.0,R_A3
1624.388671875,0.37202560901641846,299.5532531738281,STANDARD,29,14,299.5532531738281,0,2018-01-01,41,13,0.0,R_A3
1629.026611328125,0.4873570203781128,299.8641662597656,STANDARD,29,15,299.8641662597656,0,2018-01-01,41,15,0.0,R_A3
1630.9468994140625,0.8076774477958679,299.992919921875,STANDARD,29,16,299.992919921875,0,2018-01-01,41,16,0.0,R_A3
1633.5262451171875,1.0,300.16583251953125,STANDARD,29,17,300.16583251953125,0,2018-01-01,41,27,0.0,R_A3
1637.1630859375,0.04337825998663902,300.40966796875,STANDARD,29,18,300.40966796875,0,2018-01-01,41,28,0.0,R_A3
1640.8001708984375,0.05151337385177612,300.6535339355469,STANDARD,29,19,300.6535339355469,0,2018-01-01,41,29,0.0,R_A3
1644.4371337890625,1.0,300.89739990234375,STANDARD,29,20,300.89739990234375,0,2018-01-01,41,30,0.0,R_A3
1648.0740966796875,0.06231296807527542,301.14129638671875,STANDARD,29,21,301.14129638671875,0,2018-01-01,41,31,0.0,R_A3
1631.1873779296875,0.053005583584308624,300.009033203125,STANDARD,30,1,300.009033203125,0,2018-01-01,52,1,0.0,R_A4
1627.4293212890625,0.04966719448566437,299.7571105957031,STANDARD,31,2,299.7571105957031,0,2018-01-01,52,1,0.0,R_A4
1629.4896240234375,0.050943583250045776,299.89520263671875,STANDARD,31,3,299.89520263671875,0,2018-01-01,52,2,0.0,R_A4
1631.5498046875,0.05345940962433815,300.0333251953125,STANDARD,31,4,300.0333251953125,0,2018-01-01,52,3,0.0,R_A4
1633.610107421875,0.058497145771980286,300.17144775390625,STANDARD,31,5,300.17144775390625,0,2018-01-01,52,4,0.0,R_A4
1632.3968505859375,0.05785714462399483,300.0901184082031,STANDARD,32,6,300.0901184082031,0,2018-01-01,52,4,0.0,R_A4
1635.880615234375,0.058354947715997696,300.3236999511719,STANDARD,32,7,300.3236999511719,0,2018-01-01,51,4,0.0,R_A4
1637.321044921875,0.0618814118206501,300.4202575683594,STANDARD,33,8,300.4202575683594,0,2018-01-01,51,4,0.0,R_A4
1635.474609375,0.05655122175812721,300.29644775390625,STANDARD,33,9,300.29644775390625,0,2018-01-01,51,3,0.0,R_A4
1642.1485595703125,0.14695020020008087,300.74395751953125,STANDARD,33,10,300.74395751953125,0,2018-01-01,50,4,0.0,R_A4
1641.132080078125,0.08094248175621033,300.67578125,STANDARD,34,11,300.67578125,0,2018-01-01,50,4,0.0,R_A4
1639.20703125,0.12245088070631027,300.5467224121094,STANDARD,34,12,300.5467224121094,0,2018-01-01,50,3,0.0,R_A4
1640.9061279296875,0.12450994551181793,300.66064453125,STANDARD,35,13,300.66064453125,0,2018-01-01,50,3,0.0,R_A4
1639.0426025390625,0.22938384115695953,300.53570556640625,STANDARD,35,14,300.53570556640625,0,2018-01-01,50,2,0.0,R_A4
1641.93212890625,0.23677265644073486,300.72943115234375,STANDARD,35,15,300.72943115234375,0,2018-01-01,49,2,0.0,R_A4
1642.357421875,0.12670636177062988,300.7579650878906,STANDARD,36,16,300.7579650878906,0,2018-01-01,49,30,0.0,R_A4
1639.6068115234375,0.04889002442359924,300.5735168457031,STANDARD,36,17,300.5735168457031,0,2018-01-01,48,30,0.0,R_A4
1646.7513427734375,0.2428145408630371,301.0526123046875,STANDARD,37,18,301.0526123046875,0,2018-01-01,48,30,0.0,R_A4
1653.461669921875,0.3171052634716034,301.5025939941406,STANDARD,38,19,301.5025939941406,0,2018-01-01,48,30,0.0,R_A4
1657.8184814453125,0.6481541991233826,301.7947998046875,STANDARD,38,20,301.7947998046875,0,2018-01-01,47,30,0.0,R_A4
1685.026611328125,1.0,304.1498718261719,STANDARD,31,1,304.1498718261719,0,2018-01-01,20,1,0.0,R_A5
1687.3070068359375,1.0,304.0601806640625,STANDARD,31,2,304.0601806640625,0,2018-01-01,20,2,0.0,R_A5
1689.5875244140625,1.0,304.27630615234375,STANDARD,31,3,304.27630615234375,0,2018-01-01,20,3,0.0,R_A5
1691.8680419921875,1.0,304.4924011230469,STANDARD,31,4,304.4924011230469,0,2018-01-01,20,4,0.0,R_A5
1694.1485595703125,1.0,304.7085266113281,STANDARD,31,5,304.7085266113281,0,2018-01-01,20,5,0.0,R_A5
1696.4290771484375,1.0,304.9246520996094,STANDARD,31,6,304.9246520996094,0,2018-01-01,20,6,0.0,R_A5
1698.70947265625,1.0,305.446533203125,STANDARD,31,7,305.446533203125,0,2018-01-01,20,7,0.0,R_A5
1700.989990234375,1.0,305.66265869140625,STANDARD,31,8,305.66265869140625,0,2018-01-01,20,8,0.0,R_A5
1703.2706298828125,1.0,305.8787841796875,STANDARD,31,9,305.8787841796875,0,2018-01-01,20,9,0.0,R_A5
1707.6488037109375,1.0,305.988037109375,STANDARD,31,10,305.988037109375,0,2018-01-01,20,11,0.0,R_A5
1709.5638427734375,1.0,306.1695251464844,STANDARD,31,11,306.1695251464844,0,2018-01-01,20,12,0.0,R_A5
1701.7845458984375,1.0,305.4322814941406,STANDARD,31,12,305.4322814941406,0,2018-01-01,21,12,0.0,R_A5
1703.735107421875,1.0,305.6291198730469,STANDARD,31,13,305.6291198730469,0,2018-01-01,21,13,0.0,R_A5
1705.6856689453125,1.0,305.81396484375,STANDARD,31,14,305.81396484375,0,2018-01-01,21,14,0.0,R_A5
1707.63623046875,1.0,305.9988098144531,STANDARD,31,15,305.9988098144531,0,2018-01-01,21,15,0.0,R_A5
1709.5867919921875,1.0,306.3287048339844,STANDARD,31,16,306.3287048339844,0,2018-01-01,21,16,0.0,R_A5
1711.537353515625,1.0,306.5135498046875,STANDARD,31,17,306.5135498046875,0,2018-01-01,21,17,0.0,R_A5
1713.35400390625,1.0,306.6856994628906,STANDARD,31,18,306.6856994628906,0,2018-01-01,21,18,0.0,R_A5
1714.3951416015625,1.0,306.7843933105469,STANDARD,31,19,306.7843933105469,0,2018-01-01,21,19,0.0,R_A5
1715.7628173828125,1.0,306.75689697265625,STANDARD,31,20,306.75689697265625,0,2018-01-01,21,27,0.0,R_A5
1718.098388671875,1.0,306.978271484375,STANDARD,31,21,306.978271484375,0,2018-01-01,21,28,0.0,R_A5
1720.43408203125,1.0,307.5054016113281,STANDARD,31,22,307.5054016113281,0,2018-01-01,21,29,0.0,R_A5
1722.7696533203125,1.0,307.7267761230469,STANDARD,31,23,307.7267761230469,0,2018-01-01,21,30,0.0,R_A5
1725.105224609375,1.0,307.9481506347656,STANDARD,31,24,307.9481506347656,0,2018-01-01,21,31,0.0,R_A5
1695.20263671875,1.0,305.11419677734375,STANDARD,17,1,305.11419677734375,0,2018-01-01,42,1,0.0,R_A6
1696.7510986328125,1.0,305.2609558105469,STANDARD,17,2,305.2609558105469,0,2018-01-01,42,2,0.0,R_A6
1698.299560546875,1.0,305.4076843261719,STANDARD,17,3,305.4076843261719,0,2018-01-01,42,3,0.0,R_A6
1699.84814453125,1.0,305.554443359375,STANDARD,17,4,305.554443359375,0,2018-01-01,42,4,0.0,R_A6
1701.3966064453125,1.0,305.7012023925781,STANDARD,17,5,305.7012023925781,0,2018-01-01,42,5,0.0,R_A6
1702.9451904296875,1.0,305.84796142578125,STANDARD,17,6,305.84796142578125,0,2018-01-01,42,6,0.0,R_A6
1704.49365234375,1.0,305.6956481933594,STANDARD,17,7,305.6956481933594,0,2018-01-01,42,7,0.0,R_A6
1706.042236328125,1.0,305.8424072265625,STANDARD,17,8,305.8424072265625,0,2018-01-01,42,8,0.0,R_A6
1707.5906982421875,1.0,306.2882080078125,STANDARD,17,9,306.2882080078125,0,2018-01-01,42,9,0.0,R_A6
1709.1392822265625,1.0,306.4349670410156,STANDARD,17,10,306.4349670410156,0,2018-01-01,42,10,0.0,R_A6
1711.055419921875,1.0,306.3109130859375,STANDARD,17,11,306.3109130859375,0,2018-01-01,42,11,0.0,R_A6
1713.3392333984375,1.0,306.52734375,STANDARD,17,12,306.52734375,0,2018-01-01,42,12,0.0,R_A6
1715.623046875,1.0,306.7557678222656,STANDARD,17,13,306.7557678222656,0,2018-01-01,42,13,0.0,R_A6
1717.9068603515625,1.0,306.9721984863281,STANDARD,17,14,306.9721984863281,0,2018-01-01,42,14,0.0,R_A6
1720.190673828125,1.0,307.18865966796875,STANDARD,17,15,307.18865966796875,0,2018-01-01,42,15,0.0,R_A6
1722.474365234375,1.0,307.55010986328125,STANDARD,17,16,307.55010986328125,0,2018-01-01,42,16,0.0,R_A6
1724.7581787109375,1.0,307.7665710449219,STANDARD,17,17,307.7665710449219,0,2018-01-01,42,17,0.0,R_A6
1726.394287109375,1.0,307.921630859375,STANDARD,17,18,307.921630859375,0,2018-01-01,42,18,0.0,R_A6
1727.7508544921875,1.0,307.8930969238281,STANDARD,17,19,307.8930969238281,0,2018-01-01,42,27,0.0,R_A6
1729.4755859375,1.0,308.3623352050781,STANDARD,17,20,308.3623352050781,0,2018-01-01,42,28,0.0,R_A6
1731.2001953125,1.0,308.52581787109375,STANDARD,17,21,308.52581787109375,0,2018-01-01,42,29,0.0,R_A6
1732.9249267578125,1.0,308.68927001953125,STANDARD,17,22,308.68927001953125,0,2018-01-01,42,30,0.0,R_A6
1734.649658203125,1.0,308.5469665527344,STANDARD,17,23,308.5469665527344,0,2018-01-01,42,31,0.0,R_A6
1641.094970703125,0.055793099105358124,298.1422119140625,STANDARD,22,1,298.1422119140625,0,2018-03-01,30,1,0.0,R_A2
1642.8890380859375,0.05887361988425255,298.2623596191406,STANDARD,22,2,298.2623596191406,0,2018-03-01,30,2,0.0,R_A2
1644.68310546875,0.061590779572725296,298.3825378417969,STANDARD,22,3,298.3825378417969,0,2018-03-01,30,3,0.0,R_A2
1646.4771728515625,0.06779774278402328,298.5027770996094,STANDARD,22,4,298.5027770996094,0,2018-03-01,30,4,0.0,R_A2
1648.2713623046875,0.13492007553577423,298.6232604980469,STANDARD,22,5,298.6232604980469,0,2018-03-01,30,5,0.0,R_A2
1650.0654296875,0.3080856502056122,298.909912109375,STANDARD,22,6,298.909912109375,0,2018-03-01,30,6,0.0,R_A2
1651.859619140625,0.8858882784843445,299.1803894042969,STANDARD,22,7,299.1803894042969,0,2018-03-01,30,7,0.0,R_A2
1653.6536865234375,0.6483519077301025,299.3569030761719,STANDARD,22,8,299.3569030761719,0,2018-03-01,30,8,0.0,R_A2
1655.44775390625,0.1873043328523636,299.4771423339844,STANDARD,22,9,299.4771423339844,0,2018-03-01,30,9,0.0,R_A2
1657.2418212890625,0.9044986963272095,299.7506103515625,STANDARD,22,10,299.7506103515625,0,2018-03-01,30,10,0.0,R_A2
