DEPTH,WELLMODEL,CONJPOS,PRESSURE,SWAT,CONBPRES,CONIPOS,DRAWDOWN,CONKPOS,WELL,DATE,SGAS,CONIDX
1641.0418701171875,STANDARD,30,300.6495666503906,0.05631129816174507,300.6495666503906,22,0,1,R_A2,2018-01-01,0.0,1
1642.8031005859375,STANDARD,30,300.7676696777344,0.058330733329057693,300.7676696777344,22,0,2,R_A2,2018-01-01,0.0,2
1644.564453125,STANDARD,30,300.8857421875,0.06353019177913666,300.8857421875,22,0,3,R_A2,2018-01-01,0.0,3
1646.32568359375,STANDARD,30,301.00384521484375,0.06867563724517822,301.00384521484375,22,0,4,R_A2,2018-01-01,0.0,4
1648.0869140625,STANDARD,30,301.1219787597656,0.07045166939496994,301.1219787597656,22,0,5,R_A2,2018-01-01,0.0,5
1649.84814453125,STANDARD,30,301.2400817871094,0.3212454319000244,301.2400817871094,22,0,6,R_A2,2018-01-01,0.0,6
1651.609375,STANDARD,30,301.3581848144531,0.8933305144309998,301.3581848144531,22,0,7,R_A2,2018-01-01,0.0,7
1653.37060546875,STANDARD,30,301.476318359375,0.8777441382408142,301.476318359375,22,0,8,R_A2,2018-01-01,0.0,8
1655.1318359375,STANDARD,30,301.59442138671875,0.2159615308046341,301.59442138671875,22,0,9,R_A2,2018-01-01,0.0,9
1656.8931884765625,STANDARD,30,301.7125549316406,0.6481541991233826,301.7125549316406,22,0,10,R_A2,2018-01-01,0.0,10
1658.802734375,STANDARD,30,301.84063720703125,0.07656878232955933,301.84063720703125,22,0,11,R_A2,2018-01-01,0.0,11
1660.8604736328125,STANDARD,30,301.9786682128906,0.08078660070896149,301.9786682128906,22,0,12,R_A2,2018-01-01,0.0,12
1662.918212890625,STANDARD,30,302.1166687011719,0.4760315716266632,302.1166687011719,22,0,13,R_A2,2018-01-01,0.0,13
1664.434814453125,STANDARD,29,302.2184143066406,0.5348135828971863,302.2184143066406,22,0,14,R_A2,2018-01-01,0.0,14
1666.651611328125,STANDARD,29,302.36712646484375,0.9664827585220337,302.36712646484375,22,0,15,R_A2,2018-01-01,0.0,15
1668.8685302734375,STANDARD,29,302.51580810546875,0.978429913520813,302.51580810546875,22,0,16,R_A2,2018-01-01,0.0,16
1671.0853271484375,STANDARD,29,302.66455078125,0.9500131607055664,302.66455078125,22,0,17,R_A2,2018-01-01,0.0,17
1673.038330078125,STANDARD,29,302.7955627441406,0.994710385799408,302.7955627441406,22,0,18,R_A2,2018-01-01,0.0,18
1674.8282470703125,STANDARD,29,302.9156494140625,0.6481541991233826,302.9156494140625,22,0,27,R_A2,2018-01-01,0.0,19
1676.6717529296875,STANDARD,29,303.358154296875,1.0,303.358154296875,22,0,28,R_A2,2018-01-01,0.0,20
1678.515380859375,STANDARD,29,303.5328674316406,1.0,303.5328674316406,22,0,29,R_A2,2018-01-01,0.0,21
1680.35888671875,STANDARD,29,303.7075500488281,1.0,303.7075500488281,22,0,30,R_A2,2018-01-01,0.0,22
1682.202392578125,STANDARD,29,303.88226318359375,1.0,303.88226318359375,22,0,31,R_A2,2018-01-01,0.0,23
1608.7918701171875,STANDARD,41,298.4877014160156,0.096741683781147,298.4877014160156,28,0,1,R_A3,2018-01-01,0.0,1
1610.8690185546875,STANDARD,41,298.6269226074219,0.07981482893228531,298.6269226074219,28,0,2,R_A3,2018-01-01,0.0,2
1612.9461669921875,STANDARD,41,298.76611328125,0.08264370262622833,298.76611328125,28,0,3,R_A3,2018-01-01,0.0,3
1615.0233154296875,STANDARD,41,298.90533447265625,0.14156602323055267,298.90533447265625,28,0,4,R_A3,2018-01-01,0.0,4
1617.1004638671875,STANDARD,41,299.0445556640625,0.22418607771396637,299.0445556640625,28,0,5,R_A3,2018-01-01,0.0,5
1607.539794921875,STANDARD,41,298.40380859375,0.6481541991233826,298.40380859375,29,0,5,R_A3,2018-01-01,0.0,6
1609.51025390625,STANDARD,41,298.5358581542969,0.23728027939796448,298.5358581542969,29,0,6,R_A3,2018-01-01,0.0,7
1611.4808349609375,STANDARD,41,298.66790771484375,0.1976516991853714,298.66790771484375,29,0,7,R_A3,2018-01-01,0.0,8
1613.4512939453125,STANDARD,41,298.79998779296875,0.20067204535007477,298.79998779296875,29,0,8,R_A3,2018-01-01,0.0,9
1615.4217529296875,STANDARD,41,298.9320373535156,0.6481541991233826,298.9320373535156,29,0,9,R_A3,2018-01-01,0.0,10
1617.392333984375,STANDARD,41,299.0641174316406,0.7973371744155884,299.0641174316406,29,0,10,R_A3,2018-01-01,0.0,11
1619.614501953125,STANDARD,41,299.21307373046875,0.050071727484464645,299.21307373046875,29,0,11,R_A3,2018-01-01,0.0,12
1622.08837890625,STANDARD,41,299.37890625,0.05625687167048454,299.37890625,29,0,12,R_A3,2018-01-01,0.0,13
1624.562255859375,STANDARD,41,299.5447082519531,0.37155434489250183,299.5447082519531,29,0,13,R_A3,2018-01-01,0.0,14
1629.434326171875,STANDARD,41,299.871337890625,0.601466715335846,299.871337890625,29,0,15,R_A3,2018-01-01,0.0,15
1631.1036376953125,STANDARD,41,299.9832458496094,0.8126362562179565,299.9832458496094,29,0,16,R_A3,2018-01-01,0.0,16
1633.425537109375,STANDARD,41,300.138916015625,0.7450818419456482,300.138916015625,29,0,27,R_A3,2018-01-01,0.0,17
1637.05322265625,STANDARD,41,300.3821105957031,0.04873022064566612,300.3821105957031,29,0,28,R_A3,2018-01-01,0.0,18
1640.6810302734375,STANDARD,41,300.6253662109375,0.07801681756973267,300.6253662109375,29,0,29,R_A3,2018-01-01,0.0,19
1644.308837890625,STANDARD,41,300.8686218261719,0.8224436640739441,300.8686218261719,29,0,30,R_A3,2018-01-01,0.0,20
1647.9365234375,STANDARD,41,301.11187744140625,0.09934765845537186,301.11187744140625,29,0,31,R_A3,2018-01-01,0.0,21
1629.779541015625,STANDARD,52,299.89447021484375,0.051119688898324966,299.89447021484375,30,0,1,R_A4,2018-01-01,0.0,1
1626.40869140625,STANDARD,52,299.6684875488281,0.04943738877773285,299.6684875488281,31,0,1,R_A4,2018-01-01,0.0,2
