CONBPRES,CONIDX,WELLMODEL,CONIPOS,SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,PRESSURE,SGAS,DEPTH,WELL
300.6733093261719,1,STANDARD,22,0.05760246515274048,0,2018-01-01,30,1,300.6733093261719,0.0,1641.094970703125,R_A2
300.7936096191406,2,STANDARD,22,0.05853121727705002,0,2018-01-01,30,2,300.7936096191406,0.0,1642.8890380859375,R_A2
300.9139099121094,3,STANDARD,22,0.06116862595081329,0,2018-01-01,30,3,300.9139099121094,0.0,1644.68310546875,R_A2
301.0342102050781,4,STANDARD,22,0.0663427859544754,0,2018-01-01,30,4,301.0342102050781,0.0,1646.4771728515625,R_A2
301.1545104980469,5,STANDARD,22,0.0687314122915268,0,2018-01-01,30,5,301.1545104980469,0.0,1648.2713623046875,R_A2
301.27484130859375,6,STANDARD,22,0.3121729791164398,0,2018-01-01,30,6,301.27484130859375,0.0,1650.0654296875,R_A2
301.3951721191406,7,STANDARD,22,0.8978545665740967,0,2018-01-01,30,7,301.3951721191406,0.0,1651.859619140625,R_A2
301.5154724121094,8,STANDARD,22,0.8618757724761963,0,2018-01-01,30,8,301.5154724121094,0.0,1653.6536865234375,R_A2
301.63580322265625,9,STANDARD,22,0.9105261564254761,0,2018-01-01,30,9,301.63580322265625,0.0,1655.44775390625,R_A2
301.7561340332031,10,STANDARD,22,0.9083951115608215,0,2018-01-01,30,10,301.7561340332031,0.0,1657.2418212890625,R_A2
301.88323974609375,11,STANDARD,22,0.07604346424341202,0,2018-01-01,30,11,301.88323974609375,0.0,1659.1368408203125,R_A2
302.01708984375,12,STANDARD,22,0.0789390504360199,0,2018-01-01,30,12,302.01708984375,0.0,1661.132568359375,R_A2
302.1509704589844,13,STANDARD,22,0.44872841238975525,0,2018-01-01,30,13,302.1509704589844,0.0,1663.12841796875,R_A2
302.28485107421875,14,STANDARD,22,0.5068296194076538,0,2018-01-01,30,14,302.28485107421875,0.0,1665.1241455078125,R_A2
302.4187316894531,15,STANDARD,22,0.6861860752105713,0,2018-01-01,30,15,302.4187316894531,0.0,1667.1199951171875,R_A2
302.5526123046875,16,STANDARD,22,0.9714688062667847,0,2018-01-01,30,16,302.5526123046875,0.0,1669.11572265625,R_A2
302.6864929199219,17,STANDARD,22,0.948536217212677,0,2018-01-01,30,17,302.6864929199219,0.0,1671.111572265625,R_A2
302.8123779296875,18,STANDARD,22,0.9796320199966431,0,2018-01-01,30,18,302.8123779296875,0.0,1672.9881591796875,R_A2
302.89569091796875,19,STANDARD,22,0.9940532445907593,0,2018-01-01,29,18,302.89569091796875,0.0,1674.229736328125,R_A2
303.02569580078125,20,STANDARD,22,0.6481541991233826,0,2018-01-01,29,27,303.02569580078125,0.0,1676.1676025390625,R_A2
303.47802734375,21,STANDARD,22,1.0,0,2018-01-01,29,28,303.47802734375,0.0,1677.9368896484375,R_A2
303.64569091796875,22,STANDARD,22,1.0,0,2018-01-01,29,29,303.64569091796875,0.0,1679.7061767578125,R_A2
303.8133544921875,23,STANDARD,22,1.0,0,2018-01-01,29,30,303.8133544921875,0.0,1681.4754638671875,R_A2
303.98101806640625,24,STANDARD,22,1.0,0,2018-01-01,29,31,303.98101806640625,0.0,1683.2447509765625,R_A2
298.53814697265625,1,STANDARD,28,0.6481541991233826,0,2018-01-01,41,1,298.53814697265625,0.0,1609.243408203125,R_A3
298.676513671875,2,STANDARD,28,0.19803451001644135,0,2018-01-01,41,2,298.676513671875,0.0,1611.3077392578125,R_A3
298.8148498535156,3,STANDARD,28,0.19370174407958984,0,2018-01-01,41,3,298.8148498535156,0.0,1613.3720703125,R_A3
298.9532165527344,4,STANDARD,28,0.2555322051048279,0,2018-01-01,41,4,298.9532165527344,0.0,1615.4365234375,R_A3
299.0915832519531,5,STANDARD,28,0.8283283710479736,0,2018-01-01,41,5,299.0915832519531,0.0,1617.5008544921875,R_A3
299.2299499511719,6,STANDARD,28,0.6481541991233826,0,2018-01-01,41,6,299.2299499511719,0.0,1619.565185546875,R_A3
298.54638671875,7,STANDARD,29,0.6481541991233826,0,2018-01-01,41,6,298.54638671875,0.0,1609.3663330078125,R_A3
298.68377685546875,8,STANDARD,29,0.19839943945407867,0,2018-01-01,41,7,298.68377685546875,0.0,1611.4163818359375,R_A3
298.8211669921875,9,STANDARD,29,0.20012404024600983,0,2018-01-01,41,8,298.8211669921875,0.0,1613.46630859375,R_A3
298.95855712890625,10,STANDARD,29,0.8029430508613586,0,2018-01-01,41,9,298.95855712890625,0.0,1615.516357421875,R_A3
299.095947265625,11,STANDARD,29,0.8017147183418274,0,2018-01-01,41,10,299.095947265625,0.0,1617.5662841796875,R_A3
299.24237060546875,12,STANDARD,29,0.047662775963544846,0,2018-01-01,41,11,299.24237060546875,0.0,1619.750732421875,R_A3
299.3978271484375,13,STANDARD,29,0.05465734004974365,0,2018-01-01,41,12,299.3978271484375,0.0,1622.0697021484375,R_A3
299.5532531738281,14,STANDARD,29,0.36961451172828674,0,2018-01-01,41,13,299.5532531738281,0.0,1624.388671875,R_A3
299.8641662597656,15,STANDARD,29,0.40267708897590637,0,2018-01-01,41,15,299.8641662597656,0.0,1629.026611328125,R_A3
299.992919921875,16,STANDARD,29,0.814231276512146,0,2018-01-01,41,16,299.992919921875,0.0,1630.9468994140625,R_A3
300.16583251953125,17,STANDARD,29,0.6481541991233826,0,2018-01-01,41,27,300.16583251953125,0.0,1633.5262451171875,R_A3
300.40966796875,18,STANDARD,29,0.04657479748129845,0,2018-01-01,41,28,300.40966796875,0.0,1637.1630859375,R_A3
300.6535339355469,19,STANDARD,29,0.05444984510540962,0,2018-01-01,41,29,300.6535339355469,0.0,1640.8001708984375,R_A3
300.89739990234375,20,STANDARD,29,1.0,0,2018-01-01,41,30,300.89739990234375,0.0,1644.4371337890625,R_A3
301.14129638671875,21,STANDARD,29,0.06235086917877197,0,2018-01-01,41,31,301.14129638671875,0.0,1648.0740966796875,R_A3
300.009033203125,1,STANDARD,30,0.04969937726855278,0,2018-01-01,52,1,300.009033203125,0.0,1631.1873779296875,R_A4
299.7571105957031,2,STANDARD,31,0.04972411319613457,0,2018-01-01,52,1,299.7571105957031,0.0,1627.4293212890625,R_A4
299.89520263671875,3,STANDARD,31,0.05124127119779587,0,2018-01-01,52,2,299.89520263671875,0.0,1629.4896240234375,R_A4
300.0333251953125,4,STANDARD,31,0.05373745784163475,0,2018-01-01,52,3,300.0333251953125,0.0,1631.5498046875,R_A4
300.17144775390625,5,STANDARD,31,0.05840654298663139,0,2018-01-01,52,4,300.17144775390625,0.0,1633.610107421875,R_A4
300.0901184082031,6,STANDARD,32,0.05641423910856247,0,2018-01-01,52,4,300.0901184082031,0.0,1632.3968505859375,R_A4
300.3236999511719,7,STANDARD,32,0.059060242027044296,0,2018-01-01,51,4,300.3236999511719,0.0,1635.880615234375,R_A4
300.4202575683594,8,STANDARD,33,0.0928310677409172,0,2018-01-01,51,4,300.4202575683594,0.0,1637.321044921875,R_A4
300.29644775390625,9,STANDARD,33,0.1678450107574463,0,2018-01-01,51,3,300.29644775390625,0.0,1635.474609375,R_A4
300.74395751953125,10,STANDARD,33,0.18907098472118378,0,2018-01-01,50,4,300.74395751953125,0.0,1642.1485595703125,R_A4
300.67578125,11,STANDARD,34,0.16031335294246674,0,2018-01-01,50,4,300.67578125,0.0,1641.132080078125,R_A4
300.5467224121094,12,STANDARD,34,0.25342857837677,0,2018-01-01,50,3,300.5467224121094,0.0,1639.20703125,R_A4
300.66064453125,13,STANDARD,35,0.16939347982406616,0,2018-01-01,50,3,300.66064453125,0.0,1640.9061279296875,R_A4
300.53570556640625,14,STANDARD,35,0.23071172833442688,0,2018-01-01,50,2,300.53570556640625,0.0,1639.0426025390625,R_A4
300.72943115234375,15,STANDARD,35,0.23815256357192993,0,2018-01-01,49,2,300.72943115234375,0.0,1641.93212890625,R_A4
300.7579650878906,16,STANDARD,36,0.8387154340744019,0,2018-01-01,49,30,300.7579650878906,0.0,1642.357421875,R_A4
300.5735168457031,17,STANDARD,36,0.6481541991233826,0,2018-01-01,48,30,300.5735168457031,0.0,1639.6068115234375,R_A4
301.0526123046875,18,STANDARD,37,0.8328254222869873,0,2018-01-01,48,30,301.0526123046875,0.0,1646.7513427734375,R_A4
301.5025939941406,19,STANDARD,38,0.6481541991233826,0,2018-01-01,48,30,301.5025939941406,0.0,1653.461669921875,R_A4
301.7947998046875,20,STANDARD,38,0.8453923463821411,0,2018-01-01,47,30,301.7947998046875,0.0,1657.8184814453125,R_A4
303.8440856933594,1,STANDARD,31,1.0,0,2018-01-01,20,1,303.8440856933594,0.0,1685.026611328125,R_A5
304.0601806640625,2,STANDARD,31,1.0,0,2018-01-01,20,2,304.0601806640625,0.0,1687.3070068359375,R_A5
304.27630615234375,3,STANDARD,31,1.0,0,2018-01-01,20,3,304.27630615234375,0.0,1689.5875244140625,R_A5
304.4924011230469,4,STANDARD,31,1.0,0,2018-01-01,20,4,304.4924011230469,0.0,1691.8680419921875,R_A5
304.7085266113281,5,STANDARD,31,1.0,0,2018-01-01,20,5,304.7085266113281,0.0,1694.1485595703125,R_A5
304.9246520996094,6,STANDARD,31,1.0,0,2018-01-01,20,6,304.9246520996094,0.0,1696.4290771484375,R_A5
305.446533203125,7,STANDARD,31,1.0,0,2018-01-01,20,7,305.446533203125,0.0,1698.70947265625,R_A5
305.988037109375,8,STANDARD,31,1.0,0,2018-01-01,20,11,305.988037109375,0.0,1707.6488037109375,R_A5
306.1695251464844,9,STANDARD,31,1.0,0,2018-01-01,20,12,306.1695251464844,0.0,1709.5638427734375,R_A5
305.4322814941406,10,STANDARD,31,1.0,0,2018-01-01,21,12,305.4322814941406,0.0,1701.7845458984375,R_A5
305.6291198730469,11,STANDARD,31,1.0,0,2018-01-01,21,13,305.6291198730469,0.0,1703.735107421875,R_A5
305.81396484375,12,STANDARD,31,1.0,0,2018-01-01,21,14,305.81396484375,0.0,1705.6856689453125,R_A5
305.9988098144531,13,STANDARD,31,1.0,0,2018-01-01,21,15,305.9988098144531,0.0,1707.63623046875,R_A5
306.3287048339844,14,STANDARD,31,1.0,0,2018-01-01,21,16,306.3287048339844,0.0,1709.5867919921875,R_A5
306.5135498046875,15,STANDARD,31,1.0,0,2018-01-01,21,17,306.5135498046875,0.0,1711.537353515625,R_A5
306.6856994628906,16,STANDARD,31,1.0,0,2018-01-01,21,18,306.6856994628906,0.0,1713.35400390625,R_A5
306.7843933105469,17,STANDARD,31,1.0,0,2018-01-01,21,19,306.7843933105469,0.0,1714.3951416015625,R_A5
306.75689697265625,18,STANDARD,31,1.0,0,2018-01-01,21,27,306.75689697265625,0.0,1715.7628173828125,R_A5
306.978271484375,19,STANDARD,31,1.0,0,2018-01-01,21,28,306.978271484375,0.0,1718.098388671875,R_A5
307.5054016113281,20,STANDARD,31,1.0,0,2018-01-01,21,29,307.5054016113281,0.0,1720.43408203125,R_A5
307.7267761230469,21,STANDARD,31,1.0,0,2018-01-01,21,30,307.7267761230469,0.0,1722.7696533203125,R_A5
307.9481506347656,22,STANDARD,31,1.0,0,2018-01-01,21,31,307.9481506347656,0.0,1725.105224609375,R_A5
305.11419677734375,1,STANDARD,17,1.0,0,2018-01-01,42,1,305.11419677734375,0.0,1695.20263671875,R_A6
304.9618835449219,2,STANDARD,17,1.0,0,2018-01-01,42,2,304.9618835449219,0.0,1696.7510986328125,R_A6
305.4076843261719,3,STANDARD,17,1.0,0,2018-01-01,42,3,305.4076843261719,0.0,1698.299560546875,R_A6
305.554443359375,4,STANDARD,17,1.0,0,2018-01-01,42,4,305.554443359375,0.0,1699.84814453125,R_A6
305.7012023925781,5,STANDARD,17,1.0,0,2018-01-01,42,5,305.7012023925781,0.0,1701.3966064453125,R_A6
305.84796142578125,6,STANDARD,17,1.0,0,2018-01-01,42,6,305.84796142578125,0.0,1702.9451904296875,R_A6
305.6956481933594,7,STANDARD,17,1.0,0,2018-01-01,42,7,305.6956481933594,0.0,1704.49365234375,R_A6
305.8424072265625,8,STANDARD,17,1.0,0,2018-01-01,42,8,305.8424072265625,0.0,1706.042236328125,R_A6
306.2882080078125,9,STANDARD,17,1.0,0,2018-01-01,42,9,306.2882080078125,0.0,1707.5906982421875,R_A6
306.1291809082031,10,STANDARD,17,1.0,0,2018-01-01,42,10,306.1291809082031,0.0,1709.1392822265625,R_A6
306.3109130859375,11,STANDARD,17,1.0,0,2018-01-01,42,11,306.3109130859375,0.0,1711.055419921875,R_A6
306.52734375,12,STANDARD,17,1.0,0,2018-01-01,42,12,306.52734375,0.0,1713.3392333984375,R_A6
306.7557678222656,13,STANDARD,17,1.0,0,2018-01-01,42,13,306.7557678222656,0.0,1715.623046875,R_A6
306.9721984863281,14,STANDARD,17,1.0,0,2018-01-01,42,14,306.9721984863281,0.0,1717.9068603515625,R_A6
307.18865966796875,15,STANDARD,17,1.0,0,2018-01-01,42,15,307.18865966796875,0.0,1720.190673828125,R_A6
307.55010986328125,16,STANDARD,17,1.0,0,2018-01-01,42,16,307.55010986328125,0.0,1722.474365234375,R_A6
307.7665710449219,17,STANDARD,17,1.0,0,2018-01-01,42,17,307.7665710449219,0.0,1724.7581787109375,R_A6
307.921630859375,18,STANDARD,17,1.0,0,2018-01-01,42,18,307.921630859375,0.0,1726.394287109375,R_A6
307.8930969238281,19,STANDARD,17,1.0,0,2018-01-01,42,27,307.8930969238281,0.0,1727.7508544921875,R_A6
308.3623352050781,20,STANDARD,17,1.0,0,2018-01-01,42,28,308.3623352050781,0.0,1729.4755859375,R_A6
308.52581787109375,21,STANDARD,17,1.0,0,2018-01-01,42,29,308.52581787109375,0.0,1731.2001953125,R_A6
308.68927001953125,22,STANDARD,17,1.0,0,2018-01-01,42,30,308.68927001953125,0.0,1732.9249267578125,R_A6
308.5469665527344,23,STANDARD,17,1.0,0,2018-01-01,42,31,308.5469665527344,0.0,1734.649658203125,R_A6
298.9901123046875,1,STANDARD,22,0.05771218240261078,0,2018-03-01,30,1,298.9901123046875,0.0,1641.094970703125,R_A2
299.1103820800781,2,STANDARD,22,0.05862836167216301,0,2018-03-01,30,2,299.1103820800781,0.0,1642.8890380859375,R_A2
299.23065185546875,3,STANDARD,22,0.061412565410137177,0,2018-03-01,30,3,299.23065185546875,0.0,1644.68310546875,R_A2
299.3509216308594,4,STANDARD,22,0.06657218188047409,0,2018-03-01,30,4,299.3509216308594,0.0,1646.4771728515625,R_A2
299.47119140625,5,STANDARD,22,0.06898032873868942,0,2018-03-01,30,5,299.47119140625,0.0,1648.2713623046875,R_A2
299.6190490722656,6,STANDARD,22,0.31105512380599976,0,2018-03-01,30,6,299.6190490722656,0.0,1650.0654296875,R_A2
299.7369689941406,7,STANDARD,22,0.8977911472320557,0,2018-03-01,30,7,299.7369689941406,0.0,1651.859619140625,R_A2
299.8595275878906,8,STANDARD,22,0.8618059158325195,0,2018-03-01,30,8,299.8595275878906,0.0,1653.6536865234375,R_A2
300.01153564453125,9,STANDARD,22,0.9104817509651184,0,2018-03-01,30,9,300.01153564453125,0.0,1655.44775390625,R_A2
300.13616943359375,10,STANDARD,22,0.9083497524261475,0,2018-03-01,30,10,300.13616943359375,0.0,1657.2418212890625,R_A2
300.1850280761719,11,STANDARD,22,0.07643187046051025,0,2018-03-01,30,11,300.1850280761719,0.0,1659.1368408203125,R_A2
300.3083801269531,12,STANDARD,22,0.08111598342657089,0,2018-03-01,30,12,300.3083801269531,0.0,1661.132568359375,R_A2
300.490234375,13,STANDARD,22,0.44926324486732483,0,2018-03-01,30,13,300.490234375,0.0,1663.12841796875,R_A2
300.6266174316406,14,STANDARD,22,0.5069433450698853,0,2018-03-01,30,14,300.6266174316406,0.0,1665.1241455078125,R_A2
300.7618408203125,15,STANDARD,22,0.6860308051109314,0,2018-03-01,30,15,300.7618408203125,0.0,1667.1199951171875,R_A2
300.89599609375,16,STANDARD,22,0.971454381942749,0,2018-03-01,30,16,300.89599609375,0.0,1669.11572265625,R_A2
301.0302734375,17,STANDARD,22,0.9485101699829102,0,2018-03-01,30,17,301.0302734375,0.0,1671.111572265625,R_A2
301.1562805175781,18,STANDARD,22,0.9796217083930969,0,2018-03-01,30,18,301.1562805175781,0.0,1672.9881591796875,R_A2
301.14068603515625,19,STANDARD,22,0.9940500259399414,0,2018-03-01,29,18,301.14068603515625,0.0,1674.229736328125,R_A2
300.5341796875,20,STANDARD,22,0.6483339071273804,0,2018-03-01,29,27,300.5341796875,0.0,1676.1676025390625,R_A2
303.454833984375,21,STANDARD,22,1.0,0,2018-03-01,29,28,303.454833984375,-1.2359007758443608e-14,1677.9368896484375,R_A2
303.6200866699219,22,STANDARD,22,1.0,0,2018-03-01,29,29,303.6200866699219,-9.513555367413897e-16,1679.7061767578125,R_A2
303.7897033691406,23,STANDARD,22,1.0,0,2018-03-01,29,30,303.7897033691406,-7.058316020349428e-16,1681.4754638671875,R_A2
303.9656982421875,24,STANDARD,22,1.0,0,2018-03-01,29,31,303.9656982421875,-5.346412075192795e-17,1683.2447509765625,R_A2
280.2670593261719,1,STANDARD,31,1.0,0,2018-04-28,20,1,280.2670593261719,-5.9376730962568125e-12,1685.026611328125,R_A5
280.4829406738281,2,STANDARD,31,1.0,0,2018-04-28,20,2,280.4829406738281,-5.485517855924327e-12,1687.3070068359375,R_A5
280.6988830566406,3,STANDARD,31,1.0,0,2018-04-28,20,3,280.6988830566406,-5.2117880323943044e-12,1689.5875244140625,R_A5
280.9148254394531,4,STANDARD,31,1.0,0,2018-04-28,20,4,280.9148254394531,-5.810125817962142e-12,1691.8680419921875,R_A5
281.1307678222656,5,STANDARD,31,1.0,0,2018-04-28,20,5,281.1307678222656,-5.671871392692873e-12,1694.1485595703125,R_A5
281.3466796875,6,STANDARD,31,1.0,0,2018-04-28,20,6,281.3466796875,-5.4277173033856485e-12,1696.4290771484375,R_A5
281.8937072753906,7,STANDARD,31,1.0,0,2018-04-28,20,7,281.8937072753906,-2.4948540954493337e-13,1698.70947265625,R_A5
279.93963623046875,8,STANDARD,31,1.0,0,2018-04-28,20,11,279.93963623046875,-2.131621615331092e-11,1707.6488037109375,R_A5
