Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 16:20:39
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       283584921.11         46616847.82         34666793.53         21803014.44
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  283584921.11         46616847.82         34666793.53         21803014.44
MidReek    1                       248706537.55         45886739.77         36487579.00         22948162.51
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  248706537.55         45886739.77         36487579.00         22948162.51
LowerReek  1                       120322042.62         24769268.36         20187754.79         12696700.91
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  120322042.62         24769268.36         20187754.79         12696700.91
Totals     1                       652613501.29        117272855.94         91342127.32         57447877.86
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  652613501.29        117272855.94         91342127.32         57447877.86
