SGAS,CONIPOS,PRESSURE,DRAWDOWN,SWAT,CONIDX,CONBPRES,DEPTH,CONJPOS,WELL,WELLMODEL,CONKPOS,DATE
0.0,22,301.009033203125,0,0.05446532368659973,1,301.009033203125,1644.221435546875,30,R_A2,STANDARD,1,2018-01-01
0.0,22,301.1289978027344,0,0.05601324141025543,2,301.1289978027344,1646.0107421875,30,R_A2,STANDARD,2,2018-01-01
0.0,22,301.2489929199219,0,0.06005663052201271,3,301.2489929199219,1647.800048828125,30,R_A2,STANDARD,3,2018-01-01
0.0,22,301.3689880371094,0,0.06577170640230179,4,301.3689880371094,1649.5892333984375,30,R_A2,STANDARD,4,2018-01-01
0.0,22,301.4889831542969,0,0.06874802708625793,5,301.4889831542969,1651.3785400390625,30,R_A2,STANDARD,5,2018-01-01
0.0,22,301.6089782714844,0,0.3045002222061157,6,301.6089782714844,1653.167724609375,30,R_A2,STANDARD,6,2018-01-01
0.0,22,301.72900390625,0,0.8897199034690857,7,301.72900390625,1654.95703125,30,R_A2,STANDARD,7,2018-01-01
0.0,22,301.8489990234375,0,0.8657858371734619,8,301.8489990234375,1656.7462158203125,30,R_A2,STANDARD,8,2018-01-01
0.0,22,301.968994140625,0,0.12867438793182373,9,301.968994140625,1658.535400390625,30,R_A2,STANDARD,9,2018-01-01
0.0,22,302.0890197753906,0,0.1678851693868637,10,302.0890197753906,1660.32470703125,30,R_A2,STANDARD,10,2018-01-01
0.0,22,302.21710205078125,0,0.07381682097911835,11,302.21710205078125,1662.234375,30,R_A2,STANDARD,11,2018-01-01
0.0,22,302.353271484375,0,0.08473461121320724,12,302.353271484375,1664.264404296875,30,R_A2,STANDARD,12,2018-01-01
0.0,22,302.4894714355469,0,0.4467586874961853,13,302.4894714355469,1666.29443359375,30,R_A2,STANDARD,13,2018-01-01
0.0,22,302.6256408691406,0,0.4931579530239105,14,302.6256408691406,1668.324462890625,30,R_A2,STANDARD,14,2018-01-01
0.0,22,302.7618408203125,0,0.9249144792556763,15,302.7618408203125,1670.3544921875,30,R_A2,STANDARD,15,2018-01-01
0.0,22,302.787109375,0,0.9225577116012573,16,302.787109375,1670.731201171875,29,R_A2,STANDARD,15,2018-01-01
0.0,22,302.93316650390625,0,0.9567175507545471,17,302.93316650390625,1672.9080810546875,29,R_A2,STANDARD,16,2018-01-01
0.0,22,303.0791931152344,0,0.9324101209640503,18,303.0791931152344,1675.0850830078125,29,R_A2,STANDARD,17,2018-01-01
0.0,22,303.2016296386719,0,0.9975703954696655,19,303.2016296386719,1676.9095458984375,29,R_A2,STANDARD,18,2018-01-01
0.0,22,303.3095397949219,0,1.0,20,303.3095397949219,1678.5179443359375,29,R_A2,STANDARD,28,2018-01-01
0.0,22,303.4266052246094,0,0.8457738757133484,21,303.4266052246094,1680.262939453125,29,R_A2,STANDARD,29,2018-01-01
0.0,22,303.8638000488281,0,1.0,22,303.8638000488281,1682.0078125,29,R_A2,STANDARD,30,2018-01-01
0.0,22,304.0291748046875,0,1.0,23,304.0291748046875,1683.7528076171875,29,R_A2,STANDARD,31,2018-01-01
0.0,22,304.19451904296875,0,1.0,24,304.19451904296875,1685.4976806640625,29,R_A2,STANDARD,32,2018-01-01
0.0,28,298.69439697265625,0,0.21372433006763458,1,298.69439697265625,1609.69482421875,41,R_A3,STANDARD,1,2018-01-01
0.0,28,298.83258056640625,0,0.15181457996368408,2,298.83258056640625,1611.7564697265625,41,R_A3,STANDARD,2,2018-01-01
