ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,6764504,1021391,548210,382294,53826997
Valysar,CentralSouth,71900732,12640143,9485977,6615047,931398646
Valysar,CentralNorth,40524271,6208027,4341725,3027702,426300492
Valysar,NorthHorst,3218074,506931,251227,154316,30230541
Valysar,CentralRamp,14199545,2200942,1564952,1091320,153657824
Valysar,CentralHorst,85259519,13070561,9696684,6761983,952087271
Valysar,EastLowland,1660843,291293,137344,95777,13485408
Therys,WestLowland,2705749,446255,231644,161537,22744367
Therys,CentralSouth,16540792,3819142,2673001,1864017,262453632
Therys,CentralNorth,16304492,3320716,1981415,1381740,194548986
Therys,NorthHorst,4048283,544768,187944,115445,22615584
Therys,CentralRamp,6561977,1524494,1210203,843935,118826064
Therys,CentralHorst,28004120,6995231,5422682,3781508,532436284
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,516769,78617,46898,32705,4604809
Volon,CentralSouth,41485166,7576039,5653085,3942179,555058842
Volon,CentralNorth,4862638,558953,247454,172562,24296771
Volon,NorthHorst,3636561,640948,456993,280708,54990793
Volon,CentralRamp,13580020,2588715,2101972,1465810,206386078
Volon,CentralHorst,82161536,14346689,11450890,7985279,1124327325
Volon,EastLowland,0,0,0,0,0
