CONJPOS,CONIPOS,DEPTH,DATE,CONIDX,SWAT,WELLMODEL,SGAS,PRESSURE,DRAWDOWN,CONBPRES,WELL,CONKPOS
30,22,1639.306396484375,2018-01-01,1,0.05271521210670471,STANDARD,0.0,300.67529296875,0,300.67529296875,R_A2,1
30,22,1641.03857421875,2018-01-01,2,0.05450420454144478,STANDARD,0.0,300.79144287109375,0,300.79144287109375,R_A2,2
30,22,1642.770751953125,2018-01-01,3,0.05680936574935913,STANDARD,0.0,300.9075927734375,0,300.9075927734375,R_A2,3
30,22,1644.5030517578125,2018-01-01,4,0.05994391441345215,STANDARD,0.0,301.0237731933594,0,301.0237731933594,R_A2,4
30,22,1646.2353515625,2018-01-01,5,0.0641511082649231,STANDARD,0.0,301.1399230957031,0,301.1399230957031,R_A2,5
30,22,1647.967529296875,2018-01-01,6,0.6561000943183899,STANDARD,0.0,301.256103515625,0,301.256103515625,R_A2,6
30,22,1649.6998291015625,2018-01-01,7,0.8708593845367432,STANDARD,0.0,301.37225341796875,0,301.37225341796875,R_A2,7
30,22,1651.43212890625,2018-01-01,8,0.8510938286781311,STANDARD,0.0,301.4884338378906,0,301.4884338378906,R_A2,8
30,22,1653.164306640625,2018-01-01,9,0.6481541991233826,STANDARD,0.0,301.6046142578125,0,301.6046142578125,R_A2,9
30,22,1654.896484375,2018-01-01,10,0.8781030178070068,STANDARD,0.0,301.7207946777344,0,301.7207946777344,R_A2,10
30,22,1656.769775390625,2018-01-01,11,0.06600020080804825,STANDARD,0.0,301.846435546875,0,301.846435546875,R_A2,11
30,22,1658.783935546875,2018-01-01,12,0.06487847119569778,STANDARD,0.0,301.98150634765625,0,301.98150634765625,R_A2,12
30,22,1660.7979736328125,2018-01-01,13,0.4259985387325287,STANDARD,0.0,302.1166076660156,0,302.1166076660156,R_A2,13
30,22,1662.81201171875,2018-01-01,14,0.4717789590358734,STANDARD,0.0,302.251708984375,0,302.251708984375,R_A2,14
30,22,1664.826171875,2018-01-01,15,0.8935059905052185,STANDARD,0.0,302.3868103027344,0,302.3868103027344,R_A2,15
29,22,1669.7822265625,2018-01-01,16,0.9290943145751953,STANDARD,0.0,302.71929931640625,0,302.71929931640625,R_A2,15
29,22,1671.912353515625,2018-01-01,17,0.9373471736907959,STANDARD,0.0,302.8622131347656,0,302.8622131347656,R_A2,16
29,22,1674.0426025390625,2018-01-01,18,0.9278422594070435,STANDARD,0.0,303.005126953125,0,303.005126953125,R_A2,17
29,22,1675.906005859375,2018-01-01,19,0.9765625,STANDARD,0.0,303.130126953125,0,303.130126953125,R_A2,18
29,22,1677.5828857421875,2018-01-01,20,0.6481541991233826,STANDARD,0.0,303.2426452636719,0,303.2426452636719,R_A2,25
29,22,1679.3399658203125,2018-01-01,21,1.0,STANDARD,0.0,303.36053466796875,0,303.36053466796875,R_A2,26
29,22,1681.0970458984375,2018-01-01,22,1.0,STANDARD,0.0,303.4784240722656,0,303.4784240722656,R_A2,27
29,22,1682.8541259765625,2018-01-01,23,1.0,STANDARD,0.0,303.9440002441406,0,303.9440002441406,R_A2,28
29,22,1684.611083984375,2018-01-01,24,1.0,STANDARD,0.0,304.1105041503906,0,304.1105041503906,R_A2,29
41,28,1609.2637939453125,2018-01-01,1,0.3266471326351166,STANDARD,0.0,298.661376953125,0,298.661376953125,R_A3,1
41,28,1611.2293701171875,2018-01-01,2,0.19469821453094482,STANDARD,0.0,298.7931213378906,0,298.7931213378906,R_A3,2
41,28,1613.195068359375,2018-01-01,3,0.1488865613937378,STANDARD,0.0,298.92486572265625,0,298.92486572265625,R_A3,3
41,29,1605.39794921875,2018-01-01,4,0.16381953656673431,STANDARD,0.0,298.40228271484375,0,298.40228271484375,R_A3,3
41,29,1607.422607421875,2018-01-01,5,0.15211543440818787,STANDARD,0.0,298.5379943847656,0,298.5379943847656,R_A3,4
41,29,1609.447265625,2018-01-01,6,0.8080667853355408,STANDARD,0.0,298.6736755371094,0,298.6736755371094,R_A3,5
41,29,1611.4720458984375,2018-01-01,7,0.15849357843399048,STANDARD,0.0,298.8093566894531,0,298.8093566894531,R_A3,6
41,29,1613.4967041015625,2018-01-01,8,0.16662071645259857,STANDARD,0.0,298.945068359375,0,298.945068359375,R_A3,7
41,29,1615.5213623046875,2018-01-01,9,0.19522811472415924,STANDARD,0.0,299.0807800292969,0,299.0807800292969,R_A3,8
41,29,1617.546142578125,2018-01-01,10,0.8019087910652161,STANDARD,0.0,299.21649169921875,0,299.21649169921875,R_A3,9
41,29,1619.57080078125,2018-01-01,11,0.7955727577209473,STANDARD,0.0,299.3522033691406,0,299.3522033691406,R_A3,10
41,29,1621.701171875,2018-01-01,12,0.04709567502140999,STANDARD,0.0,299.4949951171875,0,299.4949951171875,R_A3,11
41,29,1623.93701171875,2018-01-01,13,0.05367128178477287,STANDARD,0.0,299.6448669433594,0,299.6448669433594,R_A3,12
41,29,1626.1729736328125,2018-01-01,14,0.37343496084213257,STANDARD,0.0,299.7947692871094,0,299.7947692871094,R_A3,13
41,29,1628.4088134765625,2018-01-01,15,0.180546835064888,STANDARD,0.0,299.9446716308594,0,299.9446716308594,R_A3,14
41,29,1630.644775390625,2018-01-01,16,0.601466715335846,STANDARD,0.0,300.09454345703125,0,300.09454345703125,R_A3,15
41,29,1632.37939453125,2018-01-01,17,0.8064746260643005,STANDARD,0.0,300.2108459472656,0,300.2108459472656,R_A3,16
41,29,1634.7161865234375,2018-01-01,18,0.6481541991233826,STANDARD,0.0,300.3675231933594,0,300.3675231933594,R_A3,25
41,29,1638.1561279296875,2018-01-01,19,0.044644467532634735,STANDARD,0.0,300.5981750488281,0,300.5981750488281,R_A3,26
41,29,1641.5960693359375,2018-01-01,20,0.04526951536536217,STANDARD,0.0,300.8288269042969,0,300.8288269042969,R_A3,27
41,29,1645.0360107421875,2018-01-01,21,0.2375563085079193,STANDARD,0.0,301.05950927734375,0,301.05950927734375,R_A3,28
41,29,1648.4759521484375,2018-01-01,22,0.060886137187480927,STANDARD,0.0,301.2901916503906,0,301.2901916503906,R_A3,29
52,30,1631.4649658203125,2018-01-01,1,0.08447591960430145,STANDARD,0.0,300.1495361328125,0,300.1495361328125,R_A4,1
52,31,1626.5877685546875,2018-01-01,2,0.1629580706357956,STANDARD,0.0,299.82257080078125,0,299.82257080078125,R_A4,1
52,31,1628.6806640625,2018-01-01,3,0.15966854989528656,STANDARD,0.0,299.962890625,0,299.962890625,R_A4,2
52,31,1630.7735595703125,2018-01-01,4,0.12697593867778778,STANDARD,0.0,300.1031799316406,0,300.1031799316406,R_A4,3
52,31,1632.866455078125,2018-01-01,5,0.052264757454395294,STANDARD,0.0,300.2434997558594,0,300.2434997558594,R_A4,4
52,32,1631.506591796875,2018-01-01,6,0.05090731382369995,STANDARD,0.0,300.15234375,0,300.15234375,R_A4,4
52,32,1633.41748046875,2018-01-01,7,0.14472928643226624,STANDARD,0.0,300.28045654296875,0,300.28045654296875,R_A4,5
51,32,1637.180908203125,2018-01-01,8,0.22053393721580505,STANDARD,0.0,300.53277587890625,0,300.53277587890625,R_A4,5
51,32,1635.3203125,2018-01-01,9,0.053784195333719254,STANDARD,0.0,300.40802001953125,0,300.40802001953125,R_A4,4
51,33,1635.5458984375,2018-01-01,10,0.13029929995536804,STANDARD,0.0,300.42315673828125,0,300.42315673828125,R_A4,4
51,33,1637.43017578125,2018-01-01,11,0.1000881940126419,STANDARD,0.0,300.54949951171875,0,300.54949951171875,R_A4,5
50,33,1643.368896484375,2018-01-01,12,0.06145545095205307,STANDARD,0.0,300.94769287109375,0,300.94769287109375,R_A4,5
50,34,1641.0966796875,2018-01-01,13,0.06023012101650238,STANDARD,0.0,300.79534912109375,0,300.79534912109375,R_A4,5
50,34,1639.201904296875,2018-01-01,14,0.1335141807794571,STANDARD,0.0,300.6683044433594,0,300.6683044433594,R_A4,4
50,35,1639.2225341796875,2018-01-01,15,0.14232827723026276,STANDARD,0.0,300.669677734375,0,300.669677734375,R_A4,4
50,35,1637.4061279296875,2018-01-01,16,0.22391733527183533,STANDARD,0.0,300.5478820800781,0,300.5478820800781,R_A4,3
49,35,1642.934326171875,2018-01-01,17,0.23417817056179047,STANDARD,0.0,300.9185791015625,0,300.9185791015625,R_A4,3
49,36,1642.4315185546875,2018-01-01,18,0.05685575306415558,STANDARD,0.0,300.8848571777344,0,300.8848571777344,R_A4,28
48,36,1642.9927978515625,2018-01-01,19,0.05276081711053848,STANDARD,0.0,300.9224853515625,0,300.9224853515625,R_A4,28
48,37,1647.7266845703125,2018-01-01,20,0.2844398021697998,STANDARD,0.0,301.23992919921875,0,301.23992919921875,R_A4,28
48,38,1652.07373046875,2018-01-01,21,0.18929429352283478,STANDARD,0.0,301.5314636230469,0,301.5314636230469,R_A4,28
47,38,1658.301513671875,2018-01-01,22,0.8262951970100403,STANDARD,0.0,301.94915771484375,0,301.94915771484375,R_A4,28
20,31,1685.8568115234375,2018-01-01,1,1.0,STANDARD,0.0,303.9227600097656,0,303.9227600097656,R_A5,1
20,31,1687.9072265625,2018-01-01,2,1.0,STANDARD,0.0,304.1170654296875,0,304.1170654296875,R_A5,2
20,31,1689.957763671875,2018-01-01,3,1.0,STANDARD,0.0,304.3113708496094,0,304.3113708496094,R_A5,3
20,31,1692.0081787109375,2018-01-01,4,1.0,STANDARD,0.0,304.50567626953125,0,304.50567626953125,R_A5,4
20,31,1694.0587158203125,2018-01-01,5,1.0,STANDARD,0.0,304.70001220703125,0,304.70001220703125,R_A5,5
