SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
0.0,1,R_A2,STANDARD,300.7362365722656,30,0.06013907492160797,22,1642.8006591796875,300.7362365722656,1,0,2018-01-01
0.0,2,R_A2,STANDARD,300.8629150390625,30,0.06145182624459267,22,1644.689697265625,300.8629150390625,2,0,2018-01-01
0.0,3,R_A2,STANDARD,300.9895935058594,30,0.06456699967384338,22,1646.578857421875,300.9895935058594,3,0,2018-01-01
0.0,4,R_A2,STANDARD,301.11627197265625,30,0.07284373790025711,22,1648.4678955078125,301.11627197265625,4,0,2018-01-01
0.0,5,R_A2,STANDARD,301.2429504394531,30,0.07535970956087112,22,1650.35693359375,301.2429504394531,5,0,2018-01-01
0.0,6,R_A2,STANDARD,301.36962890625,30,0.32307976484298706,22,1652.2459716796875,301.36962890625,6,0,2018-01-01
0.0,7,R_A2,STANDARD,301.496337890625,30,0.9134137034416199,22,1654.135009765625,301.496337890625,7,0,2018-01-01
0.0,8,R_A2,STANDARD,301.6230163574219,30,0.9127742052078247,22,1656.024169921875,301.6230163574219,8,0,2018-01-01
0.0,9,R_A2,STANDARD,301.7497253417969,30,0.9360108375549316,22,1657.913330078125,301.7497253417969,9,0,2018-01-01
0.0,10,R_A2,STANDARD,301.8764343261719,30,0.9437417387962341,22,1659.8023681640625,301.8764343261719,10,0,2018-01-01
0.0,11,R_A2,STANDARD,302.00634765625,30,0.08867617696523666,22,1661.7392578125,302.00634765625,11,0,2018-01-01
0.0,12,R_A2,STANDARD,302.13946533203125,30,0.09132608771324158,22,1663.723876953125,302.13946533203125,12,0,2018-01-01
0.0,13,R_A2,STANDARD,302.2725830078125,30,0.5005199313163757,22,1665.7083740234375,302.2725830078125,13,0,2018-01-01
0.0,14,R_A2,STANDARD,302.40570068359375,30,0.5760632753372192,22,1667.6929931640625,302.40570068359375,14,0,2018-01-01
0.0,15,R_A2,STANDARD,302.5388488769531,30,0.7888913750648499,22,1669.6776123046875,302.5388488769531,15,0,2018-01-01
0.0,16,R_A2,STANDARD,302.6719665527344,30,1.0,22,1671.6622314453125,302.6719665527344,16,0,2018-01-01
0.0,17,R_A2,STANDARD,302.80511474609375,30,0.9981245398521423,22,1673.6468505859375,302.80511474609375,17,0,2018-01-01
0.0,18,R_A2,STANDARD,302.4188537597656,29,0.9546983242034912,22,1667.8887939453125,302.4188537597656,17,0,2018-01-01
0.0,19,R_A2,STANDARD,302.557373046875,29,0.9544504880905151,22,1669.9537353515625,302.557373046875,18,0,2018-01-01
0.0,20,R_A2,STANDARD,302.65216064453125,29,0.9889630675315857,22,1671.3668212890625,302.65216064453125,19,0,2018-01-01
0.0,21,R_A2,STANDARD,302.7404479980469,29,1.0,22,1672.6827392578125,302.7404479980469,27,0,2018-01-01
0.0,22,R_A2,STANDARD,302.8659362792969,29,1.0,22,1674.55322265625,302.8659362792969,28,0,2018-01-01
0.0,23,R_A2,STANDARD,303.33465576171875,29,1.0,22,1676.423828125,303.33465576171875,29,0,2018-01-01
0.0,24,R_A2,STANDARD,303.5119323730469,29,1.0,22,1678.29443359375,303.5119323730469,30,0,2018-01-01
0.0,25,R_A2,STANDARD,303.6891784667969,29,1.0,22,1680.1650390625,303.6891784667969,31,0,2018-01-01
0.0,1,R_A3,STANDARD,298.681884765625,41,0.23604314029216766,28,1612.1551513671875,298.681884765625,1,0,2018-01-01
0.0,2,R_A3,STANDARD,298.81396484375,41,0.11823459714651108,28,1614.1259765625,298.81396484375,2,0,2018-01-01
0.0,3,R_A3,STANDARD,297.950927734375,41,0.16864226758480072,29,1601.24755859375,297.950927734375,2,0,2018-01-01
0.0,4,R_A3,STANDARD,298.0929260253906,41,0.14678160846233368,29,1603.3668212890625,298.0929260253906,3,0,2018-01-01
0.0,5,R_A3,STANDARD,298.2349548339844,41,0.2794128954410553,29,1605.4859619140625,298.2349548339844,4,0,2018-01-01
0.0,6,R_A3,STANDARD,298.376953125,41,0.8116532564163208,29,1607.605224609375,298.376953125,5,0,2018-01-01
0.0,7,R_A3,STANDARD,298.51898193359375,41,0.23677168786525726,29,1609.724365234375,298.51898193359375,6,0,2018-01-01
0.0,8,R_A3,STANDARD,298.6610107421875,41,0.1995452493429184,29,1611.8436279296875,298.6610107421875,7,0,2018-01-01
0.0,9,R_A3,STANDARD,298.80303955078125,41,0.2018834352493286,29,1613.962890625,298.80303955078125,8,0,2018-01-01
0.0,10,R_A3,STANDARD,298.945068359375,41,0.804750382900238,29,1616.08203125,298.945068359375,9,0,2018-01-01
0.0,11,R_A3,STANDARD,299.08709716796875,41,0.6481541991233826,29,1618.201171875,299.08709716796875,10,0,2018-01-01
0.0,12,R_A3,STANDARD,299.2312316894531,41,0.04971396178007126,29,1620.351318359375,299.2312316894531,11,0,2018-01-01
0.0,13,R_A3,STANDARD,299.3774108886719,41,0.055849842727184296,29,1622.5322265625,299.3774108886719,12,0,2018-01-01
0.0,14,R_A3,STANDARD,299.5235900878906,41,0.37770965695381165,29,1624.713134765625,299.5235900878906,13,0,2018-01-01
0.0,15,R_A3,STANDARD,299.8160095214844,41,0.601466715335846,29,1629.0750732421875,299.8160095214844,15,0,2018-01-01
0.0,16,R_A3,STANDARD,299.9434509277344,41,0.8135261535644531,29,1630.9761962890625,299.9434509277344,16,0,2018-01-01
0.0,17,R_A3,STANDARD,300.0103454589844,41,0.7887619137763977,29,1631.97412109375,300.0103454589844,17,0,2018-01-01
0.0,18,R_A3,STANDARD,300.1440124511719,41,0.16952034831047058,29,1633.9676513671875,300.1440124511719,27,0,2018-01-01
0.0,19,R_A3,STANDARD,300.38623046875,41,0.047200754284858704,29,1637.5804443359375,300.38623046875,28,0,2018-01-01
0.0,20,R_A3,STANDARD,300.6284484863281,41,0.08559511601924896,29,1641.193115234375,300.6284484863281,29,0,2018-01-01
0.0,21,R_A3,STANDARD,300.8706970214844,41,0.6813639998435974,29,1644.805908203125,300.8706970214844,30,0,2018-01-01
0.0,22,R_A3,STANDARD,301.11297607421875,41,0.06767287105321884,29,1648.4188232421875,301.11297607421875,31,0,2018-01-01
0.0,1,R_A4,STANDARD,299.9598083496094,52,0.05414796620607376,30,1631.2203369140625,299.9598083496094,1,0,2018-01-01
0.0,2,R_A4,STANDARD,299.5649719238281,52,0.04948973283171654,31,1625.33056640625,299.5649719238281,1,0,2018-01-01
0.0,3,R_A4,STANDARD,299.69879150390625,52,0.05155450850725174,31,1627.326904296875,299.69879150390625,2,0,2018-01-01
0.0,4,R_A4,STANDARD,299.8326416015625,52,0.05184246972203255,31,1629.3232421875,299.8326416015625,3,0,2018-01-01
0.0,5,R_A4,STANDARD,299.9664611816406,52,0.05362328886985779,31,1631.3194580078125,299.9664611816406,4,0,2018-01-01
0.0,6,R_A4,STANDARD,300.1003112792969,52,0.05625724419951439,31,1633.3157958984375,300.1003112792969,5,0,2018-01-01
0.0,7,R_A4,STANDARD,300.234130859375,52,0.6481541991233826,31,1635.3121337890625,300.234130859375,6,0,2018-01-01
0.0,8,R_A4,STANDARD,299.9818115234375,52,0.14201384782791138,32,1631.548583984375,299.9818115234375,6,0,2018-01-01
0.0,9,R_A4,STANDARD,300.43206787109375,51,0.06025038659572601,32,1638.26416015625,300.43206787109375,6,0,2018-01-01
0.0,10,R_A4,STANDARD,300.315673828125,51,0.060545943677425385,32,1636.5283203125,300.315673828125,5,0,2018-01-01
0.0,11,R_A4,STANDARD,300.3322448730469,51,0.06001155450940132,33,1636.775146484375,300.3322448730469,5,0,2018-01-01
0.0,12,R_A4,STANDARD,300.2143859863281,51,0.059502605348825455,33,1635.0177001953125,300.2143859863281,4,0,2018-01-01
0.0,13,R_A4,STANDARD,300.7764892578125,50,0.06892023235559464,33,1643.4010009765625,300.7764892578125,4,0,2018-01-01
0.0,14,R_A4,STANDARD,300.60235595703125,50,0.08721724152565002,34,1640.803955078125,300.60235595703125,4,0,2018-01-01
0.0,15,R_A4,STANDARD,300.4794006347656,50,0.06324007362127304,34,1638.9700927734375,300.4794006347656,3,0,2018-01-01
0.0,16,R_A4,STANDARD,300.4516296386719,50,0.09809216111898422,35,1638.555908203125,300.4516296386719,4,0,2018-01-01
0.0,17,R_A4,STANDARD,300.60601806640625,49,0.062117550522089005,35,1640.858642578125,300.60601806640625,31,0,2018-01-01
0.0,18,R_A4,STANDARD,300.9349060058594,49,0.06386946141719818,36,1645.763427734375,300.9349060058594,31,0,2018-01-01
0.0,19,R_A4,STANDARD,300.5328369140625,49,0.22856631875038147,36,1639.76708984375,300.5328369140625,30,0,2018-01-01
0.0,20,R_A4,STANDARD,300.4946594238281,48,0.05508521944284439,36,1639.1976318359375,300.4946594238281,30,0,2018-01-01
0.0,21,R_A4,STANDARD,301.02886962890625,48,0.3391519784927368,37,1647.16455078125,301.02886962890625,30,0,2018-01-01
0.0,22,R_A4,STANDARD,301.45355224609375,48,0.1972082406282425,38,1653.497314453125,301.45355224609375,30,0,2018-01-01
0.0,23,R_A4,STANDARD,301.07037353515625,48,0.09197449684143066,38,1647.78369140625,301.07037353515625,29,0,2018-01-01
