SGAS,WELLMODEL,DRAWDOWN,CONJPOS,CONKPOS,CONIPOS,DEPTH,PRESSURE,CONIDX,SWAT,WELL,DATE,CONBPRES
0.0,STANDARD,0,30,1,22,1638.87744140625,300.6553649902344,1,0.05297933891415596,R_A2,2018-01-01,300.6553649902344
0.0,STANDARD,0,30,2,22,1640.617431640625,300.7720642089844,2,0.05337101221084595,R_A2,2018-01-01,300.7720642089844
0.0,STANDARD,0,30,3,22,1642.3575439453125,300.88873291015625,3,0.05671167001128197,R_A2,2018-01-01,300.88873291015625
0.0,STANDARD,0,30,4,22,1644.0975341796875,301.0054016113281,4,0.06042466685175896,R_A2,2018-01-01,301.0054016113281
0.0,STANDARD,0,30,5,22,1645.837646484375,301.1221008300781,5,0.06334851682186127,R_A2,2018-01-01,301.1221008300781
0.0,STANDARD,0,30,6,22,1647.57763671875,301.2388000488281,6,0.6481541991233826,R_A2,2018-01-01,301.2388000488281
0.0,STANDARD,0,30,7,22,1649.317626953125,301.35546875,7,0.8620258569717407,R_A2,2018-01-01,301.35546875
0.0,STANDARD,0,30,8,22,1651.0577392578125,301.47216796875,8,0.8535417318344116,R_A2,2018-01-01,301.47216796875
0.0,STANDARD,0,30,9,22,1652.7977294921875,301.5888671875,9,0.11082073301076889,R_A2,2018-01-01,301.5888671875
0.0,STANDARD,0,30,10,22,1654.537841796875,301.70556640625,10,0.15738147497177124,R_A2,2018-01-01,301.70556640625
0.0,STANDARD,0,30,11,22,1656.410400390625,301.8311767578125,11,0.06499238312244415,R_A2,2018-01-01,301.8311767578125
0.0,STANDARD,0,30,12,22,1658.41552734375,301.9656677246094,12,0.06468044221401215,R_A2,2018-01-01,301.9656677246094
0.0,STANDARD,0,30,13,22,1660.4207763671875,302.10015869140625,13,0.4195793867111206,R_A2,2018-01-01,302.10015869140625
0.0,STANDARD,0,30,14,22,1662.4259033203125,302.2346496582031,14,0.46413877606391907,R_A2,2018-01-01,302.2346496582031
0.0,STANDARD,0,30,15,22,1664.4310302734375,302.3691711425781,15,0.8883993029594421,R_A2,2018-01-01,302.3691711425781
0.0,STANDARD,0,30,16,22,1666.436279296875,302.503662109375,16,0.8967365026473999,R_A2,2018-01-01,302.503662109375
0.0,STANDARD,0,29,16,22,1671.6944580078125,302.8564453125,17,0.9410547018051147,R_A2,2018-01-01,302.8564453125
0.0,STANDARD,0,29,17,22,1673.8543701171875,303.0013427734375,18,0.9248204231262207,R_A2,2018-01-01,303.0013427734375
