CONIDX,WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONJPOS,SWAT,SGAS,DRAWDOWN,CONBPRES,WELLMODEL,DATE
1,R_A2,1641.36279296875,22,300.8190002441406,1,30,0.05262993648648262,0.0,0,300.8190002441406,STANDARD,2018-01-01
2,R_A2,1643.1416015625,22,300.9382629394531,2,30,0.05490480363368988,0.0,0,300.9382629394531,STANDARD,2018-01-01
3,R_A2,1644.92041015625,22,301.05755615234375,3,30,0.057513926178216934,0.0,0,301.05755615234375,STANDARD,2018-01-01
4,R_A2,1646.69921875,22,301.1768493652344,4,30,0.06242664158344269,0.0,0,301.1768493652344,STANDARD,2018-01-01
5,R_A2,1648.47802734375,22,301.2961120605469,5,30,0.10580115765333176,0.0,0,301.2961120605469,STANDARD,2018-01-01
6,R_A2,1650.2567138671875,22,301.4154052734375,6,30,0.6481541991233826,0.0,0,301.4154052734375,STANDARD,2018-01-01
7,R_A2,1652.0355224609375,22,301.5346984863281,7,30,0.8716282844543457,0.0,0,301.5346984863281,STANDARD,2018-01-01
8,R_A2,1653.8143310546875,22,301.6540222167969,8,30,0.8549820184707642,0.0,0,301.6540222167969,STANDARD,2018-01-01
9,R_A2,1655.593017578125,22,301.7733154296875,9,30,0.8687765002250671,0.0,0,301.7733154296875,STANDARD,2018-01-01
10,R_A2,1657.371826171875,22,301.8926086425781,10,30,0.8826160430908203,0.0,0,301.8926086425781,STANDARD,2018-01-01
11,R_A2,1659.2908935546875,22,302.0213317871094,11,30,0.06835634261369705,0.0,0,302.0213317871094,STANDARD,2018-01-01
12,R_A2,1661.3502197265625,22,302.1594543457031,12,30,0.12629027664661407,0.0,0,302.1594543457031,STANDARD,2018-01-01
13,R_A2,1663.4095458984375,22,302.297607421875,13,30,0.4346848130226135,0.0,0,302.297607421875,STANDARD,2018-01-01
14,R_A2,1665.4688720703125,22,302.43572998046875,14,30,0.47681924700737,0.0,0,302.43572998046875,STANDARD,2018-01-01
15,R_A2,1667.5281982421875,22,302.5738830566406,15,30,0.9055739045143127,0.0,0,302.5738830566406,STANDARD,2018-01-01
16,R_A2,1669.58740234375,22,302.7120361328125,16,30,0.9309539794921875,0.0,0,302.7120361328125,STANDARD,2018-01-01
17,R_A2,1670.0457763671875,22,302.7427978515625,16,29,0.9184655547142029,0.0,0,302.7427978515625,STANDARD,2018-01-01
18,R_A2,1672.1796875,22,302.8859558105469,17,29,0.8956784009933472,0.0,0,302.8859558105469,STANDARD,2018-01-01
19,R_A2,1674.005859375,22,303.0084533691406,18,29,0.9557949900627136,0.0,0,303.0084533691406,STANDARD,2018-01-01
20,R_A2,1675.6646728515625,22,303.1197509765625,25,29,0.6481541991233826,0.0,0,303.1197509765625,STANDARD,2018-01-01
21,R_A2,1677.463623046875,22,303.2404479980469,26,29,1.0,0.0,0,303.2404479980469,STANDARD,2018-01-01
22,R_A2,1679.2626953125,22,303.3611755371094,27,29,1.0,0.0,0,303.3611755371094,STANDARD,2018-01-01
23,R_A2,1681.0616455078125,22,303.48187255859375,28,29,1.0,0.0,0,303.48187255859375,STANDARD,2018-01-01
24,R_A2,1682.8607177734375,22,303.94464111328125,29,29,1.0,0.0,0,303.94464111328125,STANDARD,2018-01-01
1,R_A3,1611.8756103515625,28,298.84222412109375,1,41,0.6481541991233826,0.0,0,298.84222412109375,STANDARD,2018-01-01
2,R_A3,1613.92822265625,28,298.97979736328125,2,41,0.1942766159772873,0.0,0,298.97979736328125,STANDARD,2018-01-01
3,R_A3,1615.98095703125,28,299.11737060546875,3,41,0.1701008677482605,0.0,0,299.11737060546875,STANDARD,2018-01-01
4,R_A3,1618.0335693359375,28,299.2549743652344,4,41,0.17921920120716095,0.0,0,299.2549743652344,STANDARD,2018-01-01
5,R_A3,1620.086181640625,28,299.3925476074219,5,41,0.6821915507316589,0.0,0,299.3925476074219,STANDARD,2018-01-01
6,R_A3,1622.138916015625,28,299.5301513671875,6,41,0.6481541991233826,0.0,0,299.5301513671875,STANDARD,2018-01-01
