CONJPOS,SWAT,DRAWDOWN,WELLMODEL,DEPTH,WELL,CONIDX,CONKPOS,CONBPRES,DATE,SGAS,PRESSURE,CONIPOS
30,0.05679164081811905,0,STANDARD,1639.41943359375,R_A2,1,1,300.4998474121094,2018-01-01,0.0,300.4998474121094,22
30,0.0589715875685215,0,STANDARD,1641.328369140625,R_A2,2,2,300.6278381347656,2018-01-01,0.0,300.6278381347656,22
30,0.06274361163377762,0,STANDARD,1643.2373046875,R_A2,3,3,300.7558288574219,2018-01-01,0.0,300.7558288574219,22
30,0.06913746148347855,0,STANDARD,1645.1463623046875,R_A2,4,4,300.88385009765625,2018-01-01,0.0,300.88385009765625,22
30,0.07257507741451263,0,STANDARD,1647.055419921875,R_A2,5,5,301.0118713378906,2018-01-01,0.0,301.0118713378906,22
30,0.3111213743686676,0,STANDARD,1648.96435546875,R_A2,6,6,301.139892578125,2018-01-01,0.0,301.139892578125,22
30,0.9023708701133728,0,STANDARD,1650.8734130859375,R_A2,7,7,301.2679138183594,2018-01-01,0.0,301.2679138183594,22
30,0.8771835565567017,0,STANDARD,1652.782470703125,R_A2,8,8,301.39593505859375,2018-01-01,0.0,301.39593505859375,22
30,0.9138813018798828,0,STANDARD,1654.69140625,R_A2,9,9,301.5239562988281,2018-01-01,0.0,301.5239562988281,22
30,0.9235516786575317,0,STANDARD,1656.6004638671875,R_A2,10,10,301.6519775390625,2018-01-01,0.0,301.6519775390625,22
30,0.0797986164689064,0,STANDARD,1658.63232421875,R_A2,11,11,301.78826904296875,2018-01-01,0.0,301.78826904296875,22
30,0.09082044661045074,0,STANDARD,1660.787109375,R_A2,12,12,301.93280029296875,2018-01-01,0.0,301.93280029296875,22
30,0.48539456725120544,0,STANDARD,1662.94189453125,R_A2,13,13,302.07733154296875,2018-01-01,0.0,302.07733154296875,22
30,0.5428425669670105,0,STANDARD,1665.0966796875,R_A2,14,14,302.22186279296875,2018-01-01,0.0,302.22186279296875,22
30,0.7222771644592285,0,STANDARD,1667.25146484375,R_A2,15,15,302.36639404296875,2018-01-01,0.0,302.36639404296875,22
30,0.9748152494430542,0,STANDARD,1669.40625,R_A2,16,16,302.5109558105469,2018-01-01,0.0,302.5109558105469,22
30,0.9679873585700989,0,STANDARD,1671.56103515625,R_A2,17,17,302.655517578125,2018-01-01,0.0,302.655517578125,22
30,0.9893974661827087,0,STANDARD,1673.5869140625,R_A2,18,18,302.7914123535156,2018-01-01,0.0,302.7914123535156,22
30,1.0,0,STANDARD,1675.5753173828125,R_A2,19,27,303.2542724609375,2018-01-01,0.0,303.2542724609375,22
30,1.0,0,STANDARD,1677.36083984375,R_A2,20,28,303.4234619140625,2018-01-01,0.0,303.4234619140625,22
29,0.838965117931366,0,STANDARD,1674.4620361328125,R_A2,21,28,302.8501281738281,2018-01-01,0.0,302.8501281738281,22
29,1.0,0,STANDARD,1676.4622802734375,R_A2,22,29,303.33831787109375,2018-01-01,0.0,303.33831787109375,22
29,1.0,0,STANDARD,1678.4625244140625,R_A2,23,30,303.5278625488281,2018-01-01,0.0,303.5278625488281,22
29,1.0,0,STANDARD,1680.4627685546875,R_A2,24,31,303.7174072265625,2018-01-01,0.0,303.7174072265625,22
41,0.6481541991233826,0,STANDARD,1608.8272705078125,R_A3,1,1,298.4491882324219,2018-01-01,0.0,298.4491882324219,28
41,0.19753895699977875,0,STANDARD,1610.8731689453125,R_A3,2,2,298.5863037109375,2018-01-01,0.0,298.5863037109375,28
41,0.19785718619823456,0,STANDARD,1612.9190673828125,R_A3,3,3,298.723388671875,2018-01-01,0.0,298.723388671875,28
41,0.3803025782108307,0,STANDARD,1614.96484375,R_A3,4,4,298.8605041503906,2018-01-01,0.0,298.8605041503906,28
41,0.8358942270278931,0,STANDARD,1617.0107421875,R_A3,5,5,298.9976501464844,2018-01-01,0.0,298.9976501464844,28
41,0.6481541991233826,0,STANDARD,1619.0565185546875,R_A3,6,6,299.134765625,2018-01-01,0.0,299.134765625,28
41,0.6693799495697021,0,STANDARD,1609.557861328125,R_A3,7,6,298.4981384277344,2018-01-01,0.0,298.4981384277344,29
41,0.24175091087818146,0,STANDARD,1611.5655517578125,R_A3,8,7,298.6326904296875,2018-01-01,0.0,298.6326904296875,29
41,0.20054891705513,0,STANDARD,1613.5732421875,R_A3,9,8,298.7672424316406,2018-01-01,0.0,298.7672424316406,29
41,0.40567225217819214,0,STANDARD,1615.580810546875,R_A3,10,9,298.90179443359375,2018-01-01,0.0,298.90179443359375,29
41,0.8097451329231262,0,STANDARD,1617.5885009765625,R_A3,11,10,299.0363464355469,2018-01-01,0.0,299.0363464355469,29
41,0.04981904849410057,0,STANDARD,1619.7696533203125,R_A3,12,11,299.18255615234375,2018-01-01,0.0,299.18255615234375,29
41,0.059886857867240906,0,STANDARD,1622.124267578125,R_A3,13,12,299.34039306640625,2018-01-01,0.0,299.34039306640625,29
41,0.37638869881629944,0,STANDARD,1624.47900390625,R_A3,14,13,299.49822998046875,2018-01-01,0.0,299.49822998046875,29
41,0.3742179572582245,0,STANDARD,1626.833740234375,R_A3,15,14,299.65606689453125,2018-01-01,0.0,299.65606689453125,29
41,0.5037000775337219,0,STANDARD,1629.160400390625,R_A3,16,15,299.8120422363281,2018-01-01,0.0,299.8120422363281,29
41,0.8116270303726196,0,STANDARD,1630.9991455078125,R_A3,17,16,299.935302734375,2018-01-01,0.0,299.935302734375,29
41,0.6481541991233826,0,STANDARD,1633.517333984375,R_A3,18,27,300.1041259765625,2018-01-01,0.0,300.1041259765625,29
41,0.047520026564598083,0,STANDARD,1637.175048828125,R_A3,19,28,300.349365234375,2018-01-01,0.0,300.349365234375,29
41,0.09060569107532501,0,STANDARD,1640.832763671875,R_A3,20,29,300.5946044921875,2018-01-01,0.0,300.5946044921875,29
41,1.0,0,STANDARD,1644.490478515625,R_A3,21,30,300.8398742675781,2018-01-01,0.0,300.8398742675781,29
41,0.06733882427215576,0,STANDARD,1648.148193359375,R_A3,22,31,301.08514404296875,2018-01-01,0.0,301.08514404296875,29
52,0.05719485133886337,0,STANDARD,1633.8726806640625,R_A4,1,1,300.1279602050781,2018-01-01,0.0,300.1279602050781,30
52,0.052564892917871475,0,STANDARD,1626.7254638671875,R_A4,2,1,299.6488037109375,2018-01-01,0.0,299.6488037109375,31
52,0.05358939245343208,0,STANDARD,1628.7906494140625,R_A4,3,2,299.7872619628906,2018-01-01,0.0,299.7872619628906,31
