CONBPRES,CONJPOS,CONKPOS,CONIPOS,DEPTH,PRESSURE,DRAWDOWN,SWAT,WELLMODEL,SGAS,WELL,DATE,CONIDX
300.6733093261719,30,1,22,1641.094970703125,300.6733093261719,0,0.05682307109236717,STANDARD,0.0,R_A2,2018-01-01,1
300.7936096191406,30,2,22,1642.8890380859375,300.7936096191406,0,0.059868622571229935,STANDARD,0.0,R_A2,2018-01-01,2
300.9139099121094,30,3,22,1644.68310546875,300.9139099121094,0,0.0626271441578865,STANDARD,0.0,R_A2,2018-01-01,3
301.0342102050781,30,4,22,1646.4771728515625,301.0342102050781,0,0.06645650416612625,STANDARD,0.0,R_A2,2018-01-01,4
301.1545104980469,30,5,22,1648.2713623046875,301.1545104980469,0,0.07079914212226868,STANDARD,0.0,R_A2,2018-01-01,5
301.27484130859375,30,6,22,1650.0654296875,301.27484130859375,0,0.23910002410411835,STANDARD,0.0,R_A2,2018-01-01,6
301.3951721191406,30,7,22,1651.859619140625,301.3951721191406,0,0.8951376676559448,STANDARD,0.0,R_A2,2018-01-01,7
301.5154724121094,30,8,22,1653.6536865234375,301.5154724121094,0,0.8685147166252136,STANDARD,0.0,R_A2,2018-01-01,8
301.63580322265625,30,9,22,1655.44775390625,301.63580322265625,0,0.894565999507904,STANDARD,0.0,R_A2,2018-01-01,9
301.7561340332031,30,10,22,1657.2418212890625,301.7561340332031,0,0.9062598943710327,STANDARD,0.0,R_A2,2018-01-01,10
301.88323974609375,30,11,22,1659.1368408203125,301.88323974609375,0,0.07765933871269226,STANDARD,0.0,R_A2,2018-01-01,11
302.01708984375,30,12,22,1661.132568359375,302.01708984375,0,0.08095082640647888,STANDARD,0.0,R_A2,2018-01-01,12
302.1509704589844,30,13,22,1663.12841796875,302.1509704589844,0,0.4631236791610718,STANDARD,0.0,R_A2,2018-01-01,13
302.28485107421875,30,14,22,1665.1241455078125,302.28485107421875,0,0.5077258348464966,STANDARD,0.0,R_A2,2018-01-01,14
302.4187316894531,30,15,22,1667.1199951171875,302.4187316894531,0,0.6800851821899414,STANDARD,0.0,R_A2,2018-01-01,15
302.5526123046875,30,16,22,1669.11572265625,302.5526123046875,0,0.9764990210533142,STANDARD,0.0,R_A2,2018-01-01,16
302.6864929199219,30,17,22,1671.111572265625,302.6864929199219,0,0.9521156549453735,STANDARD,0.0,R_A2,2018-01-01,17
302.8123779296875,30,18,22,1672.9881591796875,302.8123779296875,0,0.9803889393806458,STANDARD,0.0,R_A2,2018-01-01,18
302.89569091796875,29,18,22,1674.229736328125,302.89569091796875,0,0.9921049475669861,STANDARD,0.0,R_A2,2018-01-01,19
303.02569580078125,29,27,22,1676.1676025390625,303.02569580078125,0,0.4429566264152527,STANDARD,0.0,R_A2,2018-01-01,20
303.47802734375,29,28,22,1677.9368896484375,303.47802734375,0,1.0,STANDARD,0.0,R_A2,2018-01-01,21
303.64569091796875,29,29,22,1679.7061767578125,303.64569091796875,0,1.0,STANDARD,0.0,R_A2,2018-01-01,22
303.8133544921875,29,30,22,1681.4754638671875,303.8133544921875,0,1.0,STANDARD,0.0,R_A2,2018-01-01,23
303.98101806640625,29,31,22,1683.2447509765625,303.98101806640625,0,1.0,STANDARD,0.0,R_A2,2018-01-01,24
298.53814697265625,41,1,28,1609.243408203125,298.53814697265625,0,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,1
298.676513671875,41,2,28,1611.3077392578125,298.676513671875,0,0.1953458935022354,STANDARD,0.0,R_A3,2018-01-01,2
298.8148498535156,41,3,28,1613.3720703125,298.8148498535156,0,0.19456657767295837,STANDARD,0.0,R_A3,2018-01-01,3
298.9532165527344,41,4,28,1615.4365234375,298.9532165527344,0,0.3696915805339813,STANDARD,0.0,R_A3,2018-01-01,4
299.0915832519531,41,5,28,1617.5008544921875,299.0915832519531,0,0.834352970123291,STANDARD,0.0,R_A3,2018-01-01,5
299.2299499511719,41,6,28,1619.565185546875,299.2299499511719,0,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,6
298.54638671875,41,6,29,1609.3663330078125,298.54638671875,0,0.6481541991233826,STANDARD,0.0,R_A3,2018-01-01,7
298.68377685546875,41,7,29,1611.4163818359375,298.68377685546875,0,0.1984773725271225,STANDARD,0.0,R_A3,2018-01-01,8
298.8211669921875,41,8,29,1613.46630859375,298.8211669921875,0,0.1977151483297348,STANDARD,0.0,R_A3,2018-01-01,9
298.95855712890625,41,9,29,1615.516357421875,298.95855712890625,0,0.800819993019104,STANDARD,0.0,R_A3,2018-01-01,10
299.095947265625,41,10,29,1617.5662841796875,299.095947265625,0,0.7992424964904785,STANDARD,0.0,R_A3,2018-01-01,11
299.24237060546875,41,11,29,1619.750732421875,299.24237060546875,0,0.05049673467874527,STANDARD,0.0,R_A3,2018-01-01,12
299.3978271484375,41,12,29,1622.0697021484375,299.3978271484375,0,0.05441533401608467,STANDARD,0.0,R_A3,2018-01-01,13
299.5532531738281,41,13,29,1624.388671875,299.5532531738281,0,0.3730502128601074,STANDARD,0.0,R_A3,2018-01-01,14
299.7087097167969,41,14,29,1626.707763671875,299.7087097167969,0,0.4005099833011627,STANDARD,0.0,R_A3,2018-01-01,15
299.8641662597656,41,15,29,1629.026611328125,299.8641662597656,0,0.4975426495075226,STANDARD,0.0,R_A3,2018-01-01,16
299.992919921875,41,16,29,1630.9468994140625,299.992919921875,0,0.8084018230438232,STANDARD,0.0,R_A3,2018-01-01,17
300.16583251953125,41,27,29,1633.5262451171875,300.16583251953125,0,1.0,STANDARD,0.0,R_A3,2018-01-01,18
300.40966796875,41,28,29,1637.1630859375,300.40966796875,0,0.04364456981420517,STANDARD,0.0,R_A3,2018-01-01,19
300.6535339355469,41,29,29,1640.8001708984375,300.6535339355469,0,0.05188838392496109,STANDARD,0.0,R_A3,2018-01-01,20
300.89739990234375,41,30,29,1644.4371337890625,300.89739990234375,0,1.0,STANDARD,0.0,R_A3,2018-01-01,21
301.14129638671875,41,31,29,1648.0740966796875,301.14129638671875,0,0.0641801506280899,STANDARD,0.0,R_A3,2018-01-01,22
300.009033203125,52,1,30,1631.1873779296875,300.009033203125,0,0.05036125332117081,STANDARD,0.0,R_A4,2018-01-01,1
299.7571105957031,52,1,31,1627.4293212890625,299.7571105957031,0,0.08347222208976746,STANDARD,0.0,R_A4,2018-01-01,2
299.89520263671875,52,2,31,1629.4896240234375,299.89520263671875,0,0.05255189538002014,STANDARD,0.0,R_A4,2018-01-01,3
300.0333251953125,52,3,31,1631.5498046875,300.0333251953125,0,0.05367308482527733,STANDARD,0.0,R_A4,2018-01-01,4
300.17144775390625,52,4,31,1633.610107421875,300.17144775390625,0,0.05652542784810066,STANDARD,0.0,R_A4,2018-01-01,5
300.0901184082031,52,4,32,1632.3968505859375,300.0901184082031,0,0.05670516937971115,STANDARD,0.0,R_A4,2018-01-01,6
300.3236999511719,51,4,32,1635.880615234375,300.3236999511719,0,0.06039223074913025,STANDARD,0.0,R_A4,2018-01-01,7
300.4202575683594,51,4,33,1637.321044921875,300.4202575683594,0,0.062218718230724335,STANDARD,0.0,R_A4,2018-01-01,8
300.29644775390625,51,3,33,1635.474609375,300.29644775390625,0,0.05870724841952324,STANDARD,0.0,R_A4,2018-01-01,9
300.74395751953125,50,4,33,1642.1485595703125,300.74395751953125,0,0.06312906742095947,STANDARD,0.0,R_A4,2018-01-01,10
